"month_id","year","month","n_events","outcome","care_setting","cohort","event_definition","data_status","source_file","source_sha256","stroke_type","age_group","sex"
"2013-01",2013,1,2852,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2013-02",2013,2,2093,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2013-03",2013,3,2249,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2013-04",2013,4,2198,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2013-05",2013,5,2060,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2013-06",2013,6,1865,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2013-07",2013,7,1859,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2013-08",2013,8,1815,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2013-09",2013,9,1693,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
"2013-10",2013,10,1632,"chd","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","coronary_heart_disease_adm.xlsx","8c717086b3acef51d0de2492c1adbc8da26e0d1f3f6e2593d4463620a742546b","chd_all","all","all"
