"date","year","month","day","pressure","tmax","tmean","tmin","dew_point","relative_humidity","cloud","rainfall","sunshine","station","hot_night","very_hot_day","extremely_hot_day","cold_day","absolute_humidity","in_2d3n_window","hot_night_spell_id","very_hot_spell_id","cold_spell_id","hot_night_spell_len","very_hot_spell_len","cold_spell_len"
2013-01-01,2013,1,1,1020.6,17.4,13.9,10.8,4.5,54,67,0,5.7,"HKO",FALSE,FALSE,FALSE,TRUE,6.46972021131204,FALSE,0,0,1,,,1
2013-01-02,2013,1,2,1019.4,19.3,16.8,14.9,9.7,64,57,0,4.7,"HKO",FALSE,FALSE,FALSE,FALSE,9.14502778088062,FALSE,0,0,0,,,
2013-01-03,2013,1,3,1022.9,19.1,16.8,14.5,11.6,72,84,0,4,"HKO",FALSE,FALSE,FALSE,FALSE,10.2881562534907,FALSE,0,0,0,,,
2013-01-04,2013,1,4,1021,14.6,12.9,11.3,7.9,72,88,0,0,"HKO",FALSE,FALSE,FALSE,TRUE,8.11010271479845,FALSE,0,0,2,,,2
2013-01-05,2013,1,5,1018.5,17,14.3,11.9,9.3,72,58,0,7.9,"HKO",FALSE,FALSE,FALSE,TRUE,8.8406330270044,FALSE,0,0,2,,,2
2013-01-06,2013,1,6,1019.1,17.1,15.1,13.9,9.7,71,36,0,8.1,"HKO",FALSE,FALSE,FALSE,FALSE,9.15430659158412,FALSE,0,0,0,,,
2013-01-07,2013,1,7,1018.3,17.5,15.2,12.7,9.9,71,44,0,7.5,"HKO",FALSE,FALSE,FALSE,FALSE,9.2101768137115,FALSE,0,0,0,,,
2013-01-08,2013,1,8,1017.5,20.3,17.5,16,10.9,65,67,0,6.9,"HKO",FALSE,FALSE,FALSE,FALSE,9.68555272177533,FALSE,0,0,0,,,
2013-01-09,2013,1,9,1019.5,18.3,16.2,14.6,9.1,63,57,0,6.4,"HKO",FALSE,FALSE,FALSE,FALSE,8.68280142438465,FALSE,0,0,0,,,
2013-01-10,2013,1,10,1021,16.3,14.7,13.1,8.1,65,83,0,1.4,"HKO",FALSE,FALSE,FALSE,FALSE,8.17879442215975,FALSE,0,0,0,,,
2013-01-11,2013,1,11,1020.7,18.8,16.3,14.6,11.3,73,43,0,8.4,"HKO",FALSE,FALSE,FALSE,FALSE,10.1218910706662,FALSE,0,0,0,,,
2013-01-12,2013,1,12,1018.7,18.7,16.4,14.1,10.7,69,72,0,2.1,"HKO",FALSE,FALSE,FALSE,FALSE,9.62510088355326,FALSE,0,0,0,,,
2013-01-13,2013,1,13,1015.5,19.2,16.8,14.1,11,69,24,0,9.4,"HKO",FALSE,FALSE,FALSE,FALSE,9.85948307626192,FALSE,0,0,0,,,
2013-01-14,2013,1,14,1019.1,18.7,15.7,12.8,9.3,66,9,0,9.8,"HKO",FALSE,FALSE,FALSE,FALSE,8.82540369341504,FALSE,0,0,0,,,
2013-01-15,2013,1,15,1021.3,17.1,15.9,14.1,11.3,74,77,0,0.6,"HKO",FALSE,FALSE,FALSE,FALSE,10.0156721303947,FALSE,0,0,0,,,
2013-01-16,2013,1,16,1021.2,21.4,17.4,14.9,11.9,71,4,0,9.6,"HKO",FALSE,FALSE,FALSE,FALSE,10.5165844961649,FALSE,0,0,0,,,
2013-01-17,2013,1,17,1024.4,19.6,16.9,15.2,10.7,67,26,0,9.5,"HKO",FALSE,FALSE,FALSE,FALSE,9.63134406017872,FALSE,0,0,0,,,
2013-01-18,2013,1,18,1026.8,16.6,14.6,13.3,8.9,69,70,0,4.1,"HKO",FALSE,FALSE,FALSE,FALSE,8.62922798767018,FALSE,0,0,0,,,
2013-01-19,2013,1,19,1023.4,17.4,15,12.9,9.5,70,60,0,8,"HKO",FALSE,FALSE,FALSE,FALSE,8.97057996342714,FALSE,0,0,0,,,
2013-01-20,2013,1,20,1020.6,19.1,17.8,15.8,13.2,75,85,0,0,"HKO",FALSE,FALSE,FALSE,FALSE,11.3774275944828,FALSE,0,0,0,,,
2013-01-21,2013,1,21,1019.6,22.8,20.4,18.9,16,76,78,0,3.9,"HKO",FALSE,FALSE,FALSE,FALSE,13.439654386852,FALSE,0,0,0,,,
2013-01-22,2013,1,22,1019.1,25.6,21.3,18.9,17.3,78,59,0,7.9,"HKO",FALSE,FALSE,FALSE,FALSE,14.5346873867287,FALSE,0,0,0,,,
2013-01-23,2013,1,23,1019.3,20,18.1,16.8,15.7,86,81,0,2.3,"HKO",FALSE,FALSE,FALSE,FALSE,13.281118182876,FALSE,0,0,0,,,
2013-01-24,2013,1,24,1018.4,21.5,18.9,16.6,14.9,78,44,0,7.5,"HKO",FALSE,FALSE,FALSE,FALSE,12.6303977479531,FALSE,0,0,0,,,
2013-01-25,2013,1,25,1019.2,20.8,18.1,15.9,13.2,74,40,0,7.7,"HKO",FALSE,FALSE,FALSE,FALSE,11.4279389015445,FALSE,0,0,0,,,
