"month_id","month_date","year","month","expected_days","observed_days","observed_tmin","observed_tmax","tmin_completeness","tmax_completeness","mean_temp","mean_tmin","mean_tmax","relative_humidity","rainfall","dew_point","hot_nights","cold_days","very_hot_days","extremely_hot_days","longest_hot_night_run","longest_very_hot_run","max_hot_night_spell_touching","max_very_hot_spell_touching","days_in_hot_night_spell_ge3","days_in_very_hot_spell_ge2","station"
"2013-01",2013-01-01,2013,1,31,31,31,31,1,1,16.7032258064516,14.7774193548387,19.1225806451613,71.0645161290323,3.4,11.2935483870968,0,3,0,0,0,0,0,0,0,0,"HKO"
"2013-02",2013-02-01,2013,2,28,28,28,28,1,1,19.0678571428571,17.1428571428571,22.0535714285714,79.4642857142857,1.5,15.3714285714286,0,1,0,0,0,0,0,0,0,0,"HKO"
"2013-03",2013-03-01,2013,3,31,31,31,31,1,1,20.5516129032258,18.4709677419355,23.4967741935484,79.5161290322581,130.5,16.5129032258065,0,0,0,0,0,0,0,0,0,0,"HKO"
"2013-04",2013-04-01,2013,4,30,30,30,30,1,1,21.53,19.66,23.9166666666667,86,253.8,18.9666666666667,0,0,0,0,0,0,0,0,0,0,"HKO"
"2013-05",2013-05-01,2013,5,31,31,31,31,1,1,25.7290322580645,23.9483870967742,28.1516129032258,86.4193548387097,509.3,23.2161290322581,1,0,1,0,1,1,1,1,0,0,"HKO"
"2013-06",2013-06-01,2013,6,30,30,30,30,1,1,28.1466666666667,26.4533333333333,30.7433333333333,83.9333333333333,438.6,25.07,6,0,5,0,5,3,5,3,5,3,"HKO"
"2013-07",2013-07-01,2013,7,31,31,31,31,1,1,27.9612903225806,26.1032258064516,30.9387096774194,85.0645161290323,436.3,25.1064516129032,1,0,5,0,1,1,1,1,0,0,"HKO"
"2013-08",2013-08-01,2013,8,31,31,31,31,1,1,28.6064516129032,26.5290322580645,31.1322580645161,82.8387096774194,445.4,25.2967741935484,1,0,5,0,1,3,1,3,0,3,"HKO"
"2013-09",2013-09-01,2013,9,30,30,30,30,1,1,27.5166666666667,25.6866666666667,30.2533333333333,81.5666666666667,454.2,23.94,1,0,1,0,1,1,1,1,0,0,"HKO"
"2013-10",2013-10-01,2013,10,31,31,31,31,1,1,25.6483870967742,23.6838709677419,28.6,66.4516129032258,2.9,18.6064516129032,0,0,0,0,0,0,0,0,0,0,"HKO"
"2013-11",2013-11-01,2013,11,30,30,30,30,1,1,21.6966666666667,19.7466666666667,23.8466666666667,72.4666666666667,83.1,16.2466666666667,0,0,0,0,0,0,0,0,0,0,"HKO"
"2013-12",2013-12-01,2013,12,31,31,31,31,1,1,16.1096774193548,14,18.5677419354839,62.741935483871,88.3,8.56129032258064,0,10,0,0,0,0,0,0,0,0,"HKO"
"2014-01",2014-01-01,2014,1,31,31,31,31,1,1,16.3193548387097,14.1161290322581,19.2032258064516,67.4516129032258,0,9.92258064516129,0,6,0,0,0,0,0,0,0,0,"HKO"
"2014-02",2014-02-01,2014,2,28,28,28,28,1,1,15.4714285714286,13.5142857142857,17.8857142857143,81.8571428571429,39.5,12.2571428571429,0,9,0,0,0,0,0,0,0,0,"HKO"
"2014-03",2014-03-01,2014,3,31,31,31,31,1,1,18.6903225806452,17.0032258064516,20.9,83.3870967741936,207.6,15.6548387096774,0,0,0,0,0,0,0,0,0,0,"HKO"
"2014-04",2014-04-01,2014,4,30,30,30,30,1,1,22.5833333333333,21.0333333333333,24.8666666666667,86.1666666666667,132.4,20.0133333333333,0,0,0,0,0,0,0,0,0,0,"HKO"
"2014-05",2014-05-01,2014,5,31,31,31,31,1,1,26.3903225806452,24.6161290322581,28.5612903225806,85.8387096774194,687.3,23.7032258064516,3,0,0,0,1,0,6,0,1,0,"HKO"
"2014-06",2014-06-01,2014,6,30,30,30,30,1,1,29.01,27.0266666666667,31.4833333333333,79.9333333333333,436.6,25.0266666666667,8,0,5,0,5,3,6,3,5,3,"HKO"
"2014-07",2014-07-01,2014,7,31,31,31,31,1,1,29.7806451612903,27.6193548387097,32.5903225806452,80.1612903225806,260.5,25.8774193548387,13,0,15,0,4,4,4,5,4,13,"HKO"
"2014-08",2014-08-01,2014,8,31,31,31,31,1,1,29.0225806451613,26.7709677419355,31.9741935483871,81.1290322580645,548.2,25.3258064516129,6,0,6,0,2,3,2,5,0,6,"HKO"
"2014-09",2014-09-01,2014,9,30,30,30,30,1,1,28.9866666666667,27.0266666666667,31.9966666666667,77.3,140.6,24.49,4,0,7,0,3,2,3,2,3,4,"HKO"
"2014-10",2014-10-01,2014,10,31,31,31,31,1,1,26.2451612903226,24.3322580645161,28.9032258064516,71.1290322580645,109.8,20.3645161290323,0,0,0,0,0,0,0,0,0,0,"HKO"
"2014-11",2014-11-01,2014,11,30,30,30,30,1,1,22.6433333333333,21.17,24.56,78.1666666666667,31.1,18.5333333333333,0,0,0,0,0,0,0,0,0,0,"HKO"
"2014-12",2014-12-01,2014,12,31,31,31,31,1,1,16.3387096774194,14.1741935483871,18.4870967741935,67.4193548387097,44.7,9.86774193548387,0,6,0,0,0,0,0,0,0,0,"HKO"
"2015-01",2015-01-01,2015,1,31,31,31,31,1,1,16.4483870967742,14.5161290322581,18.9322580645161,72,41.7,11.158064516129,0,4,0,0,0,0,0,0,0,0,"HKO"
"2015-02",2015-02-01,2015,2,28,28,28,28,1,1,17.475,15.9107142857143,19.5071428571429,78.1071428571429,32,13.3607142857143,0,1,0,0,0,0,0,0,0,0,"HKO"
"2015-03",2015-03-01,2015,3,31,31,31,31,1,1,19.8967741935484,18.4709677419355,21.9806451612903,84.4193548387097,28.4,17.1129032258065,0,0,0,0,0,0,0,0,0,0,"HKO"
"2015-04",2015-04-01,2015,4,30,30,30,30,1,1,23.6066666666667,21.39,26.69,77.3666666666667,64.5,19.1666666666667,0,0,0,0,0,0,0,0,0,0,"HKO"
"2015-05",2015-05-01,2015,5,31,31,31,31,1,1,27.4516129032258,25.5290322580645,29.8838709677419,84.5483870967742,513,24.5516129032258,2,0,0,0,2,0,2,0,0,0,"HKO"
"2015-06",2015-06-01,2015,6,30,30,30,30,1,1,29.6666666666667,27.6633333333333,32.3166666666667,79.8666666666667,302.1,25.74,13,0,10,0,5,7,7,7,7,9,"HKO"
"2015-07",2015-07-01,2015,7,31,31,31,31,1,1,29.141935483871,27.2290322580645,31.8258064516129,79.0322580645161,406.2,25.0225806451613,12,0,6,0,5,4,7,4,10,4,"HKO"
"2015-08",2015-08-01,2015,8,31,31,31,31,1,1,29.3,27.1677419354839,32.0967741935484,78.3548387096774,143.3,24.9709677419355,8,0,12,1,3,7,3,7,6,9,"HKO"
"2015-09",2015-09-01,2015,9,30,30,30,30,1,1,28.4033333333333,26.6466666666667,31.0566666666667,78.3,87.9,24.12,2,0,0,0,1,0,1,0,0,0,"HKO"
"2015-10",2015-10-01,2015,10,31,31,31,31,1,1,26.0161290322581,24.2,28.5387096774194,76.6451612903226,168.3,21.4322580645161,0,0,0,0,0,0,0,0,0,0,"HKO"
"2015-11",2015-11-01,2015,11,30,30,30,30,1,1,24.0233333333333,22.4133333333333,26.0533333333333,78.6666666666667,22.8,19.9733333333333,0,0,0,0,0,0,0,0,0,0,"HKO"
"2015-12",2015-12-01,2015,12,31,31,31,31,1,1,18.5677419354839,17.0741935483871,20.2516129032258,76.0322580645161,64.3,14.0322580645161,0,2,0,0,0,0,0,0,0,0,"HKO"
"2016-01",2016-01-01,2016,1,31,31,31,31,1,1,16.0258064516129,14.4322580645161,17.8064516129032,82.9354838709677,266.9,12.9741935483871,0,7,0,0,0,0,0,0,0,0,"HKO"
"2016-02",2016-02-01,2016,2,29,29,29,29,1,1,15.4586206896552,13.351724137931,18.2172413793103,73.7931034482759,24.8,10.3758620689655,0,10,0,0,0,0,0,0,0,0,"HKO"
"2016-03",2016-03-01,2016,3,31,31,31,31,1,1,17.5161290322581,15.6516129032258,19.9903225806452,83.8387096774194,148.7,14.5387096774194,0,3,0,0,0,0,0,0,0,0,"HKO"
"2016-04",2016-04-01,2016,4,30,30,30,30,1,1,23.5733333333333,21.8533333333333,26.01,88.8666666666667,211.4,21.5933333333333,0,0,0,0,0,0,0,0,0,0,"HKO"
"2016-05",2016-05-01,2016,5,31,31,31,31,1,1,26.7322580645161,24.9161290322581,29.1032258064516,83.4193548387097,233.6,23.6096774193548,2,0,0,0,2,0,5,0,2,0,"HKO"
"2016-06",2016-06-01,2016,6,30,30,30,30,1,1,29.37,27.47,32.3733333333333,81.9,347.4,25.8366666666667,15,0,13,4,8,9,8,9,15,11,"HKO"
"2016-07",2016-07-01,2016,7,31,31,31,31,1,1,29.7806451612903,27.3548387096774,32.6290322580645,79.1935483870968,175.9,25.6548387096774,13,0,15,2,4,3,4,3,8,12,"HKO"
"2016-08",2016-08-01,2016,8,31,31,31,31,1,1,28.3677419354839,26.5064516129032,31.0483870967742,83.8387096774194,532.7,25.2322580645161,4,0,9,0,2,6,2,6,0,9,"HKO"
"2016-09",2016-09-01,2016,9,30,30,30,30,1,1,27.94,26.1066666666667,30.4266666666667,79.4,323.1,23.8766666666667,2,0,1,0,1,1,1,1,0,0,"HKO"
"2016-10",2016-10-01,2016,10,31,31,31,31,1,1,26.7548387096774,25,29.1,80.1935483870968,624.4,22.9516129032258,0,0,0,0,0,0,0,0,0,0,"HKO"
"2016-11",2016-11-01,2016,11,30,30,30,30,1,1,22.2633333333333,20.34,24.5166666666667,78.6333333333333,131.3,18.2733333333333,0,0,0,0,0,0,0,0,0,0,"HKO"
"2016-12",2016-12-01,2016,12,31,31,31,31,1,1,19.6290322580645,17.6516129032258,21.7548387096774,70.4838709677419,6.6,13.9516129032258,0,1,0,0,0,0,0,0,0,0,"HKO"
"2017-01",2017-01-01,2017,1,31,31,31,31,1,1,18.558064516129,17.0451612903226,20.5870967741935,78.741935483871,7.8,14.6838709677419,0,0,0,0,0,0,0,0,0,0,"HKO"
"2017-02",2017-02-01,2017,2,28,28,28,28,1,1,16.9678571428571,14.8714285714286,19.9964285714286,74.5,19.9,12.1821428571429,0,6,0,0,0,0,0,0,0,0,"HKO"
"2017-03",2017-03-01,2017,3,31,31,31,31,1,1,19.2677419354839,17.3451612903226,21.7387096774194,80.741935483871,48,15.6741935483871,0,0,0,0,0,0,0,0,0,0,"HKO"
"2017-04",2017-04-01,2017,4,30,30,30,30,1,1,23.32,21.2166666666667,26.21,81.4,58.8,19.85,0,0,0,0,0,0,0,0,0,0,"HKO"
"2017-05",2017-05-01,2017,5,31,31,31,31,1,1,25.9548387096774,24.2387096774194,28.5870967741935,81.9677419354839,399.3,22.5064516129032,0,0,0,0,0,0,0,0,0,0,"HKO"
"2017-06",2017-06-01,2017,6,30,30,30,30,1,1,28.83,27.1766666666667,31.2533333333333,83.1666666666667,656,25.5966666666667,13,0,6,0,5,3,5,3,12,5,"HKO"
"2017-07",2017-07-01,2017,7,31,31,31,31,1,1,28.6967741935484,26.8903225806452,31.4064516129032,83.4193548387097,570,25.4935483870968,6,0,7,0,5,3,6,3,5,5,"HKO"
"2017-08",2017-08-01,2017,8,31,31,31,31,1,1,29.3483870967742,27.2935483870968,32.0741935483871,79.6129032258064,489.1,25.3290322580645,14,0,10,1,6,6,6,6,12,6,"HKO"
"2017-09",2017-09-01,2017,9,30,30,30,30,1,1,29.0433333333333,27.2,31.86,79.6333333333333,192.4,25.0466666666667,4,0,5,0,2,3,2,3,0,3,"HKO"
"2017-10",2017-10-01,2017,10,31,31,31,31,1,1,26.2935483870968,24.3548387096774,29.041935483871,71.0645161290323,99.6,20.4451612903226,4,0,1,0,3,1,3,1,3,0,"HKO"
"2017-11",2017-11-01,2017,11,30,30,30,30,1,1,22.1866666666667,20.4566666666667,24.3566666666667,75.8666666666667,31.2,17.5766666666667,0,0,0,0,0,0,0,0,0,0,"HKO"
"2017-12",2017-12-01,2017,12,31,31,31,31,1,1,17.8548387096774,15.9516129032258,20.1258064516129,66.1935483870968,0,11.2064516129032,0,3,0,0,0,0,0,0,0,0,"HKO"
"2018-01",2018-01-01,2018,1,31,31,31,31,1,1,16.0612903225806,14.1193548387097,18.4935483870968,76.7741935483871,62.2,11.7096774193548,0,9,0,0,0,0,0,0,0,0,"HKO"
"2018-02",2018-02-01,2018,2,28,28,28,28,1,1,16.0428571428571,13.875,18.7392857142857,70.4642857142857,4.5,10.4321428571429,0,9,0,0,0,0,0,0,0,0,"HKO"
"2018-03",2018-03-01,2018,3,31,31,31,31,1,1,20.841935483871,18.6387096774194,24.3612903225806,75.7096774193548,22.7,16.1935483870968,0,1,0,0,0,0,0,0,0,0,"HKO"
"2018-04",2018-04-01,2018,4,30,30,30,30,1,1,23.6466666666667,21.67,26.9166666666667,77.9,28.1,19.3633333333333,0,0,0,0,0,0,0,0,0,0,"HKO"
"2018-05",2018-05-01,2018,5,31,31,31,31,1,1,28.3290322580645,26.1193548387097,31.7258064516129,76.741935483871,57.5,23.6741935483871,6,0,16,3,3,15,3,16,3,15,"HKO"
"2018-06",2018-06-01,2018,6,30,30,30,30,1,1,28.6233333333333,26.7633333333333,31.32,80.2666666666667,458.8,24.7366666666667,6,0,4,1,3,2,3,16,5,3,"HKO"
"2018-07",2018-07-01,2018,7,31,31,31,31,1,1,29.1161290322581,27,31.7774193548387,81.1612903225806,341.1,25.441935483871,7,0,8,0,2,5,3,5,1,5,"HKO"
"2018-08",2018-08-01,2018,8,31,31,31,31,1,1,28.5806451612903,26.6741935483871,31.0290322580645,83.7741935483871,615.1,25.4741935483871,5,0,5,0,3,5,3,5,3,5,"HKO"
"2018-09",2018-09-01,2018,9,30,30,30,30,1,1,28.0066666666667,25.9866666666667,30.9966666666667,78.2,383.3,23.6833333333333,2,0,3,1,2,1,2,1,0,0,"HKO"
"2018-10",2018-10-01,2018,10,31,31,31,31,1,1,25.341935483871,23.4258064516129,27.9838709677419,69.0967741935484,104.3,18.6935483870968,0,0,0,0,0,0,0,0,0,0,"HKO"
"2018-11",2018-11-01,2018,11,30,30,30,30,1,1,22.8966666666667,21.4366666666667,24.7966666666667,77.4333333333333,73.4,18.5966666666667,0,0,0,0,0,0,0,0,0,0,"HKO"
"2018-12",2018-12-01,2018,12,31,31,31,31,1,1,19.2225806451613,17.5903225806452,21.258064516129,75.9677419354839,11.9,14.8129032258065,0,2,0,0,0,0,0,0,0,0,"HKO"
"2019-01",2019-01-01,2019,1,31,31,31,31,1,1,18.1354838709677,16.3967741935484,20.3516129032258,75.9032258064516,4.7,13.7096774193548,0,1,0,0,0,0,0,0,0,0,"HKO"
"2019-02",2019-02-01,2019,2,28,28,28,28,1,1,20.1214285714286,18.4214285714286,22.6357142857143,84.8928571428571,68.7,17.4642857142857,0,0,0,0,0,0,0,0,0,0,"HKO"
"2019-03",2019-03-01,2019,3,31,31,31,31,1,1,21.0322580645161,19.3548387096774,23.3,84.3870967741936,186.5,18.2096774193548,0,0,0,0,0,0,0,0,0,0,"HKO"
"2019-04",2019-04-01,2019,4,30,30,30,30,1,1,24.6966666666667,22.9266666666667,27.24,83.9666666666667,185.8,21.6966666666667,0,0,0,0,0,0,0,0,0,0,"HKO"
"2019-05",2019-05-01,2019,5,31,31,31,31,1,1,25.3290322580645,23.658064516129,27.2258064516129,85.7096774193548,234.6,22.6870967741935,3,0,0,0,3,0,3,0,3,0,"HKO"
"2019-06",2019-06-01,2019,6,30,30,30,30,1,1,29,26.9833333333333,31.5066666666667,82.9,429.1,25.69,11,0,5,0,4,2,4,3,11,4,"HKO"
"2019-07",2019-07-01,2019,7,31,31,31,31,1,1,29.5064516129032,27.7,32.0516129032258,81.3548387096774,328.5,25.8967741935484,15,0,8,1,7,4,7,4,15,7,"HKO"
"2019-08",2019-08-01,2019,8,31,31,31,31,1,1,29.0354838709677,26.9032258064516,31.858064516129,82.1612903225806,596.4,25.5516129032258,9,0,11,1,5,4,5,4,5,7,"HKO"
"2019-09",2019-09-01,2019,9,30,30,30,30,1,1,28.7433333333333,26.6266666666667,31.7533333333333,73,198.9,23.0566666666667,7,0,8,0,7,7,7,7,7,8,"HKO"
"2019-10",2019-10-01,2019,10,31,31,31,31,1,1,26.5967741935484,24.5967741935484,29.4838709677419,73,149.5,21.2225806451613,1,0,1,0,1,1,1,2,0,1,"HKO"
"2019-11",2019-11-01,2019,11,30,30,30,30,1,1,22.9733333333333,20.9733333333333,26.0966666666667,68.8,0,16.78,0,0,0,0,0,0,0,0,0,0,"HKO"
"2019-12",2019-12-01,2019,12,31,31,31,31,1,1,19.0709677419355,17.0032258064516,21.8935483870968,69.5161290322581,13.5,12.9354838709677,0,0,0,0,0,0,0,0,0,0,"HKO"
"2020-01",2020-01-01,2020,1,31,31,31,31,1,1,18.5612903225806,16.8387096774194,21.1903225806452,75.7096774193548,14.8,14.0258064516129,0,5,0,0,0,0,0,0,0,0,"HKO"
"2020-02",2020-02-01,2020,2,29,29,29,29,1,1,18.4689655172414,16.5586206896552,21.448275862069,78.3448275862069,79.8,14.4931034482759,0,3,0,0,0,0,0,0,0,0,"HKO"
"2020-03",2020-03-01,2020,3,31,31,31,31,1,1,21.2967741935484,19.7129032258064,23.7870967741936,84.4838709677419,41.3,18.4741935483871,0,0,0,0,0,0,0,0,0,0,"HKO"
"2020-04",2020-04-01,2020,4,30,30,30,30,1,1,22.02,19.9733333333333,25.1366666666667,77.8333333333333,77.8,17.67,0,0,0,0,0,0,0,0,0,0,"HKO"
"2020-05",2020-05-01,2020,5,31,31,31,31,1,1,27.7290322580645,25.9129032258065,30.4387096774194,83.0322580645161,352.5,24.5193548387097,1,0,1,0,1,1,1,1,0,0,"HKO"
"2020-06",2020-06-01,2020,6,30,30,30,30,1,1,29.65,27.8,32.2533333333333,78.5333333333333,397.2,25.4233333333333,18,0,6,1,12,3,13,3,15,6,"HKO"
"2020-07",2020-07-01,2020,7,31,31,31,31,1,1,30.2354838709677,28.258064516129,33.3064516129032,76.4838709677419,125.4,25.5258064516129,21,0,20,2,11,10,13,10,17,20,"HKO"
