"month_id","year","month","n_events","outcome","care_setting","cohort","event_definition","data_status","source_file","source_sha256","stroke_type","age_group","sex"
"2013-01",2013,1,459,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2013-02",2013,2,360,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2013-03",2013,3,399,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2013-04",2013,4,428,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2013-05",2013,5,381,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2013-06",2013,6,319,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2013-07",2013,7,362,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2013-08",2013,8,322,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2013-09",2013,9,278,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2013-10",2013,10,347,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2013-11",2013,11,291,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2013-12",2013,12,390,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2014-01",2014,1,483,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
"2014-02",2014,2,414,"hf","inpatient","T2D_and_or_HTN_2013_2023","first_hospitalization_after_first_cvd_diagnosis_record","HA_APPROVED_AGGREGATE","heart_failure_adm.xlsx","ed8a70b9df04c8bfdcf833fa038390138cdde132a189f842904673c8f0954743","hf_all","all","all"
