date,tmax,tmin,tmean,source,cell_id
2013-01-01,15.30,7.00,11.10,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-02,19.90,9.00,13.90,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-03,16.00,7.80,12.90,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-04,13.20,6.80,9.20,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-05,16.60,7.90,11.50,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-06,16.50,7.90,11.60,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-07,18.30,8.10,12.70,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-08,19.40,11.30,14.60,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-09,16.50,10.50,13.00,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-10,16.40,9.90,12.90,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-11,18.50,12.20,14.90,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-12,19.20,11.30,14.80,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-13,20.60,11.60,15.40,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-14,18.20,9.60,13.50,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-15,17.40,11.80,14.30,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-16,20.70,11.20,15.60,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-17,19.50,12.60,15.20,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-18,16.60,11.50,13.70,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-19,16.30,11.50,14.00,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-20,20.40,14.90,17.30,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-21,22.30,17.10,19.10,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-22,24.50,15.90,19.50,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-23,21.00,15.00,17.60,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-24,21.60,15.00,18.20,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-25,20.30,13.60,16.60,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-26,19.90,15.20,17.00,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-27,20.10,14.40,16.60,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-28,18.80,13.80,16.10,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-29,20.90,15.70,17.50,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-30,20.50,14.40,17.30,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-01-31,21.00,16.20,18.10,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-01,24.30,15.30,19.80,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-02,26.10,16.50,20.10,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-03,21.10,18.50,19.50,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-04,23.70,19.30,21.10,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-05,24.50,19.20,21.20,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-06,23.70,19.30,21.00,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-07,22.30,19.10,20.20,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-08,19.60,10.00,16.20,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-09,14.00,9.20,11.40,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-10,18.50,11.50,14.70,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-11,20.40,15.60,17.10,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-12,23.20,13.50,17.90,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-13,19.90,12.30,15.70,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-14,21.00,16.80,18.40,OPEN_METEO_ERA5_LAND,g_22.55_114.25
2013-02-15,25.10,17.20,20.40,OPEN_METEO_ERA5_LAND,g_22.55_114.25
