month_id,year,month,n_days,n_days_tmean_above_doy,n_days_tmean_below_doy,n_days_tmax_above_doy,n_days_tmax_below_doy,n_days_tmin_above_doy,n_days_tmin_below_doy,mean_relative_humidity,total_rainfall_mm
2013-01,2013,1,31,13,18,14,17,13,18,71.06451612903226,3.4
2013-02,2013,2,28,22,6,21,7,24,4,79.46428571428571,1.5
2013-03,2013,3,31,17,14,18,13,15,16,79.51612903225806,130.5
2013-04,2013,4,30,6,24,7,23,5,25,86.0,253.8
2013-05,2013,5,31,11,20,15,16,8,23,86.41935483870968,509.3
2013-06,2013,6,30,13,17,12,18,13,17,83.93333333333334,438.6
2013-07,2013,7,31,5,26,8,23,6,25,85.06451612903226,436.3
2013-08,2013,8,31,11,20,12,19,10,21,82.83870967741936,445.40000000000003
2013-09,2013,9,30,3,27,6,24,6,24,81.56666666666666,454.2
2013-10,2013,10,31,14,17,14,17,14,17,66.45161290322581,2.9
2013-11,2013,11,30,9,21,9,21,10,20,72.46666666666667,83.1
2013-12,2013,12,31,5,26,6,25,5,26,62.74193548387097,88.3
2014-01,2014,1,31,11,20,15,16,12,19,67.45161290322581,0.0
2014-02,2014,2,28,11,17,10,18,12,16,81.85714285714286,39.5
2014-03,2014,3,31,9,22,6,25,8,23,83.38709677419355,207.6
2014-04,2014,4,30,9,21,11,19,10,20,86.16666666666667,132.4
2014-05,2014,5,31,18,13,18,13,15,16,85.83870967741936,687.3
2014-06,2014,6,30,15,15,16,14,15,14,79.93333333333334,436.6
2014-07,2014,7,31,23,8,21,10,16,15,80.16129032258064,260.5
2014-08,2014,8,31,20,11,20,11,15,16,81.12903225806451,548.2
2014-09,2014,9,30,22,8,20,10,20,10,77.3,140.6
2014-10,2014,10,31,16,15,16,15,19,12,71.12903225806451,109.8
2014-11,2014,11,30,11,19,11,19,15,15,78.16666666666667,31.1
2014-12,2014,12,31,3,28,3,28,3,28,67.41935483870968,44.7
2015-01,2015,1,31,12,18,15,16,11,19,72.0,41.7
2015-02,2015,2,28,15,13,12,16,16,12,78.10714285714286,32.0
2015-03,2015,3,31,16,15,14,17,17,14,84.41935483870968,28.4
2015-04,2015,4,30,15,14,23,7,14,16,77.36666666666666,64.5
2015-05,2015,5,31,21,9,19,12,18,13,84.54838709677419,513.0
2015-06,2015,6,30,24,6,22,8,21,9,79.86666666666666,302.1
2015-07,2015,7,31,15,16,16,15,14,17,79.03225806451613,406.2
2015-08,2015,8,31,20,11,19,12,16,15,78.35483870967742,143.3
2015-09,2015,9,30,11,19,12,18,14,16,78.3,87.89999999999999
2015-10,2015,10,31,18,13,18,13,15,16,76.64516129032258,168.3
2015-11,2015,11,30,24,6,20,10,24,6,78.66666666666667,22.8
2015-12,2015,12,31,20,11,13,18,20,11,76.03225806451613,64.3
2016-01,2016,1,31,16,15,14,17,20,11,82.93548387096774,266.9
2016-02,2016,2,29,6,23,7,22,5,24,73.79310344827586,24.8
2016-03,2016,3,31,7,24,7,24,6,25,83.83870967741936,148.7
2016-04,2016,4,30,16,12,17,13,15,14,88.86666666666666,211.4
2016-05,2016,5,31,15,16,14,17,12,19,83.41935483870968,233.6
2016-06,2016,6,30,19,11,21,9,18,12,81.9,347.4
2016-07,2016,7,31,23,7,22,9,17,14,79.19354838709677,175.9
2016-08,2016,8,31,13,18,15,16,13,18,83.83870967741936,532.7
2016-09,2016,9,30,9,21,7,23,10,20,79.4,323.1
2016-10,2016,10,31,21,10,18,13,25,6,80.19354838709677,624.4
2016-11,2016,11,30,13,17,12,18,13,17,78.63333333333334,131.29999999999998
2016-12,2016,12,31,25,6,23,8,23,8,70.48387096774194,6.6
2017-01,2017,1,31,25,6,22,9,25,6,78.74193548387096,7.8
2017-02,2017,2,28,14,14,12,16,14,14,74.5,19.9
2017-03,2017,3,31,7,24,9,21,10,21,80.74193548387096,48.0
2017-04,2017,4,30,14,16,15,15,14,16,81.4,58.8
2017-05,2017,5,31,9,22,11,20,7,24,81.96774193548387,399.3
2017-06,2017,6,30,19,10,13,17,19,11,83.16666666666667,656.0
2017-07,2017,7,31,8,23,10,21,10,21,83.41935483870968,570.0
2017-08,2017,8,31,22,9,19,12,21,10,79.61290322580645,489.1
2017-09,2017,9,30,23,7,22,8,23,7,79.63333333333334,192.4
2017-10,2017,10,31,17,14,15,16,16,15,71.06451612903226,99.6
2017-11,2017,11,30,13,17,11,19,13,17,75.86666666666666,31.2
2017-12,2017,12,31,16,15,13,17,19,12,66.19354838709677,0.0
2018-01,2018,1,31,16,14,13,18,15,16,76.7741935483871,62.2
2018-02,2018,2,28,12,16,10,18,12,16,70.46428571428571,4.5
2018-03,2018,3,31,22,9,23,8,19,12,75.70967741935483,22.7
2018-04,2018,4,30,17,13,20,10,21,9,77.9,28.099999999999998
2018-05,2018,5,31,25,6,25,6,24,7,76.74193548387096,57.5
2018-06,2018,6,30,10,19,13,17,12,18,80.26666666666667,458.8
2018-07,2018,7,31,16,15,15,16,13,18,81.16129032258064,341.1
2018-08,2018,8,31,12,19,11,20,12,19,83.7741935483871,615.1
2018-09,2018,9,30,10,19,12,18,9,21,78.2,383.3
2018-10,2018,10,31,7,24,11,20,12,19,69.09677419354838,104.3
2018-11,2018,11,30,21,9,13,17,23,7,77.43333333333334,73.4
2018-12,2018,12,31,20,11,20,11,20,11,75.96774193548387,11.9
2019-01,2019,1,31,25,6,24,7,24,7,75.90322580645162,4.7
2019-02,2019,2,28,27,1,23,5,27,1,84.89285714285714,68.7
2019-03,2019,3,31,19,12,15,16,20,11,84.38709677419355,186.5
2019-04,2019,4,30,17,13,17,13,20,10,83.96666666666667,185.8
2019-05,2019,5,31,8,23,8,23,7,24,85.70967741935483,234.6
2019-06,2019,6,30,16,13,16,14,15,15,82.9,429.1
2019-07,2019,7,31,18,13,13,17,17,14,81.35483870967742,328.5
2019-08,2019,8,31,21,10,18,13,17,13,82.16129032258064,596.4
2019-09,2019,9,30,16,14,20,10,13,17,73.0,198.9
2019-10,2019,10,31,21,10,25,6,22,8,73.0,149.5
2019-11,2019,11,30,14,16,25,5,12,18,68.8,0.0
2019-12,2019,12,31,21,10,23,8,20,11,69.51612903225806,13.5
2020-01,2020,1,31,25,6,26,5,24,7,75.70967741935483,14.8
2020-02,2020,2,29,23,6,19,10,24,5,78.34482758620689,79.8
2020-03,2020,3,31,21,10,16,15,23,8,84.48387096774194,41.3
2020-04,2020,4,30,7,23,12,18,4,26,77.83333333333333,77.8
2020-05,2020,5,31,21,10,21,10,20,11,83.03225806451613,352.5
2020-06,2020,6,30,25,5,23,7,25,5,78.53333333333333,397.2
2020-07,2020,7,31,29,2,27,4,26,5,76.48387096774194,125.4
2020-08,2020,8,31,19,12,22,9,13,18,81.51612903225806,448.4
2020-09,2020,9,30,11,19,14,16,12,18,83.53333333333333,708.8
2020-10,2020,10,31,8,23,17,14,8,23,71.54838709677419,142.4
2020-11,2020,11,30,19,11,20,10,17,12,71.46666666666667,5.1000000000000005
2020-12,2020,12,31,17,14,18,13,16,15,68.87096774193549,1.5
2021-01,2021,1,31,16,15,19,12,16,15,61.806451612903224,0.0
2021-02,2021,2,28,28,0,26,2,28,0,75.46428571428571,62.1
2021-03,2021,3,31,27,4,24,7,28,3,78.7741935483871,3.5
2021-04,2021,4,30,17,13,17,13,19,11,78.76666666666667,32.5
2021-05,2021,5,31,29,2,30,1,28,3,78.19354838709677,65.0
2021-06,2021,6,30,14,16,16,14,15,15,82.3,628.0
2021-07,2021,7,31,23,7,23,8,19,12,80.12903225806451,379.5
2021-08,2021,8,31,16,15,14,17,16,14,82.64516129032258,350.5
2021-09,2021,9,30,29,1,28,2,28,2,78.13333333333334,129.6
2021-10,2021,10,31,17,14,15,16,18,13,76.29032258064517,631.1
2021-11,2021,11,30,16,14,22,8,13,17,67.33333333333333,5.8
2021-12,2021,12,31,23,8,23,8,22,8,68.48387096774194,19.5
2022-01,2022,1,31,24,7,23,8,26,5,78.0,4.1
2022-02,2022,2,28,6,22,8,20,6,22,80.75,168.5
2022-03,2022,3,31,23,8,25,6,19,12,78.93548387096774,92.7
2022-04,2022,4,30,18,12,21,9,17,12,73.36666666666666,3.5
2022-05,2022,5,31,3,28,10,21,8,23,80.64516129032258,436.5
2022-06,2022,6,30,14,16,11,19,15,15,81.3,349.2
2022-07,2022,7,31,23,8,23,8,27,4,76.93548387096774,158.5
2022-08,2022,8,31,15,16,19,12,12,19,82.3225806451613,614.8
2022-09,2022,9,30,24,6,22,8,22,8,68.63333333333334,171.2
2022-10,2022,10,31,19,12,21,10,16,15,64.64516129032258,49.9
2022-11,2022,11,30,22,8,19,11,20,10,82.66666666666667,130.8
2022-12,2022,12,31,4,27,8,23,3,28,64.0,25.7
2023-01,2023,1,31,16,15,16,14,16,15,67.29032258064517,18.2
2023-02,2023,2,28,21,7,20,8,20,8,73.17857142857143,1.6
2023-03,2023,3,31,21,10,22,9,18,13,75.87096774193549,70.3
2023-04,2023,4,30,15,15,13,17,17,13,82.26666666666667,77.5
2023-05,2023,5,31,16,15,16,15,15,16,81.51612903225806,182.8
2023-06,2023,6,30,20,10,19,11,14,16,82.9,490.9
2023-07,2023,7,31,23,8,23,8,24,7,78.09677419354838,175.2
2023-08,2023,8,31,27,4,22,9,25,6,79.51612903225806,140.7
2023-09,2023,9,30,17,13,17,13,17,13,81.43333333333334,1067.1
2023-10,2023,10,31,23,8,18,13,23,8,75.90322580645162,546.0
2023-11,2023,11,30,21,9,22,8,20,10,69.4,3.3
2023-12,2023,12,31,23,8,22,9,22,9,69.96774193548387,0.9
