month_id,year,month,n_days,days_warmer_than_climatology,days_cooler_than_climatology,days_tmax_above_climatology,days_tmin_below_climatology,mean_relative_humidity,total_rainfall_mm,n_clim_years_min,climatology_rule,data_status
2013-01,2013,1,31,13,18,14,18,71.064516,3.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2013-02,2013,2,28,22,6,21,4,79.464286,1.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2013-03,2013,3,31,17,14,18,16,79.516129,130.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2013-04,2013,4,30,6,24,7,25,86.0,253.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2013-05,2013,5,31,11,20,15,23,86.419355,509.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2013-06,2013,6,30,13,17,12,17,83.933333,438.6,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2013-07,2013,7,31,5,26,8,25,85.064516,436.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2013-08,2013,8,31,11,20,12,21,82.83871,445.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2013-09,2013,9,30,3,27,6,24,81.566667,454.2,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2013-10,2013,10,31,14,17,14,17,66.451613,2.9,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2013-11,2013,11,30,9,21,9,20,72.466667,83.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2013-12,2013,12,31,5,26,6,26,62.741935,88.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-01,2014,1,31,11,20,15,19,67.451613,0.0,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-02,2014,2,28,11,17,10,16,81.857143,39.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-03,2014,3,31,9,22,6,23,83.387097,207.6,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-04,2014,4,30,9,21,11,20,86.166667,132.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-05,2014,5,31,18,13,18,16,85.83871,687.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-06,2014,6,30,15,15,16,14,79.933333,436.6,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-07,2014,7,31,23,8,21,15,80.16129,260.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-08,2014,8,31,20,11,20,16,81.129032,548.2,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-09,2014,9,30,22,8,20,10,77.3,140.6,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-10,2014,10,31,16,15,16,12,71.129032,109.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-11,2014,11,30,11,19,11,15,78.166667,31.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2014-12,2014,12,31,3,28,3,28,67.419355,44.7,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-01,2015,1,31,12,19,15,19,72.0,41.7,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-02,2015,2,28,15,13,12,12,78.107143,32.0,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-03,2015,3,31,16,15,14,14,84.419355,28.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-04,2015,4,30,15,14,23,16,77.366667,64.5,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-05,2015,5,31,21,9,19,13,84.548387,513.0,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-06,2015,6,30,24,6,22,9,79.866667,302.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-07,2015,7,31,15,16,16,17,79.032258,406.2,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-08,2015,8,31,20,11,19,15,78.354839,143.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-09,2015,9,30,11,19,12,16,78.3,87.9,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-10,2015,10,31,18,13,18,16,76.645161,168.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-11,2015,11,30,24,6,20,6,78.666667,22.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2015-12,2015,12,31,20,11,13,11,76.032258,64.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-01,2016,1,31,16,15,14,11,82.935484,266.9,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-02,2016,2,29,6,23,7,24,73.793103,24.8,2,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-03,2016,3,31,7,24,7,25,83.83871,148.7,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-04,2016,4,30,16,12,17,14,88.866667,211.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-05,2016,5,31,15,16,14,19,83.419355,233.6,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-06,2016,6,30,19,11,21,12,81.9,347.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-07,2016,7,31,23,7,22,14,79.193548,175.9,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-08,2016,8,31,13,18,15,18,83.83871,532.7,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-09,2016,9,30,9,21,7,20,79.4,323.1,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-10,2016,10,31,21,10,18,6,80.193548,624.4,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-11,2016,11,30,13,17,12,17,78.633333,131.3,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2016-12,2016,12,31,25,6,23,8,70.483871,6.6,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2017-01,2017,1,31,25,6,22,6,78.741935,7.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2017-02,2017,2,28,14,14,12,14,74.5,19.9,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2017-03,2017,3,31,7,24,9,21,80.741935,48.0,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
2017-04,2017,4,30,14,16,15,16,81.4,58.8,11,leave_one_year_out_same_calendar_day_2012_2023,REAL_PUBLIC_HKO
