date,tmax,tmin,tmean,atmax,atmin,atmean,precip,source,city_id
2013-01-01,26.80,20.20,23.60,28.70,22.70,26.10,0.50,OPEN_METEO_ERA5_LAND,brisbane
2013-01-02,32.90,20.00,25.90,39.00,23.00,29.50,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-03,28.90,21.70,24.60,31.70,22.10,25.80,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-04,27.50,20.70,23.70,28.50,21.30,24.10,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-05,26.80,21.30,23.90,27.90,22.80,25.40,0.10,OPEN_METEO_ERA5_LAND,brisbane
2013-01-06,26.30,21.40,23.80,26.90,24.00,25.40,0.90,OPEN_METEO_ERA5_LAND,brisbane
2013-01-07,26.90,21.60,24.10,26.80,23.60,25.20,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-08,29.80,20.60,25.00,32.10,23.40,27.10,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-09,36.20,21.30,27.10,38.80,22.50,29.20,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-10,31.60,22.80,26.90,35.70,26.70,30.30,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-11,31.90,24.00,27.30,35.60,28.30,30.90,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-12,35.20,24.70,28.50,41.10,28.40,32.70,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-13,35.50,23.90,28.30,40.60,27.00,31.60,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-14,32.20,23.20,25.80,36.40,23.60,27.60,0.20,OPEN_METEO_ERA5_LAND,brisbane
2013-01-15,26.20,22.20,24.00,25.50,22.20,24.00,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-16,28.40,21.40,24.60,29.00,23.30,25.70,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-17,29.90,19.70,24.70,33.40,22.00,26.70,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-18,33.00,21.20,26.10,37.00,24.10,28.50,0.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-19,35.30,22.90,27.60,41.30,26.10,31.20,2.20,OPEN_METEO_ERA5_LAND,brisbane
2013-01-20,30.20,23.40,26.10,33.50,27.00,29.40,3.10,OPEN_METEO_ERA5_LAND,brisbane
2013-01-21,28.50,23.00,25.10,32.60,26.80,28.50,3.90,OPEN_METEO_ERA5_LAND,brisbane
2013-01-22,27.30,22.80,25.00,30.50,26.50,28.10,1.80,OPEN_METEO_ERA5_LAND,brisbane
2013-01-23,28.50,22.30,25.30,31.80,26.10,28.30,0.10,OPEN_METEO_ERA5_LAND,brisbane
2013-01-24,26.30,22.80,24.30,28.60,25.90,27.10,6.60,OPEN_METEO_ERA5_LAND,brisbane
2013-01-25,24.20,22.50,23.20,27.30,25.20,26.10,29.50,OPEN_METEO_ERA5_LAND,brisbane
2013-01-26,24.20,23.20,23.70,26.90,25.60,26.10,82.00,OPEN_METEO_ERA5_LAND,brisbane
2013-01-27,24.20,23.20,23.60,26.10,22.80,24.10,166.70,OPEN_METEO_ERA5_LAND,brisbane
2013-01-28,27.90,23.30,24.80,31.10,23.10,26.90,44.40,OPEN_METEO_ERA5_LAND,brisbane
2013-01-29,33.60,22.30,27.20,37.40,25.50,31.10,0.10,OPEN_METEO_ERA5_LAND,brisbane
