date,tmax,tmin,tmean,atmax,atmin,atmean,precip,source,city_id
2013-01-01,9.10,0.40,4.50,5.10,-2.90,1.40,1.40,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-02,8.40,3.40,5.20,5.00,-0.30,1.70,0.10,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-03,3.20,0.60,1.40,-0.50,-4.50,-3.40,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-04,4.90,0.30,2.50,1.10,-3.70,-1.00,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-05,6.80,2.10,4.10,3.30,-0.90,0.90,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-06,6.50,2.30,4.20,3.20,-0.70,1.40,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-07,8.90,2.40,6.00,5.90,-0.10,3.50,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-08,9.90,5.00,6.80,6.50,2.20,4.20,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-09,5.70,2.90,4.10,2.00,-1.10,0.20,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-10,4.00,1.20,2.30,-0.40,-3.10,-1.80,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-11,7.80,1.90,4.60,5.10,-1.20,1.70,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-12,11.60,2.60,6.70,8.80,-0.10,4.30,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-13,9.20,3.20,6.00,6.80,0.10,3.20,16.90,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-14,10.30,3.50,6.70,6.20,-0.40,2.80,13.50,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-15,8.10,3.30,5.50,4.30,-0.00,1.90,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-16,9.00,0.90,5.00,6.10,-2.20,2.10,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-17,5.20,1.60,4.00,2.20,-1.70,0.20,1.50,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-18,6.00,-1.20,2.40,2.40,-4.50,-0.80,0.10,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-19,6.50,0.00,4.10,3.00,-3.50,0.80,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-20,10.10,2.60,6.10,7.50,0.00,3.60,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-21,11.10,1.80,7.00,9.90,-1.30,4.60,12.10,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-22,11.00,6.90,9.80,10.10,4.30,7.70,4.60,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-23,9.70,5.10,6.90,7.20,2.10,4.40,0.70,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-24,9.80,3.90,6.70,5.80,1.40,3.60,1.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-25,5.80,2.10,3.50,2.00,-2.60,-1.50,0.00,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-26,4.40,1.40,3.00,-1.00,-2.20,-1.70,0.40,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-27,3.60,0.60,1.90,-1.70,-3.40,-2.60,0.60,OPEN_METEO_ERA5_LAND,fukuoka
2013-01-28,6.10,0.70,3.20,2.30,-3.50,-0.40,0.00,OPEN_METEO_ERA5_LAND,fukuoka
