date,tmax,tmin,tmean,atmax,atmin,atmean,precip,source,city_id
2013-01-01,19.30,8.70,13.50,20.50,4.90,11.70,24.30,OPEN_METEO_ERA5_LAND,houston
2013-01-02,8.40,5.90,6.80,4.70,2.20,3.00,1.40,OPEN_METEO_ERA5_LAND,houston
2013-01-03,9.80,4.50,7.10,5.90,0.10,2.90,0.00,OPEN_METEO_ERA5_LAND,houston
2013-01-04,9.00,8.00,8.20,5.40,3.80,4.30,0.10,OPEN_METEO_ERA5_LAND,houston
2013-01-05,8.00,6.20,6.90,5.10,3.00,4.20,10.50,OPEN_METEO_ERA5_LAND,houston
2013-01-06,13.50,3.80,8.10,9.90,0.10,4.90,0.00,OPEN_METEO_ERA5_LAND,houston
2013-01-07,13.50,2.30,7.90,11.00,-1.00,5.10,0.00,OPEN_METEO_ERA5_LAND,houston
2013-01-08,18.30,10.30,15.00,19.30,7.70,14.20,17.50,OPEN_METEO_ERA5_LAND,houston
2013-01-09,19.70,16.00,18.00,20.80,15.90,18.20,69.80,OPEN_METEO_ERA5_LAND,houston
2013-01-10,19.70,12.00,15.40,17.70,10.60,14.40,0.10,OPEN_METEO_ERA5_LAND,houston
2013-01-11,21.80,7.50,14.90,21.30,5.60,14.10,0.00,OPEN_METEO_ERA5_LAND,houston
2013-01-12,24.40,19.40,22.20,25.00,20.70,23.10,0.60,OPEN_METEO_ERA5_LAND,houston
2013-01-13,22.10,6.60,10.60,24.20,1.90,7.40,10.60,OPEN_METEO_ERA5_LAND,houston
2013-01-14,8.20,5.00,6.60,4.10,0.50,2.30,5.90,OPEN_METEO_ERA5_LAND,houston
2013-01-15,6.40,2.20,4.10,2.60,-3.00,-0.10,2.60,OPEN_METEO_ERA5_LAND,houston
2013-01-16,9.90,2.40,5.30,5.30,-2.80,0.30,0.00,OPEN_METEO_ERA5_LAND,houston
2013-01-17,14.90,-1.20,6.20,11.40,-4.80,2.80,0.00,OPEN_METEO_ERA5_LAND,houston
2013-01-18,15.10,3.00,8.40,13.30,0.20,5.90,0.00,OPEN_METEO_ERA5_LAND,houston
2013-01-19,18.10,3.20,10.20,17.00,-0.10,8.00,0.00,OPEN_METEO_ERA5_LAND,houston
2013-01-20,19.80,7.60,13.20,19.90,5.40,12.20,0.00,OPEN_METEO_ERA5_LAND,houston
2013-01-21,20.10,7.10,13.30,20.00,5.30,12.50,0.00,OPEN_METEO_ERA5_LAND,houston
2013-01-22,20.30,7.50,13.50,19.40,5.90,12.50,0.00,OPEN_METEO_ERA5_LAND,houston
