date,tmax,tmin,tmean,atmax,atmin,atmean,precip,source,city_id
2013-01-01,12.50,-0.90,6.60,9.90,-4.40,3.30,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-02,16.40,1.20,8.40,12.20,-3.40,3.70,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-03,16.60,2.50,8.80,11.70,-3.20,3.30,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-04,15.20,0.50,7.90,12.20,-4.10,3.80,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-05,16.50,-0.30,7.90,13.10,-4.40,4.30,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-06,18.90,1.30,9.40,14.40,-2.70,5.30,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-07,16.10,2.10,9.50,11.90,-1.30,5.80,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-08,18.60,1.00,9.70,14.70,-2.90,6.00,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-09,22.00,2.00,11.60,18.90,-2.10,7.90,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-10,19.80,4.50,11.60,15.10,0.30,7.50,0.20,OPEN_METEO_ERA5_LAND,phoenix
2013-01-11,11.30,2.70,7.50,6.10,-1.20,2.90,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-12,10.40,-1.80,4.60,5.10,-6.00,0.20,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-13,9.10,-2.20,3.90,4.70,-6.30,-0.30,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-14,6.90,-1.90,2.50,2.30,-5.60,-1.60,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-15,9.20,-2.80,3.00,5.10,-7.70,-1.70,0.00,OPEN_METEO_ERA5_LAND,phoenix
2013-01-16,15.00,-2.50,6.10,11.20,-7.00,1.90,0.00,OPEN_METEO_ERA5_LAND,phoenix
