date,tmax,tmin,tmean,atmax,atmin,atmean,precip,source,city_id
2013-01-01,15.90,7.70,11.70,13.50,4.30,8.90,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-02,20.50,10.20,14.80,18.90,8.10,13.20,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-03,16.80,8.30,13.60,13.70,3.60,10.40,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-04,14.20,7.30,9.90,11.20,2.70,6.00,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-05,17.30,8.50,12.20,15.80,4.40,9.50,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-06,17.60,8.70,12.40,15.80,5.30,9.80,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-07,18.80,8.60,13.30,18.10,5.40,11.30,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-08,20.00,12.20,15.20,19.20,9.60,13.80,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-09,17.40,10.90,13.60,14.80,6.80,10.30,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-10,16.90,10.10,13.30,14.80,5.90,10.40,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-11,19.40,12.50,15.50,18.60,10.40,13.80,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-12,20.20,11.60,15.40,20.30,9.20,14.00,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-13,21.10,12.40,16.00,19.90,11.00,14.90,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-14,19.40,9.60,14.00,18.40,6.40,11.80,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-15,18.30,11.80,14.90,17.20,9.90,13.50,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-16,21.90,12.90,16.80,22.00,12.10,16.30,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-17,20.30,12.70,16.00,18.00,9.10,13.90,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-18,17.50,11.50,14.00,15.80,8.20,11.30,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-19,17.60,11.60,14.50,15.50,9.50,12.50,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-20,21.50,15.30,17.90,20.70,14.30,17.10,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-21,23.60,17.30,19.80,25.20,17.20,20.60,0.20,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-22,25.20,17.00,20.20,25.70,18.00,21.10,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-23,22.20,15.60,18.40,22.80,13.70,18.20,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-24,23.10,15.30,18.90,24.10,16.10,19.40,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-25,21.80,13.70,17.30,22.10,10.90,16.30,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-26,21.60,15.30,17.60,22.30,14.50,17.60,2.90,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-27,20.60,14.40,16.90,20.10,12.70,16.00,0.70,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-28,19.80,13.70,16.50,17.10,12.00,14.60,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-29,22.30,15.60,18.00,22.70,14.60,17.50,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-30,21.70,14.70,17.80,20.10,14.20,17.10,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-01-31,22.40,16.30,18.70,22.40,15.00,18.20,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-01,25.80,16.00,20.50,27.90,16.50,21.50,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-02,27.00,16.40,20.50,27.80,17.50,21.00,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-03,22.80,18.50,20.10,23.50,17.80,20.20,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-04,25.00,19.50,21.90,28.30,20.80,24.30,0.80,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-05,26.00,19.70,21.90,28.50,22.00,24.80,1.90,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-06,25.70,19.70,21.90,28.10,21.70,24.00,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-07,24.00,19.20,20.90,24.90,19.60,21.70,0.10,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-08,19.90,10.60,16.60,20.70,6.40,14.80,0.90,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-09,15.00,9.60,12.00,12.00,5.50,8.50,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-10,19.70,11.80,15.40,19.90,9.00,14.20,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-11,21.90,16.10,17.90,21.80,14.90,17.20,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-12,24.60,14.00,18.70,24.50,10.80,17.50,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-13,21.00,12.40,16.20,21.30,9.10,14.80,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-14,22.40,17.10,19.20,23.80,17.10,19.70,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-15,26.20,17.60,21.20,26.20,16.00,21.80,0.50,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-16,20.40,14.90,17.50,19.80,12.40,16.10,0.00,OPEN_METEO_ERA5_LAND,shenzhen
2013-02-17,23.10,17.10,19.20,24.40,16.20,19.50,0.00,OPEN_METEO_ERA5_LAND,shenzhen
