date,tmax,tmin,tmean,atmax,atmin,atmean,precip,source,city_id
2013-01-01,27.90,24.10,25.60,33.40,27.90,30.20,8.60,OPEN_METEO_ERA5_LAND,singapore
2013-01-02,28.50,24.30,25.90,34.20,28.30,30.70,7.80,OPEN_METEO_ERA5_LAND,singapore
2013-01-03,28.30,24.30,25.90,33.30,28.50,30.40,8.20,OPEN_METEO_ERA5_LAND,singapore
2013-01-04,27.70,24.60,25.60,32.30,28.20,29.80,4.80,OPEN_METEO_ERA5_LAND,singapore
2013-01-05,28.40,24.40,25.70,33.70,28.30,30.20,7.70,OPEN_METEO_ERA5_LAND,singapore
2013-01-06,29.80,24.00,26.50,34.70,28.60,31.40,0.00,OPEN_METEO_ERA5_LAND,singapore
2013-01-07,30.10,24.40,27.00,35.90,28.90,31.80,0.00,OPEN_METEO_ERA5_LAND,singapore
2013-01-08,29.40,24.80,26.40,34.10,29.00,30.70,2.00,OPEN_METEO_ERA5_LAND,singapore
2013-01-09,29.00,24.80,26.10,34.80,28.50,30.50,11.30,OPEN_METEO_ERA5_LAND,singapore
2013-01-10,28.00,24.40,26.00,32.10,28.20,30.00,0.20,OPEN_METEO_ERA5_LAND,singapore
2013-01-11,28.50,24.60,26.20,32.30,28.20,30.00,1.50,OPEN_METEO_ERA5_LAND,singapore
2013-01-12,28.40,24.60,25.90,32.60,28.40,29.70,0.20,OPEN_METEO_ERA5_LAND,singapore
2013-01-13,29.30,24.50,26.10,35.20,28.20,30.20,2.10,OPEN_METEO_ERA5_LAND,singapore
2013-01-14,28.60,24.50,26.20,33.80,27.30,29.70,0.60,OPEN_METEO_ERA5_LAND,singapore
2013-01-15,28.80,25.00,26.20,33.60,28.60,30.00,2.60,OPEN_METEO_ERA5_LAND,singapore
2013-01-16,28.30,25.00,26.20,31.80,28.30,29.50,0.90,OPEN_METEO_ERA5_LAND,singapore
2013-01-17,28.50,25.10,26.30,30.90,27.60,28.80,0.00,OPEN_METEO_ERA5_LAND,singapore
2013-01-18,28.40,24.40,25.70,34.00,27.00,28.80,5.30,OPEN_METEO_ERA5_LAND,singapore
2013-01-19,24.90,23.10,24.00,29.20,26.20,27.70,32.60,OPEN_METEO_ERA5_LAND,singapore
2013-01-20,26.50,23.80,24.80,30.80,27.60,28.70,26.80,OPEN_METEO_ERA5_LAND,singapore
2013-01-21,27.70,24.00,25.20,33.60,27.60,29.30,10.60,OPEN_METEO_ERA5_LAND,singapore
2013-01-22,26.80,23.80,24.90,30.30,27.50,28.90,3.70,OPEN_METEO_ERA5_LAND,singapore
2013-01-23,27.90,24.30,25.60,32.20,28.40,29.70,7.90,OPEN_METEO_ERA5_LAND,singapore
2013-01-24,27.90,24.10,25.50,33.00,28.30,29.60,3.70,OPEN_METEO_ERA5_LAND,singapore
2013-01-25,27.90,24.20,25.70,31.30,28.40,29.20,0.40,OPEN_METEO_ERA5_LAND,singapore
2013-01-26,28.60,23.90,25.70,33.40,27.30,29.30,1.20,OPEN_METEO_ERA5_LAND,singapore
2013-01-27,28.20,24.20,25.80,32.10,27.70,29.30,0.50,OPEN_METEO_ERA5_LAND,singapore
2013-01-28,28.20,24.50,26.00,32.80,28.10,29.50,1.90,OPEN_METEO_ERA5_LAND,singapore
2013-01-29,28.50,24.10,26.00,32.50,27.30,29.40,0.30,OPEN_METEO_ERA5_LAND,singapore
2013-01-30,28.90,24.00,26.10,33.30,27.50,29.50,0.00,OPEN_METEO_ERA5_LAND,singapore
2013-01-31,28.90,24.50,26.20,35.00,28.00,30.20,0.90,OPEN_METEO_ERA5_LAND,singapore
2013-02-01,28.80,25.00,26.40,34.00,28.90,30.30,1.80,OPEN_METEO_ERA5_LAND,singapore
2013-02-02,29.20,24.70,26.50,33.20,28.20,30.00,0.30,OPEN_METEO_ERA5_LAND,singapore
2013-02-03,25.20,24.60,24.80,29.30,27.90,28.60,51.90,OPEN_METEO_ERA5_LAND,singapore
2013-02-04,26.80,24.00,25.20,31.70,27.80,29.60,14.30,OPEN_METEO_ERA5_LAND,singapore
2013-02-05,26.80,24.20,24.90,32.20,28.10,29.60,23.40,OPEN_METEO_ERA5_LAND,singapore
2013-02-06,27.10,23.90,25.20,33.60,28.30,29.90,23.00,OPEN_METEO_ERA5_LAND,singapore
2013-02-07,27.80,24.20,25.40,32.70,28.50,30.30,15.20,OPEN_METEO_ERA5_LAND,singapore
