date,tmax,tmin,tmean,source,cell_id
2013-01-01,14.20,5.60,10.20,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-02,18.60,6.50,12.40,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-03,13.90,7.50,11.70,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-04,11.20,6.20,8.00,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-05,13.70,6.50,9.30,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-06,14.10,7.50,9.50,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-07,16.30,6.60,10.70,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-08,18.00,8.60,12.60,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-09,15.70,10.40,11.90,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-10,15.90,8.10,12.00,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-11,16.30,11.00,13.10,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-12,18.20,9.70,13.60,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-13,19.30,11.70,14.60,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-14,18.50,7.40,12.40,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-15,18.60,7.30,13.00,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-16,21.40,10.70,15.80,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-17,17.10,12.10,14.40,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-18,16.20,9.80,12.70,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-19,18.20,8.80,12.80,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-20,21.90,11.50,17.10,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-21,22.60,16.20,19.00,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-22,22.60,15.40,17.60,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-23,20.50,14.40,16.60,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-24,22.40,13.60,17.70,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-25,20.00,13.20,16.30,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-26,19.80,14.60,16.20,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-27,19.90,13.20,15.80,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-28,20.40,9.80,15.20,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-29,22.30,13.30,17.00,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-30,23.30,12.10,17.10,OPEN_METEO_ERA5_LAND,guangzhou
2013-01-31,23.80,13.90,18.20,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-01,25.50,13.80,19.60,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-02,27.30,14.60,20.70,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-03,23.00,18.00,20.40,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-04,24.20,19.50,21.30,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-05,25.70,19.10,22.10,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-06,26.10,19.70,21.80,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-07,25.60,19.30,21.70,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-08,20.10,9.30,13.00,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-09,11.30,7.50,9.60,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-10,17.40,10.10,13.10,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-11,20.80,12.30,16.20,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-12,19.10,12.70,16.00,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-13,20.30,11.60,14.90,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-14,21.70,13.70,17.60,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-15,19.80,14.10,17.10,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-16,19.70,13.00,16.00,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-17,22.60,16.00,18.60,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-18,25.90,15.80,20.30,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-19,21.70,13.40,17.00,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-20,16.30,12.60,13.90,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-21,19.90,13.60,15.70,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-22,18.60,13.90,15.90,OPEN_METEO_ERA5_LAND,guangzhou
2013-02-23,20.80,11.90,15.70,OPEN_METEO_ERA5_LAND,guangzhou
