date,tmax,tmin,tmean,source,cell_id
2013-01-01,13.30,5.90,9.70,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-02,17.60,6.90,12.00,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-03,14.60,7.60,11.80,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-04,11.70,5.80,8.00,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-05,13.60,5.80,9.00,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-06,14.20,6.40,9.20,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-07,15.50,5.70,10.00,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-08,16.90,10.00,12.40,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-09,14.80,9.30,11.20,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-10,14.10,8.00,10.70,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-11,16.50,9.30,12.20,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-12,17.00,8.90,12.30,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-13,18.70,10.00,13.50,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-14,16.70,7.80,11.90,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-15,17.10,8.70,13.00,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-16,18.90,10.20,14.20,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-17,18.00,9.90,13.10,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-18,15.10,9.40,11.70,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-19,15.50,8.60,12.00,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-20,18.30,11.50,15.30,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-21,20.20,15.20,17.10,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-22,21.60,13.20,16.80,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-23,19.20,13.70,15.80,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-24,19.80,13.40,16.10,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-25,18.60,12.10,15.10,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-26,17.90,13.20,15.30,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-27,18.10,11.90,14.50,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-28,16.80,11.50,14.10,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-29,19.40,13.00,15.40,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-30,19.30,11.30,15.10,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-01-31,20.00,13.40,16.40,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-02-01,22.40,13.80,17.40,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-02-02,23.40,12.80,17.60,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-02-03,19.20,16.10,17.60,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-02-04,22.40,17.20,19.00,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-02-05,22.70,16.30,19.10,OPEN_METEO_ERA5_LAND,p_22.1_112.9
2013-02-06,22.70,17.80,19.30,OPEN_METEO_ERA5_LAND,p_22.1_112.9
