"month_id","age_group","sex","stroke_type","n_events","data_status","notes"
"2013-01","35-39","Female","stroke_all",97,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","35-39","Male","stroke_all",84,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","40-44","Female","stroke_all",139,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","40-44","Male","stroke_all",121,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","45-49","Female","stroke_all",203,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","45-49","Male","stroke_all",200,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","50-54","Female","stroke_all",297,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","50-54","Male","stroke_all",339,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","55-59","Female","stroke_all",365,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","55-59","Male","stroke_all",436,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","60-64","Female","stroke_all",414,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","60-64","Male","stroke_all",501,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","65-69","Female","stroke_all",360,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","65-69","Male","stroke_all",452,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","70-74","Female","stroke_all",374,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","70-74","Male","stroke_all",480,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","75-79","Female","stroke_all",518,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","75-79","Male","stroke_all",576,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","80-84","Female","stroke_all",534,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","80-84","Male","stroke_all",507,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","85+","Female","stroke_all",721,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-01","85+","Male","stroke_all",428,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-02","35-39","Female","stroke_all",138,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
"2013-02","35-39","Male","stroke_all",118,"SYNTHETIC","SYNTHETIC age-sex stroke aggregates (allocated from territory month)"
