"month_id","age_group","sex","stroke_type","n_events","data_status","notes"
"2013-01","all","all","stroke_all",8148,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2013-02","all","all","stroke_all",11562,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2013-03","all","all","stroke_all",12704,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2013-04","all","all","stroke_all",10067,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2013-05","all","all","stroke_all",14984,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2013-06","all","all","stroke_all",13073,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2013-07","all","all","stroke_all",8475,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2013-08","all","all","stroke_all",8872,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2013-09","all","all","stroke_all",11417,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2013-10","all","all","stroke_all",10328,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2013-11","all","all","stroke_all",12322,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2013-12","all","all","stroke_all",14424,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-01","all","all","stroke_all",13271,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-02","all","all","stroke_all",9822,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-03","all","all","stroke_all",8594,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-04","all","all","stroke_all",7574,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-05","all","all","stroke_all",10279,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-06","all","all","stroke_all",12517,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-07","all","all","stroke_all",10457,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-08","all","all","stroke_all",10015,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-09","all","all","stroke_all",8781,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-10","all","all","stroke_all",11325,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-11","all","all","stroke_all",11488,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2014-12","all","all","stroke_all",11998,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-01","all","all","stroke_all",13231,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-02","all","all","stroke_all",8318,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-03","all","all","stroke_all",12649,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-04","all","all","stroke_all",11649,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-05","all","all","stroke_all",15247,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-06","all","all","stroke_all",13349,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-07","all","all","stroke_all",9596,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-08","all","all","stroke_all",7998,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-09","all","all","stroke_all",10675,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-10","all","all","stroke_all",12660,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-11","all","all","stroke_all",10751,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2015-12","all","all","stroke_all",11085,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-01","all","all","stroke_all",16465,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-02","all","all","stroke_all",16462,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-03","all","all","stroke_all",9959,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-04","all","all","stroke_all",13845,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-05","all","all","stroke_all",12824,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-06","all","all","stroke_all",8096,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-07","all","all","stroke_all",12210,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-08","all","all","stroke_all",12665,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-09","all","all","stroke_all",9403,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-10","all","all","stroke_all",11344,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-11","all","all","stroke_all",7762,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2016-12","all","all","stroke_all",12456,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-01","all","all","stroke_all",9519,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-02","all","all","stroke_all",19080,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-03","all","all","stroke_all",9432,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-04","all","all","stroke_all",15445,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-05","all","all","stroke_all",12159,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-06","all","all","stroke_all",8234,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-07","all","all","stroke_all",9413,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-08","all","all","stroke_all",7429,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-09","all","all","stroke_all",12932,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-10","all","all","stroke_all",8987,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-11","all","all","stroke_all",9902,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2017-12","all","all","stroke_all",12062,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-01","all","all","stroke_all",15721,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-02","all","all","stroke_all",16097,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-03","all","all","stroke_all",14053,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-04","all","all","stroke_all",15366,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-05","all","all","stroke_all",15009,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-06","all","all","stroke_all",10577,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-07","all","all","stroke_all",9677,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-08","all","all","stroke_all",6423,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-09","all","all","stroke_all",11248,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-10","all","all","stroke_all",11929,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-11","all","all","stroke_all",9592,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2018-12","all","all","stroke_all",14034,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-01","all","all","stroke_all",17448,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-02","all","all","stroke_all",15901,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-03","all","all","stroke_all",14847,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-04","all","all","stroke_all",17990,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-05","all","all","stroke_all",12293,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-06","all","all","stroke_all",15530,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-07","all","all","stroke_all",14058,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-08","all","all","stroke_all",16188,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-09","all","all","stroke_all",11447,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-10","all","all","stroke_all",14311,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-11","all","all","stroke_all",11085,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2019-12","all","all","stroke_all",14521,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-01","all","all","stroke_all",12108,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-02","all","all","stroke_all",10782,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-03","all","all","stroke_all",6866,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-04","all","all","stroke_all",11265,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-05","all","all","stroke_all",9911,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-06","all","all","stroke_all",12278,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-07","all","all","stroke_all",5946,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-08","all","all","stroke_all",12800,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-09","all","all","stroke_all",8323,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-10","all","all","stroke_all",9814,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-11","all","all","stroke_all",8460,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2020-12","all","all","stroke_all",10988,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2021-01","all","all","stroke_all",16395,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2021-02","all","all","stroke_all",9509,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2021-03","all","all","stroke_all",14284,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2021-04","all","all","stroke_all",11263,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2021-05","all","all","stroke_all",12452,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2021-06","all","all","stroke_all",7920,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2021-07","all","all","stroke_all",8962,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2021-08","all","all","stroke_all",6309,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2021-09","all","all","stroke_all",11101,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
