"month_id","year","month","month_date","time_index","age_group","sex","diagnosis_group","care_setting","n_events","n_patients","n_deaths_in_hospital","bed_days","population","days_in_month","suppression_flag","coding_system","data_status","synthetic_seed","notes"
"2013-01",2013,1,2013-01-01,1,"35-39","Female","AMI","inpatient",103,97,1,653,271023.703470856,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"35-39","Female","ischemic_stroke","inpatient",225,214,5,982,271023.703470856,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"35-39","Female","hemorrhagic_stroke","inpatient",81,76,4,449,271023.703470856,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"35-39","Male","AMI","inpatient",170,145,2,1052,250150.874941258,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"35-39","Male","ischemic_stroke","inpatient",369,369,8,2749,250150.874941258,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"35-39","Male","hemorrhagic_stroke","inpatient",123,107,5,556,250150.874941258,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"40-44","Female","AMI","inpatient",152,134,11,918,276126.955925156,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"40-44","Female","ischemic_stroke","inpatient",231,206,9,1354,276126.955925156,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"40-44","Female","hemorrhagic_stroke","inpatient",110,98,7,469,276126.955925156,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"40-44","Male","AMI","inpatient",275,271,7,1064,254555.612604703,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"40-44","Male","ischemic_stroke","inpatient",445,437,16,2204,254555.612604703,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"40-44","Male","hemorrhagic_stroke","inpatient",161,158,9,632,254555.612604703,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"45-49","Female","AMI","inpatient",359,309,14,2542,281076.457900457,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"45-49","Female","ischemic_stroke","inpatient",323,299,11,2182,281076.457900457,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"45-49","Female","hemorrhagic_stroke","inpatient",85,74,3,486,281076.457900457,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"45-49","Male","AMI","inpatient",236,217,10,1331,259115.905853702,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"45-49","Male","ischemic_stroke","inpatient",459,455,27,2324,259115.905853702,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"45-49","Male","hemorrhagic_stroke","inpatient",212,204,11,1065,259115.905853702,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"50-54","Female","AMI","inpatient",480,468,21,3681,290588.817920474,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"50-54","Female","ischemic_stroke","inpatient",612,549,33,4833,290588.817920474,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"50-54","Female","hemorrhagic_stroke","inpatient",204,191,5,1090,290588.817920474,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"50-54","Male","AMI","inpatient",703,682,26,4609,269319.725828167,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"50-54","Male","ischemic_stroke","inpatient",954,829,35,4927,269319.725828167,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"50-54","Male","hemorrhagic_stroke","inpatient",291,268,15,2027,269319.725828167,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
"2013-01",2013,1,2013-01-01,1,"55-59","Female","AMI","inpatient",782,698,31,5140,285411.786747801,31,0,"PROVISIONAL_ICD9CM_ASSUMED","SYNTHETIC",20250308,"SYNTHETIC outcomes for pipeline testing only; not HA data"
