month_id,flu_indicator,flu_ili_fmc_mean,n_weeks,flu_metric,source
2013-12,0.1238,,1,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-01,0.2242,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-02,0.291175,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-03,0.18622,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-04,0.086575,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-05,0.05325,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-06,0.10608,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-07,0.0827,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-08,0.03688,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-09,0.018675,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-10,0.006675,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-11,0.00736,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2014-12,0.077475,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-01,0.3144,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-02,0.2729,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-03,0.1552,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-04,0.0888,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-05,0.09048,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-06,0.23885,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-07,0.12865,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-08,0.04954,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-09,0.017075,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-10,0.008825,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-11,0.00984,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2015-12,0.018625,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-01,0.08226,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-02,0.242725,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-03,0.196625,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-04,0.15487499999999998,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-05,0.07338,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-06,0.03335,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-07,0.03746,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-08,0.05845,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-09,0.121625,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-10,0.0977,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-11,0.06935,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2016-12,0.052625000000000005,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2017-01,0.0792,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2017-02,0.090325,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2017-03,0.070625,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2017-04,0.08042,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2017-05,0.137225,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2017-06,0.20752500000000002,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2017-07,0.35112,,5,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2017-08,0.110125,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
2017-09,0.028875,,4,monthly_mean_AandB_proportion,CHP Flu Express flux_data.csv
