SEX,AGE,CCYY,H,obs_value,sd_value
,,1961,1,3168.1000000000,
,0-4,1961,1,528.9000000000,
,10-14,1961,1,321.3000000000,
,15-19,1961,1,187.0000000000,
,20-24,1961,1,193.7000000000,
,25-29,1961,1,247.8000000000,
,30-34,1961,1,260.2000000000,
,35-39,1961,1,229.2000000000,
,40-44,1961,1,203.7000000000,
,45-49,1961,1,167.7000000000,
,5-9,1961,1,433.7000000000,
,50-54,1961,1,133.9000000000,
,55-59,1961,1,91.1000000000,
,60-64,1961,1,69.8000000000,
,65-69,1961,1,45.6000000000,
,70-74,1961,1,29.7000000000,
,75-79,1961,1,14.3000000000,
,80-84,1961,1,7.7000000000,
,85_and_over,1961,1,2.8000000000,
F,,1961,1,1581.2000000000,
F,0-4,1961,1,260.5000000000,
F,10-14,1961,1,160.2000000000,
F,15-19,1961,1,91.0000000000,
F,20-24,1961,1,91.6000000000,
F,25-29,1961,1,118.0000000000,
F,30-34,1961,1,124.8000000000,
F,35-39,1961,1,110.1000000000,
F,40-44,1961,1,96.8000000000,
F,45-49,1961,1,82.6000000000,
F,5-9,1961,1,212.1000000000,
F,50-54,1961,1,69.3000000000,
F,55-59,1961,1,53.1000000000,
F,60-64,1961,1,43.0000000000,
F,65-69,1961,1,30.3000000000,
F,70-74,1961,1,20.1000000000,
F,75-79,1961,1,10.2000000000,
F,80-84,1961,1,5.5000000000,
F,85_and_over,1961,1,2.0000000000,
M,,1961,1,1586.9000000000,
M,0-4,1961,1,268.4000000000,
M,10-14,1961,1,161.1000000000,
M,15-19,1961,1,96.0000000000,
M,20-24,1961,1,102.1000000000,
M,25-29,1961,1,129.8000000000,
M,30-34,1961,1,135.4000000000,
M,35-39,1961,1,119.1000000000,
M,40-44,1961,1,106.9000000000,
M,45-49,1961,1,85.1000000000,
M,5-9,1961,1,221.6000000000,
M,50-54,1961,1,64.6000000000,
M,55-59,1961,1,38.0000000000,
M,60-64,1961,1,26.8000000000,
M,65-69,1961,1,15.3000000000,
M,70-74,1961,1,9.6000000000,
M,75-79,1961,1,4.1000000000,
M,80-84,1961,1,2.2000000000,
M,85_and_over,1961,1,0.8000000000,
,,1961,2,3195.3000000000,
F,,1961,2,0.0000000000,9
M,,1961,2,0.0000000000,9
,,1962,1,3305.2000000000,
,0-4,1962,1,534.9000000000,
,10-14,1962,1,353.5000000000,
,15-19,1962,1,212.5000000000,
,20-24,1962,1,197.7000000000,
,25-29,1962,1,243.8000000000,
,30-34,1962,1,264.1000000000,
,35-39,1962,1,236.1000000000,
,40-44,1962,1,210.5000000000,
,45-49,1962,1,164.7000000000,
,5-9,1962,1,466.7000000000,
,50-54,1962,1,142.0000000000,
,55-59,1962,1,97.0000000000,
