SEX,AGE,H,CCYY,obs_value,sd_value
,,1,1961,3168.1000000000,
,1,1,1961,110.1000000000,
,10,1,1961,75.7000000000,
,11,1,1961,71.5000000000,
,12,1,1961,65.7000000000,
,13,1,1961,58.2000000000,
,14,1,1961,50.2000000000,
,15,1,1961,43.7000000000,
,16,1,1961,38.4000000000,
,17,1,1961,35.6000000000,
,18,1,1961,35.0000000000,
,19,1,1961,34.3000000000,
,2,1,1961,107.7000000000,
,20,1,1961,35.1000000000,
,21,1,1961,36.0000000000,
,22,1,1961,37.7000000000,
,23,1,1961,40.6000000000,
,24,1,1961,44.3000000000,
,25,1,1961,46.5000000000,
,26,1,1961,48.3000000000,
,27,1,1961,49.8000000000,
,28,1,1961,50.9000000000,
,29,1,1961,52.3000000000,
,3,1,1961,104.2000000000,
,30,1,1961,53.1000000000,
,31,1,1961,53.1000000000,
,32,1,1961,52.7000000000,
,33,1,1961,51.4000000000,
,34,1,1961,49.9000000000,
,35,1,1961,48.1000000000,
,36,1,1961,46.7000000000,
,37,1,1961,45.4000000000,
,38,1,1961,44.8000000000,
,39,1,1961,44.2000000000,
,4,1,1961,100.2000000000,
,40,1,1961,43.3000000000,
,41,1,1961,42.2000000000,
,42,1,1961,41.0000000000,
,43,1,1961,39.3000000000,
,44,1,1961,37.9000000000,
,45,1,1961,36.1000000000,
,46,1,1961,34.7000000000,
,47,1,1961,33.4000000000,
,48,1,1961,32.3000000000,
,49,1,1961,31.2000000000,
,5,1,1961,95.2000000000,
,50,1,1961,30.2000000000,
,51,1,1961,28.8000000000,
,52,1,1961,27.1000000000,
,53,1,1961,24.9000000000,
,54,1,1961,22.9000000000,
,55,1,1961,20.6000000000,
,56,1,1961,18.9000000000,
,57,1,1961,17.8000000000,
,58,1,1961,17.1000000000,
,59,1,1961,16.7000000000,
,6,1,1961,90.4000000000,
,60,1,1961,16.2000000000,
,61,1,1961,15.6000000000,
,62,1,1961,14.4000000000,
,63,1,1961,12.7000000000,
,64,1,1961,10.9000000000,
,65,1,1961,10.8000000000,
,66,1,1961,9.8000000000,
,67,1,1961,8.9000000000,
,68,1,1961,8.3000000000,
,69,1,1961,7.8000000000,
,7,1,1961,86.1000000000,
,70,1,1961,7.2000000000,
,71,1,1961,6.7000000000,
,72,1,1961,5.9000000000,
,73,1,1961,5.3000000000,
,74,1,1961,4.6000000000,
,75,1,1961,3.9000000000,
,76,1,1961,3.2000000000,
,77,1,1961,2.7000000000,
,78,1,1961,2.4000000000,
,79,1,1961,2.1000000000,
,8,1,1961,82.7000000000,
,80,1,1961,1.8000000000,
,81,1,1961,1.6000000000,
,82,1,1961,1.5000000000,
,83,1,1961,1.4000000000,
,84,1,1961,1.4000000000,
,85_and_over,1,1961,2.8000000000,
,9,1,1961,79.3000000000,
,zero,1,1961,106.7000000000,
F,,1,1961,1581.2000000000,
F,1,1,1961,53.9000000000,
F,10,1,1961,37.6000000000,
F,11,1,1961,35.6000000000,
F,12,1,1961,32.7000000000,
F,13,1,1961,29.0000000000,
F,14,1,1961,25.3000000000,
F,15,1,1961,21.7000000000,
F,16,1,1961,18.7000000000,
F,17,1,1961,17.1000000000,
F,18,1,1961,16.8000000000,
F,19,1,1961,16.7000000000,
F,2,1,1961,52.6000000000,
F,20,1,1961,16.8000000000,
F,21,1,1961,17.1000000000,
F,22,1,1961,18.0000000000,
F,23,1,1961,19.2000000000,
F,24,1,1961,20.5000000000,
F,25,1,1961,21.9000000000,
F,26,1,1961,22.9000000000,
F,27,1,1961,23.8000000000,
F,28,1,1961,24.4000000000,
F,29,1,1961,25.0000000000,
F,3,1,1961,50.9000000000,
F,30,1,1961,25.4000000000,
F,31,1,1961,25.4000000000,
F,32,1,1961,25.3000000000,
F,33,1,1961,24.7000000000,
F,34,1,1961,24.0000000000,
F,35,1,1961,23.2000000000,
F,36,1,1961,22.5000000000,
F,37,1,1961,21.9000000000,
F,38,1,1961,21.5000000000,
F,39,1,1961,21.0000000000,
F,4,1,1961,48.8000000000,
F,40,1,1961,20.5000000000,
F,41,1,1961,20.0000000000,
F,42,1,1961,19.4000000000,
F,43,1,1961,18.7000000000,
F,44,1,1961,18.2000000000,
F,45,1,1961,17.5000000000,
F,46,1,1961,17.0000000000,
F,47,1,1961,16.5000000000,
F,48,1,1961,16.0000000000,
F,49,1,1961,15.6000000000,
F,5,1,1961,46.4000000000,
F,50,1,1961,15.2000000000,
F,51,1,1961,14.6000000000,
F,52,1,1961,14.0000000000,
F,53,1,1961,13.1000000000,
F,54,1,1961,12.4000000000,
F,55,1,1961,11.6000000000,
F,56,1,1961,10.9000000000,
F,57,1,1961,10.5000000000,
F,58,1,1961,10.2000000000,
F,59,1,1961,9.9000000000,
F,6,1,1961,44.0000000000,
F,60,1,1961,9.7000000000,
F,61,1,1961,9.4000000000,
F,62,1,1961,8.8000000000,
F,63,1,1961,8.0000000000,
F,64,1,1961,7.1000000000,
F,65,1,1961,7.0000000000,
F,66,1,1961,6.5000000000,
F,67,1,1961,6.0000000000,
F,68,1,1961,5.6000000000,
F,69,1,1961,5.2000000000,
F,7,1,1961,42.0000000000,
F,70,1,1961,4.8000000000,
F,71,1,1961,4.5000000000,
F,72,1,1961,4.0000000000,
F,73,1,1961,3.6000000000,
F,74,1,1961,3.2000000000,
F,75,1,1961,2.7000000000,
F,76,1,1961,2.3000000000,
