"year","sex","age_group","population"
2012,"Female","35-39",270924.844593938
2013,"Female","35-39",271106.168664668
2014,"Female","35-39",269341.826114642
2015,"Female","35-39",266815.202743794
2016,"Female","35-39",266531.662280238
2017,"Female","35-39",265576.317622782
2018,"Female","35-39",262620.454579939
2019,"Female","35-39",262926.368024888
2020,"Female","35-39",261217.818717469
2021,"Female","35-39",258027.137332653
2022,"Female","35-39",257830.405249891
2023,"Female","35-39",256474.184707531
2024,"Female","35-39",255575.848316795
2012,"Male","35-39",251115.561492281
2013,"Male","35-39",249346.161536888
2014,"Male","35-39",248812.342235415
2015,"Male","35-39",246726.078337131
2016,"Male","35-39",245618.330663414
2017,"Male","35-39",244807.558685959
2018,"Male","35-39",243124.263008589
2019,"Male","35-39",242163.260399655
2020,"Male","35-39",239935.194314108
2021,"Male","35-39",240028.582256038
2022,"Male","35-39",237810.063783959
2023,"Male","35-39",237381.622793414
2024,"Male","35-39",235975.620336316
2012,"Female","40-44",276199.468705091
2013,"Female","40-44",276066.467877571
2014,"Female","40-44",275056.317692081
2015,"Female","40-44",274972.790207605
2016,"Female","40-44",274227.559568583
2017,"Female","40-44",273629.106405678
2018,"Female","40-44",272948.110794563
2019,"Female","40-44",271970.783576957
2020,"Female","40-44",271170.979422817
2021,"Female","40-44",271198.533798512
2022,"Female","40-44",269908.606590219
2023,"Female","40-44",270565.605551774
2024,"Female","40-44",269384.028915414
2012,"Male","40-44",254098.987526123
2013,"Male","40-44",254936.515936583
2014,"Male","40-44",252899.427021699
2015,"Male","40-44",253363.151869665
2016,"Male","40-44",252736.962683006
2017,"Male","40-44",251604.41636403
2018,"Male","40-44",252016.184510162
2019,"Male","40-44",251802.703525162
2020,"Male","40-44",250737.116766679
2021,"Male","40-44",250759.793625738
2022,"Male","40-44",250248.900873278
2023,"Male","40-44",249990.029341977
2024,"Male","40-44",248893.148052171
2012,"Female","45-49",280490.223978279
2013,"Female","45-49",281565.477152124
2014,"Female","45-49",281501.171157042
2015,"Female","45-49",280846.452600799
2016,"Female","45-49",281216.8954777
2017,"Female","45-49",281033.969619286
2018,"Female","45-49",281853.333360095
2019,"Female","45-49",280794.926088266
2020,"Female","45-49",279800.554194167
2021,"Female","45-49",280211.739374009
2022,"Female","45-49",280635.015679338
2023,"Female","45-49",281080.335513465
2024,"Female","45-49",280187.808129329
2012,"Male","45-49",258511.442499384
2013,"Male","45-49",259620.131566349
2014,"Male","45-49",259265.676783727
2015,"Male","45-49",260383.292541291
2016,"Male","45-49",259302.183744274
2017,"Male","45-49",258731.892476016
2018,"Male","45-49",258867.127549089
2019,"Male","45-49",259725.927273229
2020,"Male","45-49",258838.494237588
2021,"Male","45-49",258402.624309117
2022,"Male","45-49",260134.665868249
2023,"Male","45-49",258418.64448809
2024,"Male","45-49",259234.536705916
2012,"Female","50-54",289941.909678386
2013,"Female","50-54",291128.449921411
2014,"Female","50-54",291541.782757926
2015,"Female","50-54",291760.376421524
2016,"Female","50-54",292692.616675126
2017,"Female","50-54",293333.873211548
2018,"Female","50-54",293334.460266952
2019,"Female","50-54",293944.218405197
2020,"Female","50-54",294620.708220287
2021,"Female","50-54",295752.509533924
2022,"Female","50-54",296102.712305552
2023,"Female","50-54",297712.415595527
2024,"Female","50-54",298351.047834573
2012,"Male","50-54",268991.241266073
2013,"Male","50-54",269593.738075943
2014,"Male","50-54",268700.005278165
2015,"Male","50-54",270604.782022585
2016,"Male","50-54",270439.54822174
2017,"Male","50-54",270238.836284184
2018,"Male","50-54",271225.60795757
2019,"Male","50-54",272667.059275798
2020,"Male","50-54",272680.404893693
2021,"Male","50-54",272744.862379973
2022,"Male","50-54",273466.742654621
2023,"Male","50-54",273479.165781903
2024,"Male","50-54",274521.814623484
2012,"Female","55-59",284431.741894556
2013,"Female","55-59",286229.311600257
2014,"Female","55-59",287181.83958459
2015,"Female","55-59",288524.579404082
2016,"Female","55-59",289638.037950368
2017,"Female","55-59",292032.643544555
2018,"Female","55-59",292997.600709605
2019,"Female","55-59",295312.709548569
