"year","sex","age_group","population","source_table","reference_time"
1961,"Female","35-39",110100,"110-01001","Mid-year"
1961,"Female","40-44",96800,"110-01001","Mid-year"
1961,"Female","45-49",82600,"110-01001","Mid-year"
1961,"Female","50-54",69300,"110-01001","Mid-year"
1961,"Female","55-59",53100,"110-01001","Mid-year"
1961,"Female","60-64",43000,"110-01001","Mid-year"
1961,"Female","65-69",30300,"110-01001","Mid-year"
1961,"Female","70-74",20100,"110-01001","Mid-year"
1961,"Female","75-79",10200,"110-01001","Mid-year"
1961,"Female","80-84",5500,"110-01001","Mid-year"
1961,"Female","85+",2000,"110-01001","Mid-year"
1961,"Male","35-39",119100,"110-01001","Mid-year"
1961,"Male","40-44",106900,"110-01001","Mid-year"
1961,"Male","45-49",85100,"110-01001","Mid-year"
1961,"Male","50-54",64600,"110-01001","Mid-year"
1961,"Male","55-59",38000,"110-01001","Mid-year"
1961,"Male","60-64",26800,"110-01001","Mid-year"
1961,"Male","65-69",15300,"110-01001","Mid-year"
1961,"Male","70-74",9600,"110-01001","Mid-year"
1961,"Male","75-79",4100,"110-01001","Mid-year"
1961,"Male","80-84",2200,"110-01001","Mid-year"
1961,"Male","85+",800,"110-01001","Mid-year"
1962,"Female","35-39",113300,"110-01001","Mid-year"
1962,"Female","40-44",99900,"110-01001","Mid-year"
1962,"Female","45-49",85500,"110-01001","Mid-year"
1962,"Female","50-54",72600,"110-01001","Mid-year"
1962,"Female","55-59",55500,"110-01001","Mid-year"
1962,"Female","60-64",45500,"110-01001","Mid-year"
1962,"Female","65-69",32200,"110-01001","Mid-year"
1962,"Female","70-74",21300,"110-01001","Mid-year"
1962,"Female","75-79",11200,"110-01001","Mid-year"
1962,"Female","80-84",5500,"110-01001","Mid-year"
1962,"Female","85+",2600,"110-01001","Mid-year"
1962,"Male","35-39",122800,"110-01001","Mid-year"
1962,"Male","40-44",110600,"110-01001","Mid-year"
1962,"Male","45-49",79200,"110-01001","Mid-year"
1962,"Male","50-54",69400,"110-01001","Mid-year"
1962,"Male","55-59",41500,"110-01001","Mid-year"
1962,"Male","60-64",29100,"110-01001","Mid-year"
1962,"Male","65-69",16400,"110-01001","Mid-year"
1962,"Male","70-74",10100,"110-01001","Mid-year"
1962,"Male","75-79",4600,"110-01001","Mid-year"
1962,"Male","80-84",2100,"110-01001","Mid-year"
1962,"Male","85+",1100,"110-01001","Mid-year"
1963,"Female","35-39",116500,"110-01001","Mid-year"
1963,"Female","40-44",102600,"110-01001","Mid-year"
1963,"Female","45-49",88100,"110-01001","Mid-year"
1963,"Female","50-54",75200,"110-01001","Mid-year"
1963,"Female","55-59",58100,"110-01001","Mid-year"
1963,"Female","60-64",47100,"110-01001","Mid-year"
1963,"Female","65-69",34200,"110-01001","Mid-year"
1963,"Female","70-74",22500,"110-01001","Mid-year"
1963,"Female","75-79",12300,"110-01001","Mid-year"
1963,"Female","80-84",5600,"110-01001","Mid-year"
1963,"Female","85+",3100,"110-01001","Mid-year"
1963,"Male","35-39",126400,"110-01001","Mid-year"
1963,"Male","40-44",113200,"110-01001","Mid-year"
1963,"Male","45-49",93200,"110-01001","Mid-year"
1963,"Male","50-54",73100,"110-01001","Mid-year"
1963,"Male","55-59",45600,"110-01001","Mid-year"
1963,"Male","60-64",30500,"110-01001","Mid-year"
1963,"Male","65-69",17900,"110-01001","Mid-year"
1963,"Male","70-74",10400,"110-01001","Mid-year"
1963,"Male","75-79",5000,"110-01001","Mid-year"
1963,"Male","80-84",2100,"110-01001","Mid-year"
1963,"Male","85+",1200,"110-01001","Mid-year"
1964,"Female","35-39",119500,"110-01001","Mid-year"
1964,"Female","40-44",104700,"110-01001","Mid-year"
1964,"Female","45-49",90600,"110-01001","Mid-year"
1964,"Female","50-54",77300,"110-01001","Mid-year"
1964,"Female","55-59",61100,"110-01001","Mid-year"
1964,"Female","60-64",48200,"110-01001","Mid-year"
1964,"Female","65-69",36500,"110-01001","Mid-year"
1964,"Female","70-74",23600,"110-01001","Mid-year"
1964,"Female","75-79",13600,"110-01001","Mid-year"
1964,"Female","80-84",5800,"110-01001","Mid-year"
1964,"Female","85+",3500,"110-01001","Mid-year"
1964,"Male","35-39",128800,"110-01001","Mid-year"
1964,"Male","40-44",113800,"110-01001","Mid-year"
1964,"Male","45-49",96500,"110-01001","Mid-year"
1964,"Male","50-54",75600,"110-01001","Mid-year"
1964,"Male","55-59",50100,"110-01001","Mid-year"
1964,"Male","60-64",31000,"110-01001","Mid-year"
1964,"Male","65-69",19700,"110-01001","Mid-year"
1964,"Male","70-74",10500,"110-01001","Mid-year"
1964,"Male","75-79",5600,"110-01001","Mid-year"
1964,"Male","80-84",2100,"110-01001","Mid-year"
1964,"Male","85+",1400,"110-01001","Mid-year"
1965,"Female","35-39",122400,"110-01001","Mid-year"
1965,"Female","40-44",106900,"110-01001","Mid-year"
1965,"Female","45-49",93400,"110-01001","Mid-year"
1965,"Female","50-54",79300,"110-01001","Mid-year"
1965,"Female","55-59",64300,"110-01001","Mid-year"
1965,"Female","60-64",49300,"110-01001","Mid-year"
1965,"Female","65-69",38700,"110-01001","Mid-year"
1965,"Female","70-74",24900,"110-01001","Mid-year"
1965,"Female","75-79",14900,"110-01001","Mid-year"
1965,"Female","80-84",6300,"110-01001","Mid-year"
1965,"Female","85+",3900,"110-01001","Mid-year"
1965,"Male","35-39",132400,"110-01001","Mid-year"
1965,"Male","40-44",115700,"110-01001","Mid-year"
1965,"Male","45-49",100600,"110-01001","Mid-year"
1965,"Male","50-54",78500,"110-01001","Mid-year"
1965,"Male","55-59",55400,"110-01001","Mid-year"
1965,"Male","60-64",32000,"110-01001","Mid-year"
1965,"Male","65-69",21600,"110-01001","Mid-year"
1965,"Male","70-74",10900,"110-01001","Mid-year"
1965,"Male","75-79",6100,"110-01001","Mid-year"
1965,"Male","80-84",2100,"110-01001","Mid-year"
1965,"Male","85+",1500,"110-01001","Mid-year"
1966,"Female","35-39",123600,"110-01001","Mid-year"
1966,"Female","40-44",108700,"110-01001","Mid-year"
1966,"Female","45-49",95600,"110-01001","Mid-year"
1966,"Female","50-54",80900,"110-01001","Mid-year"
1966,"Female","55-59",67200,"110-01001","Mid-year"
1966,"Female","60-64",50500,"110-01001","Mid-year"
1966,"Female","65-69",40500,"110-01001","Mid-year"
1966,"Female","70-74",26200,"110-01001","Mid-year"
1966,"Female","75-79",16000,"110-01001","Mid-year"
1966,"Female","80-84",6900,"110-01001","Mid-year"
1966,"Female","85+",4200,"110-01001","Mid-year"
1966,"Male","35-39",130400,"110-01001","Mid-year"
1966,"Male","40-44",113500,"110-01001","Mid-year"
1966,"Male","45-49",101200,"110-01001","Mid-year"
1966,"Male","50-54",79200,"110-01001","Mid-year"
1966,"Male","55-59",58900,"110-01001","Mid-year"
1966,"Male","60-64",32700,"110-01001","Mid-year"
1966,"Male","65-69",22900,"110-01001","Mid-year"
1966,"Male","70-74",11300,"110-01001","Mid-year"
1966,"Male","75-79",6500,"110-01001","Mid-year"
1966,"Male","80-84",2300,"110-01001","Mid-year"
1966,"Male","85+",1500,"110-01001","Mid-year"
1967,"Female","35-39",124800,"110-01001","Mid-year"
1967,"Female","40-44",111800,"110-01001","Mid-year"
1967,"Female","45-49",98400,"110-01001","Mid-year"
1967,"Female","50-54",83400,"110-01001","Mid-year"
1967,"Female","55-59",70100,"110-01001","Mid-year"
1967,"Female","60-64",52600,"110-01001","Mid-year"
1967,"Female","65-69",42200,"110-01001","Mid-year"
1967,"Female","70-74",27900,"110-01001","Mid-year"
1967,"Female","75-79",17000,"110-01001","Mid-year"
1967,"Female","80-84",7700,"110-01001","Mid-year"
1967,"Female","85+",4400,"110-01001","Mid-year"
1967,"Male","35-39",133500,"110-01001","Mid-year"
1967,"Male","40-44",117700,"110-01001","Mid-year"
1967,"Male","45-49",105400,"110-01001","Mid-year"
1967,"Male","50-54",83500,"110-01001","Mid-year"
1967,"Male","55-59",63500,"110-01001","Mid-year"
1967,"Male","60-64",35800,"110-01001","Mid-year"
1967,"Male","65-69",24400,"110-01001","Mid-year"
1967,"Male","70-74",12200,"110-01001","Mid-year"
1967,"Male","75-79",6800,"110-01001","Mid-year"
1967,"Male","80-84",2600,"110-01001","Mid-year"
1967,"Male","85+",1500,"110-01001","Mid-year"
1968,"Female","35-39",124700,"110-01001","Mid-year"
1968,"Female","40-44",115000,"110-01001","Mid-year"
1968,"Female","45-49",101000,"110-01001","Mid-year"
1968,"Female","50-54",85900,"110-01001","Mid-year"
1968,"Female","55-59",72600,"110-01001","Mid-year"
1968,"Female","60-64",55100,"110-01001","Mid-year"
1968,"Female","65-69",43500,"110-01001","Mid-year"
1968,"Female","70-74",29900,"110-01001","Mid-year"
1968,"Female","75-79",18000,"110-01001","Mid-year"
1968,"Female","80-84",8500,"110-01001","Mid-year"
1968,"Female","85+",4600,"110-01001","Mid-year"
1968,"Male","35-39",134400,"110-01001","Mid-year"
1968,"Male","40-44",121600,"110-01001","Mid-year"
1968,"Male","45-49",108300,"110-01001","Mid-year"
1968,"Male","50-54",87700,"110-01001","Mid-year"
1968,"Male","55-59",67100,"110-01001","Mid-year"
1968,"Male","60-64",39800,"110-01001","Mid-year"
1968,"Male","65-69",25300,"110-01001","Mid-year"
1968,"Male","70-74",13500,"110-01001","Mid-year"
1968,"Male","75-79",6900,"110-01001","Mid-year"
1968,"Male","80-84",2900,"110-01001","Mid-year"
1968,"Male","85+",1600,"110-01001","Mid-year"
1969,"Female","35-39",123200,"110-01001","Mid-year"
1969,"Female","40-44",118200,"110-01001","Mid-year"
1969,"Female","45-49",103100,"110-01001","Mid-year"
1969,"Female","50-54",88500,"110-01001","Mid-year"
1969,"Female","55-59",74600,"110-01001","Mid-year"
1969,"Female","60-64",57900,"110-01001","Mid-year"
1969,"Female","65-69",44500,"110-01001","Mid-year"
1969,"Female","70-74",32000,"110-01001","Mid-year"
1969,"Female","75-79",19000,"110-01001","Mid-year"
1969,"Female","80-84",9500,"110-01001","Mid-year"
1969,"Female","85+",4900,"110-01001","Mid-year"
1969,"Male","35-39",132900,"110-01001","Mid-year"
1969,"Male","40-44",124700,"110-01001","Mid-year"
1969,"Male","45-49",109600,"110-01001","Mid-year"
1969,"Male","50-54",91400,"110-01001","Mid-year"
1969,"Male","55-59",69800,"110-01001","Mid-year"
1969,"Male","60-64",44300,"110-01001","Mid-year"
1969,"Male","65-69",25800,"110-01001","Mid-year"
