Station:  
Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available

YEAR,POLLUTANT,STATION,Month 01,Month 02,Month 03,Month 04,Month 05,Month 06,Month 07,Month 08,Month 09,Month 10,Month 11,Month 12
2023,Fine Suspended Particulates ,CENTRAL/WESTERN,21,19,21,19,16,5,5,6,7,13,16,22
2023,Fine Suspended Particulates ,EASTERN,19,18,20,17,16,7,6,7,8,13,16,20
2023,Fine Suspended Particulates ,KWAI CHUNG,21,19,20,18,15,9,9,10,10,16,17,22
2023,Fine Suspended Particulates ,KWUN TONG,20,18,20,16,16,7,8,9,9,15,17,21
2023,Fine Suspended Particulates ,NORTH,22,17,19,16,16,9,9,11,9,16,19,19
2023,Fine Suspended Particulates ,SHAM SHUI PO,18,16,12,11,13,6,6,9,10,16,17,22
2023,Fine Suspended Particulates ,SHATIN,19,15,17,13,12,6,6,8,8,14,16,20
2023,Fine Suspended Particulates ,SOUTHERN,18,15,16,16,14,6,6,7,7,13,14,17
2023,Fine Suspended Particulates ,TAI PO,21,19,21,17,16,8,9,7,9,16,19,22
2023,Fine Suspended Particulates ,TAP MUN,19,16,16,13,12,5,6,6,7,13,16,17
2023,Fine Suspended Particulates ,TSEUNG KWAN O,22,18,19,18,17,9,9,10,10,16,18,18
2023,Fine Suspended Particulates ,TSUEN WAN,21,18,19,17,16,9,9,10,9,15,17,23
2023,Fine Suspended Particulates ,TUEN MUN,28,22,23,19,17,7,7,13,12,19,24,31
2023,Fine Suspended Particulates ,TUNG CHUNG,18,18,15,16,15,8,8,9,10,17,17,14
2023,Fine Suspended Particulates ,YUEN LONG,24,19,22,17,16,8,8,9,9,18,21,26
2023,Nitrogen Dioxide,CENTRAL/WESTERN,36,36,38,36,31,24,21,23,30,29,36,46
2023,Nitrogen Dioxide,EASTERN,34,35,38,36,32,26,24,26,30,28,34,41
2023,Nitrogen Dioxide,KWAI CHUNG,41,47,54,45,54,53,48,54,44,45,52,58
2023,Nitrogen Dioxide,KWUN TONG,38,42,49,42,39,37,36,42,39,37,46,51
2023,Nitrogen Dioxide,NORTH,35,30,34,27,25,26,23,27,25,29,38,40
2023,Nitrogen Dioxide,SHAM SHUI PO,44,50,50,47,43,37,33,38,39,38,46,56
2023,Nitrogen Dioxide,SHATIN,30,27,34,23,25,24,26,30,20,20,29,36
2023,Nitrogen Dioxide,SOUTHERN,30,29,25,28,25,21,20,25,21,21,25,38
2023,Nitrogen Dioxide,TAI PO,31,27,29,24,24,24,23,26,22,25,33,37
2023,Nitrogen Dioxide,TAP MUN,10,9,10,8,8,4,6,8,7,6,8,13
2023,Nitrogen Dioxide,TSEUNG KWAN O,21,20,27,19,22,23,20,24,18,16,25,27
2023,Nitrogen Dioxide,TSUEN WAN,42,44,44,43,40,37,33,40,34,33,40,51
2023,Nitrogen Dioxide,TUEN MUN,44,50,47,38,33,30,28,33,31,35,48,61
2023,Nitrogen Dioxide,TUNG CHUNG,30,34,30,25,20,17,16,20,21,26,29,44
2023,Nitrogen Dioxide,YUEN LONG,38,40,44,35,33,31,29,34,30,34,45,52
2023,Ozone,CENTRAL/WESTERN,58,75,84,73,71,50,48,48,51,86,85,60
2023,Ozone,EASTERN,65,79,88,81,76,53,50,48,57,85,87,64
2023,Ozone,KWAI CHUNG,45,55,57,60,49,26,26,23,39,63,64,45
2023,Ozone,KWUN TONG,47,62,65,59,50,25,30,28,41,72,73,53
2023,Ozone,NORTH,49,76,82,75,70,41,39,40,52,75,72,58
2023,Ozone,SHAM SHUI PO,47,59,58,61,56,34,34,32,42,72,73,47
2023,Ozone,SHATIN,55,75,75,77,67,39,37,34,52,79,74,55
2023,Ozone,SOUTHERN,59,77,86,69,60,38,42,40,58,95,96,69
2023,Ozone,TAI PO,52,76,83,77,71,42,43,39,56,79,75,56
2023,Ozone,TAP MUN,65,85,97,90,79,51,46,42,60,89,96,73
2023,Ozone,TSEUNG KWAN O,64,81,83,83,73,41,43,40,51,91,90,73
2023,Ozone,TSUEN WAN,38,54,63,55,50,28,28,25,40,70,69,46
2023,Ozone,TUEN MUN,45,51,66,64,62,40,39,40,47,73,66,40
