"scenario_id","cell_class","scale","outcome","effect","kernel","serial_dependence","depletion","covid_shock","overdispersion","exposure_col","data_status","n_reps_planned","design_version"
"CORE_01","core","chd_like","chd","null","same_day","none","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_02","core","chd_like","chd","null","same_day","outcome_matched","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_03","core","chd_like","chd","null","cumulative_0_5","none","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_04","core","chd_like","chd","null","cumulative_0_5","outcome_matched","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_05","core","chd_like","chd","null","cumulative_0_21","none","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_06","core","chd_like","chd","null","cumulative_0_21","outcome_matched","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_07","core","chd_like","chd","small","same_day","none","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_08","core","chd_like","chd","small","same_day","outcome_matched","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_09","core","chd_like","chd","small","cumulative_0_5","none","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_10","core","chd_like","chd","small","cumulative_0_5","outcome_matched","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_11","core","chd_like","chd","small","cumulative_0_21","none","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_12","core","chd_like","chd","small","cumulative_0_21","outcome_matched","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_13","core","chd_like","chd","moderate","same_day","none","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_14","core","chd_like","chd","moderate","same_day","outcome_matched","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_15","core","chd_like","chd","moderate","cumulative_0_5","none","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_16","core","chd_like","chd","moderate","cumulative_0_5","outcome_matched","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_17","core","chd_like","chd","moderate","cumulative_0_21","none","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_18","core","chd_like","chd","moderate","cumulative_0_21","outcome_matched","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_19","core","hf_like","hf","null","same_day","none","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_20","core","hf_like","hf","null","same_day","outcome_matched","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_21","core","hf_like","hf","null","cumulative_0_5","none","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_22","core","hf_like","hf","null","cumulative_0_5","outcome_matched","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_23","core","hf_like","hf","null","cumulative_0_21","none","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_24","core","hf_like","hf","null","cumulative_0_21","outcome_matched","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_25","core","hf_like","hf","small","same_day","none","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_26","core","hf_like","hf","small","same_day","outcome_matched","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_27","core","hf_like","hf","small","cumulative_0_5","none","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_28","core","hf_like","hf","small","cumulative_0_5","outcome_matched","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_29","core","hf_like","hf","small","cumulative_0_21","none","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_30","core","hf_like","hf","small","cumulative_0_21","outcome_matched","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_31","core","hf_like","hf","moderate","same_day","none","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
