outcome,exposure,raw_share_2013_2018,residual_var_share_2013_2018,count_weighted_info_share_2013_2018,count_weight_ratio_vs_flat,mu_proxy_ratio_first_to_last_year,residual_var_share_pre_covid,provenance
chd,mean_temp,0.5384810046632617,0.5276920981378503,0.6103736324014208,0.9923972192804332,1.9337823581919986,0.6313893354146469,REAL climate x HA_APPROVED_AGGREGATE annual totals
hf,mean_temp,0.5384810046632617,0.5276920981378503,0.6139139303420127,0.987626842438938,1.8885017421602788,0.6313893354146469,REAL climate x HA_APPROVED_AGGREGATE annual totals
chd,mean_tmax,0.5372673521691869,0.5183909648697165,0.5982841018802436,0.9880789671518828,1.9337823581919986,0.6163663321064394,REAL climate x HA_APPROVED_AGGREGATE annual totals
hf,mean_tmax,0.5372673521691869,0.5183909648697165,0.6038713561027393,0.9856091250983264,1.8885017421602788,0.6163663321064394,REAL climate x HA_APPROVED_AGGREGATE annual totals
chd,mean_tmin,0.538350408194943,0.526392630889485,0.6074194271772096,0.9863850852244199,1.9337823581919986,0.6375463547087514,REAL climate x HA_APPROVED_AGGREGATE annual totals
hf,mean_tmin,0.538350408194943,0.526392630889485,0.610653156795859,0.9825138557473911,1.8885017421602788,0.6375463547087514,REAL climate x HA_APPROVED_AGGREGATE annual totals
chd,hot_nights,0.40979955456570155,0.4632281759237726,0.4991088298356076,0.9905517382990154,1.9337823581919986,0.47282160800138506,REAL climate x HA_APPROVED_AGGREGATE annual totals
hf,hot_nights,0.40979955456570155,0.4632281759237726,0.5000044959814572,0.9714110801551032,1.8885017421602788,0.47282160800138506,REAL climate x HA_APPROVED_AGGREGATE annual totals
chd,cold_days,0.6413793103448275,0.5533050791262598,0.6291490431217741,1.0208649242527632,1.9337823581919986,0.6567060501319771,REAL climate x HA_APPROVED_AGGREGATE annual totals
hf,cold_days,0.6413793103448275,0.5533050791262598,0.6322124274182523,1.016327918859611,1.8885017421602788,0.6567060501319771,REAL climate x HA_APPROVED_AGGREGATE annual totals
chd,very_hot_days,0.42992874109263657,0.5350872689131406,0.5563748372919894,0.9437026757871434,1.9337823581919986,0.5731865428908847,REAL climate x HA_APPROVED_AGGREGATE annual totals
hf,very_hot_days,0.42992874109263657,0.5350872689131406,0.5644184727064195,0.9443852177428508,1.8885017421602788,0.5731865428908847,REAL climate x HA_APPROVED_AGGREGATE annual totals
