outcome,pathway_id,exposure,rr_baseline_ns4,rr_covid_phase_adjusted,delta_log_rr_adjusted_minus_baseline,transfer_per_0p10_log_dip,implied_dip_log_amplitude,implied_dip_percent_count_shortfall,provenance
chd,P01A,mean_temp,0.993055071570653,0.989188466909452,-0.0039012457250508304,0.0035813833244491035,0.10893125286025977,10.320793273134509,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
chd,P02A,mean_tmax,0.992937850414184,0.990058600315448,-0.0029039407720963173,0.0026001909577958466,0.111681827190029,10.567123666738553,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
chd,P02B,mean_tmin,0.994170681340187,0.990875158157513,-0.003320352754371197,0.0033299061738435737,0.0997131024427229,9.490294907683328,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
chd,P04A,hot_nights,1.02182421201542,1.01321653338228,-0.008459516091213454,0.0074950026675214,0.11286875357458705,10.673210935961364,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
chd,P04B,cold_days,0.994631216608471,0.990601180976879,-0.004060019544650599,-0.004234589807322217,-0.0958775165809505,9.142470533777015,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
chd,P04C,very_hot_days,0.999390162221515,0.99307028651025,-0.006343811652574331,0.005711467945247999,0.11107147432828453,10.512521393102602,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
hf,P01A,mean_temp,0.974329693816984,0.967010478909772,-0.007540409135425731,0.0035813833244491035,0.21054459833856556,18.985707668073694,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
hf,P02A,mean_tmax,0.981133749009481,0.975852288948601,-0.005397558062016399,0.0026001909577958466,0.20758314099330036,18.74543168905063,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
hf,P02B,mean_tmin,0.973095334250664,0.966242969146434,-0.007066733646970264,0.0033299061738435737,0.21222020315405538,19.121341939974513,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
hf,P04A,hot_nights,1.0031093510209,0.993708282108698,-0.009416121148940814,0.0074950026675214,0.12563199196371638,11.806065216222505,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
hf,P04B,cold_days,1.07280014928024,1.07368997741871,0.0008291006591411854,-0.004234589807322217,0.019579243725273004,1.938881517365243,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
hf,P04C,very_hot_days,0.995011171062262,0.989790785901551,-0.005260370870132129,0.005711467945247999,0.09210190655992061,8.798779521706468,HA_APPROVED_AGGREGATE x ILLUSTRATIVE_ALGEBRA
