outcome,pathway_id,exposure,scenario,window,n_months,mean_monthly_events_in_window,rr,rr_low,rr_high,log_rr,p_value_nw6,provenance
chd,P01A,mean_temp,baseline_ns4,2013-2023,132,1183.0,0.993055071570653,0.976249323608267,1.01015012387133,-0.0069691566856244875,0.423539192797939,HA_APPROVED_AGGREGATE
chd,P01A,mean_temp,drop_first_12_months,2014-2023,120,1102.7166666666667,0.988686158042384,0.969809343477015,1.00793039959795,-0.011378330336470323,0.247324960832911,HA_APPROVED_AGGREGATE
chd,P01A,mean_temp,drop_first_24_months,2015-2023,108,1060.7962962962963,0.996293755366283,0.976334238260807,1.01666131134561,-0.0037131297756376916,0.719129648039777,HA_APPROVED_AGGREGATE
chd,P01A,mean_temp,pre_covid,2013-2019,84,1315.297619047619,0.980100642336755,0.969815597640151,0.990494761526147,-0.020100016328424685,0.000188115691613169,HA_APPROVED_AGGREGATE
chd,P02A,mean_tmax,baseline_ns4,2013-2023,132,1183.0,0.992937850414184,0.979137817383346,1.0069323820215,-0.007087204595370231,0.320946001953216,HA_APPROVED_AGGREGATE
chd,P02A,mean_tmax,drop_first_12_months,2014-2023,120,1102.7166666666667,0.989441286475589,0.974461281809032,1.0046515727798,-0.01061485225827267,0.172641484027678,HA_APPROVED_AGGREGATE
chd,P02A,mean_tmax,drop_first_24_months,2015-2023,108,1060.7962962962963,0.995064016197046,0.979011463070403,1.01137977815382,-0.004948206006658954,0.550957310993626,HA_APPROVED_AGGREGATE
chd,P02A,mean_tmax,pre_covid,2013-2019,84,1315.297619047619,0.982387908106827,0.9739988049568,0.990849267045366,-0.017769030188190545,4.88760483260803e-05,HA_APPROVED_AGGREGATE
chd,P02B,mean_tmin,baseline_ns4,2013-2023,132,1183.0,0.994170681340187,0.977067986744829,1.01157274319186,-0.005846375456467957,0.509026940897322,HA_APPROVED_AGGREGATE
chd,P02B,mean_tmin,drop_first_12_months,2014-2023,120,1102.7166666666667,0.989965896932823,0.970584309090231,1.00973451549885,-0.010084783989434696,0.317458553638481,HA_APPROVED_AGGREGATE
chd,P02B,mean_tmin,drop_first_24_months,2015-2023,108,1060.7962962962963,0.997530807200732,0.977004761410271,1.01848808789652,-0.002472246283270802,0.815717277907996,HA_APPROVED_AGGREGATE
chd,P02B,mean_tmin,pre_covid,2013-2019,84,1315.297619047619,0.981724018348483,0.971529675860712,0.992025330928204,-0.01844505050524594,0.000533414378955754,HA_APPROVED_AGGREGATE
chd,P04A,hot_nights,baseline_ns4,2013-2023,132,1183.0,1.02182421201542,1.00185374479531,1.04219276085479,0.021589473088339296,0.0320398433085943,HA_APPROVED_AGGREGATE
chd,P04A,hot_nights,drop_first_12_months,2014-2023,120,1102.7166666666667,1.01967995434598,0.999907237597162,1.03984366769222,0.019488807810956424,0.0510910055561772,HA_APPROVED_AGGREGATE
chd,P04A,hot_nights,drop_first_24_months,2015-2023,108,1060.7962962962963,1.01721170769862,0.998531442578056,1.03624143833432,0.017065264230833713,0.0711386881236465,HA_APPROVED_AGGREGATE
chd,P04A,hot_nights,pre_covid,2013-2019,84,1315.297619047619,1.0109822438503,0.990758328483629,1.03161898113428,0.010922376926932707,0.289405387812547,HA_APPROVED_AGGREGATE
