scenario,hypothesis,n_reps,n_ok,frac_ok,mean_est,mean_se,est_p05,est_p50,est_p95,mean_stat,stat_p05,stat_p50,stat_p95,empirical_size_or_power,coverage,stat_name,data_status
HE01_size_rho06,HE-01,200,200,1.0,0.0015385939486819932,0.0184767453153383,-0.025718721839757964,0.0002209170569097696,0.03197552849334105,0.025,0.0,0.0,0.0,0.025,0.975,size_reject,SYNTHETIC_CALIBRATION
HE01_size_rho06_kink2020,HE-01,200,200,1.0,-0.002472402209345678,0.018673443932854247,-0.0327451376064438,-0.0038380544453459065,0.027321418553916746,0.07,0.0,0.0,1.0,0.07,0.93,size_reject,SYNTHETIC_CALIBRATION
HE01_size_rho08,HE-01,200,200,1.0,-0.001559222571684543,0.017191833016056243,-0.0319165959962673,-0.0013479588421772323,0.026672305941307314,0.055,0.0,0.0,1.0,0.055,0.945,size_reject,SYNTHETIC_CALIBRATION
HE01_size_rho10,HE-01,200,200,1.0,4.3259826682496765e-06,0.01592202346763765,-0.02928849646863121,0.0007573272403678943,0.022782641874703597,0.05,0.0,0.0,0.04999999999998295,0.05,0.95,size_reject,SYNTHETIC_CALIBRATION
HE03_u085,HE-03,200,200,1.0,0.006968049221369224,0.016748088021756185,-0.010924284528408504,0.006718367722157727,0.02404348295049837,0.44374735534758997,-1.72655642589134,0.43844002305217245,2.270188179294512,0.01,0.01,relative_attenuation,SYNTHETIC_CALIBRATION
HE03_u095,HE-03,200,200,1.0,0.005034143904102351,0.017317968345428505,-0.010993708975916765,0.004887711589281718,0.019549702633782244,1.0195813669650524,-0.9669985185391834,0.5543908875363208,1.6491032897873181,0.0,0.0,relative_attenuation,SYNTHETIC_CALIBRATION
HE03_u099,HE-03,200,200,1.0,0.004549255997533691,0.017322026298885598,-0.011170106805985246,0.004714175938741813,0.019033034770530272,-1.1429436640035668,-1.7849889402776633,0.5474559400752708,1.6050980831044024,0.0,0.0,relative_attenuation,SYNTHETIC_CALIBRATION
HE05_phi00,HE-05,200,200,1.0,0.06397310203187058,0.01566922339831598,-0.03822971690296,0.06356663148690674,0.16147704670446153,-21.632735783808815,-4.36982885034452,-0.1415679278738633,2.785829331194074,0.345,0.38,phi_hat,SYNTHETIC_CALIBRATION
HE05_phi03,HE-05,200,200,1.0,0.04213152039769772,0.015752978957795552,-0.05775280470893569,0.042196121645952975,0.1399303455091083,0.1401395713439142,-5.098120947623736,0.2665640817683746,2.623230226333174,0.52,0.405,phi_hat,SYNTHETIC_CALIBRATION
HE05_phi06,HE-05,200,200,1.0,0.023264538209440796,0.01583950457043036,-0.08581339577980096,0.026752195199349408,0.11625940913895545,-0.09343000303289412,-4.165995163916416,0.4662382145227093,3.842757993433714,0.675,0.415,phi_hat,SYNTHETIC_CALIBRATION
HE07_cT00_base,HE-07,200,200,1.0,0.0622161585935819,0.015151627067353846,-0.004415518395070507,0.06429423759395704,0.12250659653257517,0.005442489880232967,-0.054847948058760324,0.0033644108798578237,0.0720741668688853,0.815,0.555,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE07_cT00_macro,HE-07,200,200,1.0,0.05611739111166811,0.01484430583398613,-0.0910615484278424,0.06301340993203611,0.2006627573884241,0.01154125736214676,-0.1330041089146093,0.004645238541778757,0.15872019690165715,0.785,0.295,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE07_cT00_mnar,HE-07,200,200,1.0,0.04361531940688277,0.020963577183255793,-0.03540878339221168,0.0423851433273202,0.13229656466116588,0.0240433290669321,-0.06463791618735103,0.025273505146494665,0.10306743186602647,0.55,0.48,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE07_cT15_base,HE-07,200,200,1.0,-0.396482797477427,0.018506406415062866,-0.46505620612474313,-0.40074708263176917,-0.32440943219999546,0.4641414459512419,0.3920680806738103,0.46840573110558403,0.5327148545985579,1.0,0.0,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE07_cT15_macro,HE-07,200,200,1.0,-0.3940172866174968,0.018153903569876353,-0.5511633778191837,-0.3994810238652581,-0.23617527007803407,0.46167593509131166,0.3038339185518489,0.46713967233907294,0.6188220262929985,1.0,0.0,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE07_cT15_mnar,HE-07,200,200,1.0,-0.4000125764519318,0.02024136562598037,-0.4754334374820521,-0.3990494234810573,-0.3316784106770371,0.4676712249257467,0.399337059150852,0.4667080719548722,0.5430920859558669,1.0,0.0,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE07_cT30_base,HE-07,200,200,1.0,-0.9250911471562554,0.023795691041743453,-0.9926134690374694,-0.9273161082020387,-0.8475436610107611,0.9927497956300703,0.9152023094845759,0.9949747566758536,1.0602721175112841,1.0,0.0,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE07_cT30_macro,HE-07,200,200,1.0,-0.9292683451086344,0.023313301388222928,-1.0964154044574181,-0.938440922229405,-0.7707551843947981,0.9969269935824494,0.8384138328686128,1.0060995707032199,1.1640740529312328,1.0,0.0,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE07_cT30_mnar,HE-07,200,200,1.0,-0.9287349716399913,0.025263689816596626,-1.0030918705357774,-0.9308429859893925,-0.8444624279352752,0.9963936201138062,0.91212107640909,0.9985016344632074,1.0707505190095923,1.0,0.0,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE07_cT45_base,HE-07,200,200,1.0,-1.3507675361994307,0.02925168522849975,-1.4345444960927705,-1.3498091387862863,-1.2646959756060079,1.4184261846732458,1.3323546240798227,1.4174677872601011,1.502203144566585,1.0,0.0,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE07_cT45_macro,HE-07,200,200,1.0,-1.3449886905675135,0.028586548958829852,-1.517213903483094,-1.3563275716792478,-1.1585697852803425,1.4126473390413288,1.2262284337541574,1.4239862201530626,1.584872551956909,1.0,0.0,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE07_cT45_mnar,HE-07,200,200,1.0,-1.354220069857049,0.030886495274616604,-1.4575165577231675,-1.346543513980707,-1.259390575281326,1.4218787183308637,1.3270492237551408,1.4142021624545218,1.5251752061969823,1.0,0.0,epsM_minus_epsY,SYNTHETIC_CALIBRATION
HE08_d+00_base,HE-08,200,200,1.0,0.0499868183284523,0.015396931273320194,-0.010941942302833704,0.04860751337171079,0.10589135396180469,0.049090004716891844,0.005244540830357886,0.041392963119406,0.12167881908680102,0.41,0.5,RTE,SYNTHETIC_CALIBRATION
HE08_d+00_macro,HE-08,200,200,1.0,0.051498898234647844,0.01505294063981568,-0.0806470227932215,0.05036527141707845,0.1658871594863373,0.10153834582894407,0.008123990265599415,0.09128512526240616,0.21648467461275675,0.715,0.235,RTE,SYNTHETIC_CALIBRATION
HE08_d+00_mnar,HE-08,200,200,1.0,0.02781728498942395,0.021246511677530472,-0.056724234181610024,0.030627706633299293,0.11300011476788804,0.08476873447404251,0.006009061440305409,0.06662766136093912,0.24612981824765953,0.42,0.47,RTE,SYNTHETIC_CALIBRATION
HE08_d+03_base,HE-08,200,200,1.0,0.059454333702059436,0.015349257639042619,-0.001802795222283502,0.058287179972303475,0.11736972266370153,0.05766632506276318,0.0037781976607659602,0.043957229318759825,0.13914150211577614,0.45,0.555,RTE,SYNTHETIC_CALIBRATION
HE08_d+03_macro,HE-08,200,200,1.0,0.058530251408954986,0.015011457480804864,-0.058979985591907744,0.05620334173154154,0.1931743281645305,0.11689908788195646,0.008898946417115377,0.10578406099302898,0.2634363481037684,0.77,0.41,RTE,SYNTHETIC_CALIBRATION
HE08_d+03_mnar,HE-08,200,200,1.0,0.03529645142927868,0.021237448687567714,-0.04763152426002061,0.04034834091132232,0.11079334379777984,0.09975477972541114,0.007617530551594039,0.07949650507858655,0.266273845179559,0.495,0.53,RTE,SYNTHETIC_CALIBRATION
HE08_d-03_base,HE-08,200,200,1.0,0.04282090722048386,0.015444559484962088,-0.016239884141770723,0.04480333640925757,0.09337046683291655,0.05121248599159786,0.0052370431981439945,0.043195611583446286,0.12564362647166305,0.42,0.535,RTE,SYNTHETIC_CALIBRATION
HE08_d-03_macro,HE-08,200,200,1.0,0.04367888900422844,0.015110866031879737,-0.0723725123729507,0.04213189078517128,0.17007087558969333,0.10722610683781618,0.011577533370376538,0.09341285261095002,0.23530219333076965,0.74,0.29,RTE,SYNTHETIC_CALIBRATION
HE08_d-03_mnar,HE-08,200,200,1.0,0.025188296518842197,0.02098773994174026,-0.06498054921843473,0.026357731820090723,0.11220947453244501,0.0905673962470655,0.005424205391916712,0.06494082528768057,0.2284456271921874,0.43,0.425,RTE,SYNTHETIC_CALIBRATION
HE10_cold_base,HE-10,200,200,1.0,0.09414973831233851,0.016653445939003787,0.06949791661798213,0.09415495499219745,0.11709119983144267,0.17532194802528653,0.01362740711578038,0.1472611766476326,0.4200538532002176,,0.98,ADR,SYNTHETIC_CALIBRATION
HE10_cold_mnar,HE-10,200,200,1.0,0.09171767987470539,0.02474016229769225,0.05389796966720273,0.09083788883195076,0.13151233249290079,0.2928959637440792,0.014829379372080505,0.24778132428311514,0.8152962365365137,,0.95,ADR,SYNTHETIC_CALIBRATION
HE10_mean_base,HE-10,200,200,1.0,-0.03598350584753452,0.006738524667396951,-0.04647423500591115,-0.03592862018916508,-0.02486215867676425,0.08498227250868119,0.007847124127100136,0.06716662061579436,0.23632726003218552,,0.93,ADR,SYNTHETIC_CALIBRATION
HE10_mean_macro,HE-10,200,200,1.0,-0.03855891112342958,0.006588230128462696,-0.0858376589099505,-0.04039023123628345,0.015453004110219506,0.41381005682365285,0.03684782374599973,0.3435723399498032,0.9737052325521152,,0.31,ADR,SYNTHETIC_CALIBRATION
HE10_mean_mnar,HE-10,200,200,1.0,-0.031637307340968424,0.00754751606681304,-0.043860044421340075,-0.031967172904814885,-0.018133159544695188,0.1111687593969882,0.013535941381555026,0.08622982852488009,0.27663352147189996,,0.875,ADR,SYNTHETIC_CALIBRATION
HE10_mean_select,HE-10,200,200,1.0,-0.0899191611344807,0.008716985902767125,-0.10339555319053716,-0.0895895615085759,-0.07631563771653435,0.8402339981981766,0.6285864189751903,0.8351059912258418,1.0499036306671758,,0.0,ADR,SYNTHETIC_CALIBRATION
HEC202_demand,HE-C2-02,200,200,1.0,0.013217008032885183,0.01577187715436375,-0.012602993405241103,0.01223028257584428,0.03940951204345564,-0.0008325897221306306,-0.007633226885960624,-0.0007902530067271259,0.005274669260440131,,,dispersion_slope,SYNTHETIC_CALIBRATION
HEC202_queue,HE-C2-02,200,200,1.0,0.005910142997536023,0.01703295889853536,-0.009599329298768172,0.005801715382252857,0.02167859892805686,-0.007220085505503391,-0.013642694327040572,-0.006969862578028628,-0.002200920789616047,,,dispersion_slope,SYNTHETIC_CALIBRATION
HEC210_u085_Kflat,HE-C2-10,200,200,1.0,-0.016562824513526225,0.007183623216969315,-0.02401633716666874,-0.01606796774142263,-0.009920135667397927,0.3010652512307875,0.18510133061413445,0.30876437701313114,0.40441413891380135,,0.115,CATD,SYNTHETIC_CALIBRATION
HEC210_u085_Kseason,HE-C2-10,200,200,1.0,-0.02007978214672801,0.007096936600025727,-0.02789836003074733,-0.01984811361684268,-0.012573349533394349,0.24634740009561937,0.12470368829548344,0.24995176655465695,0.36313466486532153,,0.335,CATD,SYNTHETIC_CALIBRATION
HEC210_u095_Kflat,HE-C2-10,200,200,1.0,-0.013133682416481114,0.007385018064488484,-0.01966310378827789,-0.012825508288070962,-0.007085591159313569,0.35441684267905643,0.25283020334968176,0.35921150552141345,0.44851480790257364,,0.015,CATD,SYNTHETIC_CALIBRATION
HEC210_u095_Kseason,HE-C2-10,200,200,1.0,-0.016507586866454583,0.007284672144096398,-0.0233522577368666,-0.015934322549331494,-0.010231147431817095,0.30192465463132584,0.19543327178931438,0.3108436678344756,0.39957532730398354,,0.115,CATD,SYNTHETIC_CALIBRATION
HEC210_u105_Kflat,HE-C2-10,200,200,1.0,-0.01060229635794749,0.007616513285568543,-0.016273137769184143,-0.01021304558340222,-0.005088489922081506,0.3938008842179314,0.30557228196755265,0.3998569611335997,0.47958629058666835,,0.0,CATD,SYNTHETIC_CALIBRATION
HEC210_u105_Kseason,HE-C2-10,200,200,1.0,-0.013310923254142144,0.007491433452909615,-0.019605061090917503,-0.01271371905154233,-0.007624229585998992,0.3516592781071512,0.25373324853955453,0.36095075502079377,0.4401345143872883,,0.025,CATD,SYNTHETIC_CALIBRATION
