id,name,lat,lon,kind,note,n_days,elevation_m,dist_coast_km,dist_hq_km,mean_t,mean_tmin,mean_tmax,p05_tmin,p95_tmax,seasonal_amp,hn_total,vhd_total,cd_total,jja_hn,fingerprint,provenance,tmin_fitted,tmin_resid,tmin_trend_fitted,tmin_trend_resid
hko_hq,HKO Headquarters,22.3022,114.1742,station,Live-paper station. Official 28/33/12 flags live here.,4017,38.0,2.87,0.0,22.639,20.66,25.019,10.78,31.0,12.129,17,19,296,17,bea7626c5c6e,OPEN_METEO_ERA5_LAND_PUBLIC,,,,
airport,Hong Kong International Airport,22.308,113.9185,station,"Chek Lap Kok. Coastal, reclaimed land.",4017,12.0,0.27,26.31,23.212,21.207,25.617,11.2,31.3,12.165,72,36,260,67,47cd51f1a544,OPEN_METEO_ERA5_LAND_PUBLIC,,,,
ta_kwu_ling,Ta Kwu Ling,22.5286,114.1567,station,Northern New Territories. Often the winter contrast.,4017,14.0,6.92,25.24,22.991,20.375,26.365,9.8,32.6,12.551,15,128,399,15,eb7873e25fa7,OPEN_METEO_ERA5_LAND_PUBLIC,,,,
the_peak,Victoria Peak,22.2708,114.1501,ridge,Island ridge ~550 m. A 0.1° grid may not see it.,4017,407.0,1.44,4.28,20.505,18.514,22.873,8.6,28.7,12.127,0,0,562,0,598aedf6e851,OPEN_METEO_ERA5_LAND_PUBLIC,,,,
sai_kung,Sai Kung,22.3815,114.2707,coast,"Eastern peninsula, more maritime.",4017,14.0,0.18,13.28,22.842,20.935,25.024,11.18,31.2,12.417,41,35,270,41,07ecd0db1527,OPEN_METEO_ERA5_LAND_PUBLIC,,,,
cheung_chau,Cheung Chau,22.2011,114.0267,island,Outlying island south-west of the harbour.,4017,71.0,1.05,18.89,23.002,21.112,25.275,11.5,30.9,11.998,43,16,247,40,9cbbbbb87a4c,OPEN_METEO_ERA5_LAND_PUBLIC,,,,
sha_tin,Sha Tin,22.3771,114.1974,new_town,"Inland new town, Shing Mun River valley.",4017,13.0,7.47,8.66,23.023,20.737,25.839,10.7,32.0,12.335,35,75,311,34,b84e89520da6,OPEN_METEO_ERA5_LAND_PUBLIC,,,,
tuen_mun,Tuen Mun,22.3908,113.973,new_town,Western New Territories.,4017,5.0,0.32,22.92,23.391,20.993,26.449,10.6,32.2,12.336,123,100,324,106,2b7e12cf1fa6,OPEN_METEO_ERA5_LAND_PUBLIC,,,,
waglan,Waglan Island,22.182,114.3033,marine,Southeast marine exposure.,4017,4.0,0.41,18.85,23.404,22.047,24.908,12.68,30.7,11.898,252,11,151,205,d5c8efe251a7,OPEN_METEO_ERA5_LAND_PUBLIC,,,,
g_22.15_113.85,22.15°N 113.85°E,22.15,113.85,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,11.17,37.42,23.462,21.561,25.725,11.9,31.4,12.0,134,25,213,122,f7a7766d83ed,OPEN_METEO_ERA5_LAND_PUBLIC,21.115,0.446,21.857,-0.296
g_22.15_113.95,22.15°N 113.95°E,22.15,113.95,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,10.6,28.62,23.462,21.561,25.725,11.9,31.4,12.0,134,25,213,122,f7a7766d83ed,OPEN_METEO_ERA5_LAND_PUBLIC,21.116,0.445,21.862,-0.301
g_22.15_114.05,22.15°N 114.05°E,22.15,114.05,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,6.98,21.21,23.47,22.11,25.018,12.6,30.8,11.951,283,9,157,233,cfaed293506f,OPEN_METEO_ERA5_LAND_PUBLIC,21.12,0.99,21.867,0.243
g_22.15_114.15,22.15°N 114.15°E,22.15,114.15,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,5.93,17.11,23.472,22.108,25.012,12.6,30.8,11.903,288,11,153,233,9c54514fb2ad,OPEN_METEO_ERA5_LAND_PUBLIC,21.121,0.987,21.873,0.235
g_22.15_114.25,22.15°N 114.25°E,22.15,114.25,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,6.14,18.64,23.414,22.056,24.94,12.6,30.7,11.892,267,11,155,218,7d643a62fef9,OPEN_METEO_ERA5_LAND_PUBLIC,21.121,0.935,21.878,0.178
g_22.15_114.35,22.15°N 114.35°E,22.15,114.35,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,6.14,24.78,23.466,22.326,24.702,13.3,30.4,11.894,318,3,119,261,494e621b3480,OPEN_METEO_ERA5_LAND_PUBLIC,21.121,1.205,21.883,0.443
g_22.25_113.85,22.25°N 113.85°E,22.25,113.85,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,1.03,33.86,23.223,21.339,25.502,11.7,31.2,12.0,70,20,227,65,ba7b9933fb7c,OPEN_METEO_ERA5_LAND_PUBLIC,21.127,0.212,21.492,-0.153
g_22.25_113.95,22.25°N 113.95°E,22.25,113.95,grid,"ERA5-Land sample, 0.1° lattice.",4017,573.0,7.35,23.79,19.739,17.861,22.025,8.2,27.7,11.999,0,0,652,0,08249499b2f8,OPEN_METEO_ERA5_LAND_PUBLIC,17.571,0.29,17.633,0.228
g_22.25_114.05,22.25°N 114.05°E,22.25,114.05,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,4.9,14.04,23.503,21.498,25.907,11.5,31.6,12.161,148,56,232,135,44f2aa7c3102,OPEN_METEO_ERA5_LAND_PUBLIC,21.123,0.375,21.502,-0.004
g_22.25_114.15,22.25°N 114.15°E,22.25,114.15,grid,"ERA5-Land sample, 0.1° lattice.",4017,26.0,3.49,6.32,22.983,20.964,25.324,11.1,31.2,12.13,39,25,271,36,ddbafd9066c7,OPEN_METEO_ERA5_LAND_PUBLIC,20.963,0.001,21.332,-0.368
g_22.25_114.25,22.25°N 114.25°E,22.25,114.25,grid,"ERA5-Land sample, 0.1° lattice.",4017,124.0,4.57,9.72,22.346,20.346,24.706,10.4,30.6,12.128,8,14,341,8,62d1b661f073,OPEN_METEO_ERA5_LAND_PUBLIC,20.355,-0.009,20.676,-0.33
g_22.25_114.35,22.25°N 114.35°E,22.25,114.35,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,9.33,19.0,23.284,21.974,24.737,12.5,30.6,12.124,248,14,165,204,3375404c8303,OPEN_METEO_ERA5_LAND_PUBLIC,21.117,0.857,21.517,0.457
g_22.35_113.85,22.35°N 113.85°E,22.35,113.85,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,8.46,33.77,23.503,21.498,25.907,11.5,31.6,12.161,148,56,232,135,44f2aa7c3102,OPEN_METEO_ERA5_LAND_PUBLIC,21.119,0.379,21.126,0.372
g_22.35_113.95,22.35°N 113.95°E,22.35,113.95,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,4.9,23.67,23.419,21.254,26.041,11.0,31.8,12.267,128,67,284,115,dcdae587bb61,OPEN_METEO_ERA5_LAND_PUBLIC,21.123,0.131,21.131,0.123
g_22.35_114.05,22.35°N 114.05°E,22.35,114.05,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,6.56,13.84,22.832,20.555,25.738,10.3,31.6,12.329,20,39,355,20,bae80fbb42e4,OPEN_METEO_ERA5_LAND_PUBLIC,21.121,-0.566,21.136,-0.581
g_22.35_114.15,22.35°N 114.15°E,22.35,114.15,grid,"ERA5-Land sample, 0.1° lattice.",4017,133.0,4.68,5.87,22.289,20.011,25.224,9.88,31.1,12.281,3,26,405,3,eb54b0bb2af6,OPEN_METEO_ERA5_LAND_PUBLIC,20.299,-0.288,20.245,-0.234
g_22.35_114.25,22.35°N 114.25°E,22.35,114.25,grid,"ERA5-Land sample, 0.1° lattice.",4017,21.0,3.92,9.44,22.9,20.704,25.569,10.7,31.8,12.394,36,69,312,36,39cb6af5f1ae,OPEN_METEO_ERA5_LAND_PUBLIC,20.994,-0.29,21.005,-0.301
g_22.35_114.35,22.35°N 114.35°E,22.35,114.35,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,8.88,18.85,23.12,21.194,25.283,11.4,31.5,12.417,75,51,244,71,ea677fe99c25,OPEN_METEO_ERA5_LAND_PUBLIC,21.118,0.076,21.152,0.042
g_22.45_113.85,22.45°N 113.85°E,22.45,113.85,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,14.02,37.17,23.342,20.921,26.233,10.4,32.0,12.484,111,78,339,96,b504a54c713f,OPEN_METEO_ERA5_LAND_PUBLIC,21.112,-0.191,20.76,0.161
g_22.45_113.95,22.45°N 113.95°E,22.45,113.95,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,6.98,28.31,23.258,20.912,26.236,10.5,32.0,12.444,96,83,335,86,76912b808083,OPEN_METEO_ERA5_LAND_PUBLIC,21.12,-0.208,20.766,0.146
g_22.45_114.05,22.45°N 114.05°E,22.45,114.05,grid,"ERA5-Land sample, 0.1° lattice.",4017,8.0,5.93,20.81,22.792,20.303,26.056,10.0,31.9,12.336,13,60,387,13,a3b89853764e,OPEN_METEO_ERA5_LAND_PUBLIC,21.072,-0.769,20.717,-0.414
g_22.45_114.15,22.45°N 114.15°E,22.45,114.15,grid,"ERA5-Land sample, 0.1° lattice.",4017,92.0,9.8,16.62,22.265,19.667,25.654,9.1,31.7,12.488,3,54,481,3,8e99b169787c,OPEN_METEO_ERA5_LAND_PUBLIC,20.547,-0.88,20.155,-0.488
g_22.45_114.25,22.45°N 114.25°E,22.45,114.25,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,8.05,18.19,23.01,20.739,25.826,10.5,32.1,12.518,40,82,338,39,ef407d955d9a,OPEN_METEO_ERA5_LAND_PUBLIC,21.119,-0.38,20.781,-0.042
g_22.45_114.35,22.45°N 114.35°E,22.45,114.35,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,2.22,24.43,23.048,21.083,25.327,11.2,31.7,12.436,54,71,271,53,8773b816c7f8,OPEN_METEO_ERA5_LAND_PUBLIC,21.126,-0.043,20.786,0.297
g_22.55_113.85,22.55°N 113.85°E,22.55,113.85,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,19.31,43.24,23.323,20.889,26.262,10.4,32.0,12.51,111,80,344,96,f770cac723da,OPEN_METEO_ERA5_LAND_PUBLIC,21.106,-0.217,20.395,0.494
g_22.55_113.95,22.55°N 113.95°E,22.55,113.95,grid,"ERA5-Land sample, 0.1° lattice.",4017,22.0,9.92,35.92,23.184,20.694,26.266,10.0,32.1,12.539,93,77,370,78,5071bc26edc8,OPEN_METEO_ERA5_LAND_PUBLIC,20.981,-0.287,20.252,0.442
g_22.55_114.05,22.55°N 114.05°E,22.55,114.05,grid,"ERA5-Land sample, 0.1° lattice.",4017,17.0,5.93,30.37,22.741,20.072,26.282,9.4,32.2,12.578,10,95,442,10,7b18d565cac1,OPEN_METEO_ERA5_LAND_PUBLIC,21.016,-0.944,20.29,-0.218
g_22.55_114.15,22.55°N 114.15°E,22.55,114.15,grid,"ERA5-Land sample, 0.1° lattice.",4017,15.0,7.19,27.67,22.925,20.266,26.373,9.5,32.6,12.706,14,132,429,14,9adfaa8adcf4,OPEN_METEO_ERA5_LAND_PUBLIC,21.027,-0.761,20.309,-0.043
g_22.55_114.25,22.55°N 114.25°E,22.55,114.25,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,3.08,28.63,22.623,20.184,25.632,9.5,32.12,12.805,13,84,433,13,5dfdf87eb73a,OPEN_METEO_ERA5_LAND_PUBLIC,21.125,-0.941,20.415,-0.231
g_22.55_114.35,22.55°N 114.35°E,22.55,114.35,grid,"ERA5-Land sample, 0.1° lattice.",4017,0.0,8.29,32.95,23.032,20.564,26.011,10.0,32.4,12.785,30,114,388,29,5dacc7cc1a7e,OPEN_METEO_ERA5_LAND_PUBLIC,21.119,-0.555,20.421,0.143
