a,b,jaccard,intersection,union
HM08,HM15,0.5,7,14
HM08,HM17,0.4737,9,19
HM08,HM19,0.75,12,16
HM08,HM27,0.4231,11,26
HM08,HM32,0.3684,14,38
HM08,HM23,0.2353,4,17
HM08,CM03,0.0,0,28
HM08,CM08,0.0,0,21
HM08,CM15,0.0,0,29
HM08,CM30,0.0,0,35
HM15,HM17,0.5,7,14
HM15,HM19,0.3125,5,16
HM15,HM27,0.25,6,24
HM15,HM32,0.1842,7,38
HM15,HM23,0.4,4,10
HM15,CM03,0.0,0,21
HM15,CM08,0.0,0,14
HM15,CM15,0.0,0,22
HM15,CM30,0.0,0,28
HM17,HM19,0.4,8,20
HM17,HM27,0.5417,13,24
HM17,HM32,0.3684,14,38
HM17,HM23,0.4,6,15
HM17,CM03,0.0,0,28
HM17,CM08,0.0,0,21
HM17,CM15,0.0,0,29
HM17,CM30,0.0,0,35
HM19,HM27,0.3704,10,27
HM19,HM32,0.3684,14,38
HM19,HM23,0.2353,4,17
HM19,CM03,0.0,0,28
HM19,CM08,0.0,0,21
HM19,CM15,0.0,0,29
HM19,CM30,0.0,0,35
HM27,HM32,0.525,21,40
HM27,HM23,0.25,6,24
HM27,CM03,0.0,0,37
HM27,CM08,0.0,0,30
HM27,CM15,0.0,0,38
HM27,CM30,0.0,0,44
HM32,HM23,0.1842,7,38
HM32,CM03,0.0,0,52
HM32,CM08,0.0,0,45
HM32,CM15,0.0,0,53
HM32,CM30,0.0,0,59
HM23,CM03,0.0,0,21
HM23,CM08,0.0,0,14
HM23,CM15,0.0,0,22
HM23,CM30,0.0,0,28
CM03,CM08,0.5,7,14
CM03,CM15,0.7059,12,17
CM03,CM30,0.5909,13,22
CM08,CM15,0.4667,7,15
CM08,CM30,0.3333,7,21
CM15,CM30,0.7143,15,21
