calendar_month,n,cold_days_total,hot_nights_total,very_hot_days_total,cold_days_mean,hot_nights_mean,very_hot_days_mean,cold_days_sd,hot_nights_sd,july_like_hot_nights_min,july_like_hot_nights_max,data_status
1,11,54.0,0.0,0.0,4.909090909090909,0.0,0.0,3.700122848083437,0.0,0.0,0.0,REAL
2,11,47.0,0.0,0.0,4.2727272727272725,0.0,0.0,4.149479704514992,0.0,0.0,0.0,REAL
3,11,4.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.9244162777371753,0.0,0.0,0.0,REAL
4,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REAL
5,11,0.0,37.0,33.0,0.0,3.3636363636363638,3.0,0.0,4.006812380751743,0.0,14.0,REAL
6,11,0.0,116.0,71.0,0.0,10.545454545454545,6.454545454545454,0.0,3.8565175058240397,6.0,18.0,REAL
7,11,0.0,149.0,141.0,0.0,13.545454545454545,12.818181818181818,0.0,6.990903180042424,1.0,25.0,REAL
8,11,0.0,82.0,99.0,0.0,7.454545454545454,9.0,0.0,4.107642544419764,1.0,15.0,REAL
9,11,0.0,53.0,69.0,0.0,4.818181818181818,6.2727272727272725,0.0,3.2501748204729486,1.0,11.0,REAL
10,11,0.0,12.0,8.0,0.0,1.0909090909090908,0.7272727272727273,0.0,1.7002673586554236,0.0,4.0,REAL
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REAL
12,11,40.0,0.0,0.0,3.6363636363636362,0.0,0.0,2.8730724763822884,0.0,0.0,0.0,REAL
