month_id,hko_hot_nights,era5_hot_nights,era5_apparent_hot_nights,hko_cold_days,era5_cold_days,hko_mean_tmin,era5_mean_tmin
2013-01,0,0,0,3,9,14.777,13.342
2013-02,0,0,0,1,2,17.143,16.596
2013-03,0,0,0,0,1,18.471,18.003
2013-04,0,0,0,0,0,19.66,20.11
2013-05,1,0,18,0,0,23.948,23.645
2013-06,6,0,26,0,0,26.453,25.827
2013-07,1,0,31,0,0,26.103,25.832
2013-08,1,0,29,0,0,26.529,25.935
2013-09,1,0,22,0,0,25.687,25.187
2013-10,0,0,1,0,0,23.684,22.339
2013-11,0,0,0,0,0,19.747,19.113
2013-12,0,0,0,10,16,14.0,12.313
2014-01,0,0,0,6,10,14.116,12.935
2014-02,0,0,0,9,10,13.514,13.082
2014-03,0,0,0,0,0,17.003,17.739
2014-04,0,0,0,0,0,21.033,21.037
2014-05,3,0,19,0,0,24.616,24.3
2014-06,8,0,30,0,0,27.027,26.487
2014-07,13,3,30,0,0,27.619,26.674
2014-08,6,0,31,0,0,26.771,26.313
2014-09,4,0,24,0,0,27.027,25.673
2014-10,0,0,5,0,0,24.332,23.213
2014-11,0,0,0,0,0,21.17,20.197
2014-12,0,0,0,6,11,14.174,13.116
2015-01,0,0,0,4,6,14.516,13.394
2015-02,0,0,0,1,3,15.911,15.675
2015-03,0,0,0,0,0,18.471,18.535
2015-04,0,0,1,0,0,21.39,20.337
2015-05,2,0,26,0,0,25.529,24.894
2015-06,13,1,30,0,0,27.663,26.85
2015-07,12,2,27,0,0,27.229,26.219
2015-08,8,2,31,0,0,27.168,26.165
2015-09,2,0,26,0,0,26.647,25.52
2015-10,0,0,6,0,0,24.2,23.048
2015-11,0,0,2,0,0,22.413,21.033
2015-12,0,0,0,2,3,17.074,15.565
2016-01,0,0,0,7,7,14.432,13.687
2016-02,0,0,0,10,13,13.352,12.728
2016-03,0,0,0,3,3,15.652,15.794
2016-04,0,0,2,0,0,21.853,21.92
2016-05,2,0,16,0,0,24.916,24.129
2016-06,15,0,30,0,0,27.47,26.46
2016-07,13,2,31,0,0,27.355,26.871
2016-08,4,0,29,0,0,26.506,26.126
2016-09,2,0,26,0,0,26.107,25.397
2016-10,0,0,15,0,0,25.0,23.865
2016-11,0,0,0,0,2,20.34,18.74
2016-12,0,0,0,1,4,17.652,16.206
2017-01,0,0,0,0,5,17.045,14.81
2017-02,0,0,0,6,8,14.871,13.264
2017-03,0,0,0,0,0,17.345,17.1
