id,name,lat,lon,tz,role,group,hemisphere,n_days,p95_tmax,p05_tmin,mean_t,mean_tmax,mean_tmin,mean_at,seasonal_amp,precip_mm_year,hn_hko_total,vhd_hko_total,cd_hko_total,cd_hko_local_winter,cd_hko_winter_share,hn_at_total,vhd_at_total,cd_at_total,hot_p95_total,cold_p05_total,provenance,distance_to_hk_openmeteo
hong_kong,Hong Kong,22.3022,114.1742,Asia/Hong_Kong,reference,Pearl River Delta,N,4017,31.0,10.78,22.639,25.019,20.66,24.875,12.128,2096.7,17,19,296,286,0.9662,1453,1368,589,205,201,OPEN_METEO_ERA5_LAND_PUBLIC,0.0
shenzhen,Shenzhen,22.5431,114.0579,Asia/Shanghai,peer,Pearl River Delta,N,4017,32.3,9.6,22.829,26.345,20.153,25.142,12.478,1830.6,10,102,429,402,0.9371,1470,1582,671,212,206,OPEN_METEO_ERA5_LAND_PUBLIC,0.1961
guangzhou,Guangzhou,23.1291,113.2644,Asia/Shanghai,peer,Pearl River Delta,N,4017,33.5,7.9,22.667,26.59,19.558,24.72,13.886,2218.2,11,312,592,526,0.8885,1443,1637,860,203,204,OPEN_METEO_ERA5_LAND_PUBLIC,0.4658
taipei,Taipei,25.0375,121.5637,Asia/Taipei,peer,Humid subtropical,N,4017,33.7,12.0,22.827,25.948,20.232,25.438,12.831,1856.0,5,347,218,173,0.7936,1323,1594,410,212,218,OPEN_METEO_ERA5_LAND_PUBLIC,0.1793
naha,Naha,26.2123,127.6792,Asia/Tokyo,peer,Humid subtropical,N,4017,30.6,14.4,23.283,24.852,21.854,24.125,10.91,1999.3,132,0,30,29,0.9667,1210,1058,450,218,204,OPEN_METEO_ERA5_LAND_PUBLIC,1.0092
hanoi,Hanoi,21.0278,105.8342,Asia/Bangkok,peer,Humid subtropical,N,4017,35.2,11.08,24.013,27.655,21.105,27.222,12.646,1956.8,116,644,284,280,0.9859,1664,1971,386,209,201,OPEN_METEO_ERA5_LAND_PUBLIC,0.867
miami,Miami,25.7617,-80.1918,America/New_York,peer,Humid subtropical,N,4017,31.7,14.5,24.895,27.63,22.462,27.199,7.462,1400.2,6,39,92,78,0.8478,1336,1487,202,204,202,OPEN_METEO_ERA5_LAND_PUBLIC,0.9296
houston,Houston,29.7604,-95.3698,America/Chicago,peer,Humid subtropical,N,4017,35.2,3.4,20.963,25.692,16.891,22.043,16.661,1734.4,8,539,1100,695,0.6318,852,1379,1303,204,203,OPEN_METEO_ERA5_LAND_PUBLIC,1.3142
brisbane,Brisbane,-27.4698,153.0251,Australia/Brisbane,peer,Humid subtropical,S,4017,32.42,8.7,20.195,25.516,15.938,20.735,9.763,982.2,0,147,906,696,0.7682,20,627,1172,201,205,OPEN_METEO_ERA5_LAND_PUBLIC,1.0805
singapore,Singapore,1.3521,103.8198,Asia/Singapore,contrast,Tropical,N,4017,31.2,23.1,26.656,29.276,24.634,31.649,1.531,2962.7,0,19,0,0,,3317,3442,0,223,221,OPEN_METEO_ERA5_LAND_PUBLIC,1.8846
manila,Manila,14.5995,120.9842,Asia/Manila,contrast,Tropical,N,4017,34.2,22.0,27.171,30.384,24.688,31.529,4.118,2069.9,3,502,0,0,,2948,3031,0,210,227,OPEN_METEO_ERA5_LAND_PUBLIC,1.6856
haikou,Haikou,20.0444,110.1989,Asia/Shanghai,contrast,Tropical,N,4017,34.0,15.2,24.917,27.583,22.812,27.665,10.532,1482.7,86,416,42,42,1.0,1727,1960,149,219,209,OPEN_METEO_ERA5_LAND_PUBLIC,0.8985
shanghai,Shanghai,31.2304,121.4737,Asia/Shanghai,contrast,Humid temperate,N,4017,33.5,-0.7,16.923,20.864,13.536,16.828,22.908,1364.3,54,245,1774,983,0.5541,605,769,1945,202,202,OPEN_METEO_ERA5_LAND_PUBLIC,2.898
fukuoka,Fukuoka,33.5904,130.4017,Asia/Tokyo,contrast,Humid temperate,N,4017,31.9,1.7,16.325,19.836,13.171,16.261,21.414,1827.3,4,103,1908,987,0.5173,453,622,2058,208,218,OPEN_METEO_ERA5_LAND_PUBLIC,2.9815
seoul,Seoul,37.5665,126.978,Asia/Seoul,contrast,Humid temperate,N,4017,30.6,-8.6,11.773,16.722,7.521,10.511,28.28,1176.0,0,50,2446,992,0.4056,176,361,2538,203,208,OPEN_METEO_ERA5_LAND_PUBLIC,4.5976
phoenix,Phoenix,33.4484,-112.074,America/Phoenix,contrast,Hot desert,N,4017,43.12,3.1,23.687,30.243,16.563,21.583,23.24,286.2,519,1733,1446,947,0.6549,615,1536,1849,201,209,OPEN_METEO_ERA5_LAND_PUBLIC,4.5696
