id,lat,lon,hn_total,pop,n_pop_pixels,south
g_22.15_113.85,22.15,113.85,134,28.5,3,True
g_22.15_113.95,22.15,113.95,134,133.6,20,True
g_22.15_114.05,22.15,114.05,283,1360.8,2,True
g_22.15_114.15,22.15,114.15,288,1101.7,15,True
g_22.15_114.25,22.15,114.25,267,553.7,22,True
g_22.15_114.35,22.15,114.35,318,17.0,2,True
g_22.25_113.85,22.25,113.85,70,3501.2,60,True
g_22.25_113.95,22.25,113.95,0,80918.7,127,True
g_22.25_114.05,22.25,114.05,148,37665.3,57,True
g_22.25_114.15,22.25,114.15,39,776329.6,107,True
g_22.25_114.25,22.25,114.25,8,596695.8,110,True
g_22.25_114.35,22.25,114.35,248,418.1,20,True
g_22.35_113.85,22.35,113.85,148,638.2,11,False
g_22.35_113.95,22.35,113.95,128,268759.2,77,False
g_22.35_114.05,22.35,114.05,20,134812.0,108,False
g_22.35_114.15,22.35,114.15,3,2402369.9,131,False
g_22.35_114.25,22.35,114.25,36,1427163.1,134,False
g_22.35_114.35,22.35,114.35,75,4946.4,106,False
g_22.45_113.85,22.45,113.85,111,0.0,0,False
g_22.45_113.95,22.45,113.95,96,312034.4,71,False
g_22.45_114.05,22.45,114.05,13,530845.4,141,False
g_22.45_114.15,22.45,114.15,3,465454.1,143,False
g_22.45_114.25,22.45,114.25,40,263505.1,126,False
g_22.45_114.35,22.45,114.35,54,3533.0,113,False
g_22.55_113.85,22.55,113.85,111,0.0,0,False
g_22.55_113.95,22.55,113.95,93,2005.5,1,False
g_22.55_114.05,22.55,114.05,10,180751.2,21,False
g_22.55_114.15,22.55,114.15,14,322521.7,78,False
g_22.55_114.25,22.55,114.25,13,14554.2,75,False
g_22.55_114.35,22.55,114.35,30,236.1,27,False
