id,name,lat,lon,kind,note,region,n_days,elevation_m,dist_coast_km,dist_hq_km,mean_tmin,hn_total,vhd_total,eof1,eof2,eof3,harmonic_amp,harmonic_doy_max,harmonic_mean,theil_sen_c_per_decade,theil_sen_p05,theil_sen_p95,mann_kendall_s,mi_hq_bits,spell_n,spell_mean,spell_max,p_hn_given_vhd,p_vhd_given_hn,wasserstein_hq,corr_degree_r90,provenance,cluster,cluster_name
p_21.9_112.9,21.9°N 112.9°E,21.9,112.9,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,316.0,5.16,138.68,19.523,0,0,0.1011,0.1437,-0.1232,6.777,200.7,19.522,-0.2316,-0.8729,0.4697,-5,0.0,0,0.0,0,,,1.641,47,OPEN_METEO_ERA5_LAND_PUBLIC,1,highland
p_21.9_113.1,21.9°N 113.1°E,21.9,113.1,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,7.58,119.36,21.368,184,34,0.1012,0.1248,-0.2031,6.929,200.9,21.367,-0.7056,-1.3456,-0.1734,-17,0.0523,86,2.14,9,0.3235,0.0598,0.229,38,OPEN_METEO_ERA5_LAND_PUBLIC,2,estuary
p_21.9_113.3,21.9°N 113.3°E,21.9,113.3,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,16.44,100.56,22.201,430,7,0.0926,0.1715,0.1083,6.71,202.7,22.2,1.2186,0.5309,2.0873,29,0.0564,140,3.071,19,0.8571,0.014,1.037,24,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_21.9_113.5,21.9°N 113.5°E,21.9,113.5,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,22.75,82.61,22.805,555,2,0.077,0.1861,0.1242,6.302,205.3,22.804,0.9606,0.2845,1.384,29,0.0471,159,3.491,23,1.0,0.0036,1.641,25,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_21.9_113.7,21.9°N 113.7°E,21.9,113.7,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,31.99,66.23,22.846,505,0,0.0735,0.1926,0.113,6.135,206.1,22.845,0.5909,-0.0367,1.1284,23,0.0495,153,3.301,21,,0.0,1.682,25,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_21.9_113.9,21.9°N 113.9°E,21.9,113.9,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,33.75,52.9,22.891,497,0,0.0737,0.1976,0.1407,6.034,206.2,22.89,0.7896,0.1146,1.1884,29,0.05,159,3.126,16,,0.0,1.726,24,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_21.9_114.1,21.9°N 114.1°E,21.9,114.1,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,32.21,45.37,22.935,485,0,0.0729,0.1946,0.16,5.951,206.1,22.934,0.8466,0.2242,1.2949,27,0.0506,159,3.05,19,,0.0,1.771,22,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_21.9_114.3,21.9°N 114.3°E,21.9,114.3,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,30.02,46.56,23.073,499,0,0.0691,0.1847,0.1506,5.835,206.3,23.072,0.685,0.0754,1.0529,27,0.0477,171,2.918,19,,0.0,1.908,19,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_21.9_114.5,21.9°N 114.5°E,21.9,114.5,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,36.42,55.92,23.23,534,0,0.0659,0.1702,0.1435,5.684,206.6,23.229,0.6009,0.1178,1.0507,25,0.0481,179,2.983,20,,0.0,2.065,18,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_21.9_114.7,21.9°N 114.7°E,21.9,114.7,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,51.0,70.25,23.341,552,0,0.0636,0.1537,0.1335,5.561,206.8,23.34,0.5181,-0.1205,1.2022,21,0.0473,170,3.247,20,,0.0,2.177,14,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_22.1_112.9,22.1°N 112.9°E,22.1,112.9,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,348.0,22.83,133.09,18.437,0,7,0.1128,0.0503,-0.1333,6.997,199.1,18.436,-0.1453,-0.9274,0.6088,-5,0.0,0,0.0,0,0.0,,2.727,68,OPEN_METEO_ERA5_LAND_PUBLIC,1,highland
p_22.1_113.1,22.1°N 113.1°E,22.1,113.1,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,17.46,112.85,20.931,144,57,0.1069,0.0919,-0.2347,7.297,200.2,20.929,-1.0778,-1.7281,-0.3488,-23,0.0563,73,1.973,8,0.3333,0.1319,0.411,41,OPEN_METEO_ERA5_LAND_PUBLIC,2,estuary
p_22.1_113.3,22.1°N 113.3°E,22.1,113.3,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,2.0,7.58,92.77,21.058,146,51,0.1078,0.112,-0.2932,7.134,200.3,21.057,-1.2753,-1.9356,-0.4949,-27,0.0542,70,2.086,8,0.1961,0.0685,0.298,35,OPEN_METEO_ERA5_LAND_PUBLIC,2,estuary
p_22.1_113.5,22.1°N 113.5°E,22.1,113.5,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,116.0,2.22,72.96,20.634,21,14,0.0997,0.1303,-0.1197,6.875,201.8,20.633,-0.0986,-1.0209,0.407,-1,0.0242,15,1.4,2,0.0714,0.0476,0.532,50,OPEN_METEO_ERA5_LAND_PUBLIC,2,estuary
p_22.1_113.7,22.1°N 113.7°E,22.1,113.7,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,68.0,16.62,53.75,21.908,236,16,0.0856,0.1395,0.1698,6.601,204.7,21.907,1.1276,0.351,1.6945,29,0.0552,107,2.206,11,0.625,0.0424,0.743,18,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_22.1_113.9,22.1°N 113.9°E,22.1,113.9,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,12.25,36.09,22.576,417,0,0.0781,0.2009,0.0563,6.243,205.9,22.575,0.1055,-0.7348,0.5308,7,0.0545,152,2.743,15,,0.0,1.412,25,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_22.1_114.1,22.1°N 114.1°E,22.1,114.1,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,12.13,23.75,22.742,460,0,0.0756,0.1965,0.1061,6.173,206.2,22.741,0.423,-0.2057,0.8666,17,0.052,160,2.875,20,,0.0,1.578,26,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_22.1_114.3,22.1°N 114.3°E,22.1,114.3,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,7.78,25.95,22.754,423,0,0.0727,0.1915,0.0708,6.061,206.3,22.753,-0.0269,-0.7584,0.4194,-1,0.0481,159,2.66,20,,0.0,1.59,23,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_22.1_114.5,22.1°N 114.5°E,22.1,114.5,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,22.02,40.38,22.957,472,0,0.0685,0.1756,0.0769,5.906,206.6,22.956,0.0236,-0.7271,0.3832,1,0.0472,167,2.826,20,,0.0,1.793,18,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
p_22.1_114.7,22.1°N 114.7°E,22.1,114.7,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",marine south,4017,0.0,38.55,58.62,23.11,504,0,0.0654,0.1574,0.0752,5.782,206.8,23.109,0.0622,-0.423,0.4154,1,0.0456,170,2.965,20,,0.0,1.946,18,OPEN_METEO_ERA5_LAND_PUBLIC,0,marine
