id,name,lat,lon,kind,note,n_days,elevation_m,dist_coast_km,dist_hq_km,region,mean_t,mean_tmin,mean_tmax,p05_tmin,p95_tmax,seasonal_amp,hn_total,vhd_total,cd_total,jja_hn,fingerprint,provenance,tmin_fitted,tmin_resid,tmin_slx_resid,tmin_sar_resid,hn_gi_z,wy_tmin,hn_cluster,thermal_distance
p_21.9_112.9,21.9°N 112.9°E,21.9,112.9,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,316.0,5.16,138.68,marine south,21.327,19.523,23.358,9.6,29.1,12.261,0,0,451,0,0eab2755d2d8,OPEN_METEO_ERA5_LAND_PUBLIC,19.537,-0.014,0.244,0.296,-0.218,20.2453,none,1.395
p_21.9_113.1,21.9°N 113.1°E,21.9,113.1,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,7.58,119.36,marine south,23.326,21.368,25.603,11.3,31.6,12.367,184,34,256,172,f9b918f09674,OPEN_METEO_ERA5_LAND_PUBLIC,21.979,-0.611,-0.039,0.005,0.715,20.43,none,0.73
p_21.9_113.3,21.9°N 113.3°E,21.9,113.3,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,16.44,100.56,marine south,23.453,22.201,24.733,12.5,30.4,12.245,430,7,177,360,790a54caf0fe,OPEN_METEO_ERA5_LAND_PUBLIC,22.071,0.13,0.159,0.209,2.092,21.3592,hotspot,2.205
p_21.9_113.5,21.9°N 113.5°E,21.9,113.5,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,22.75,82.61,marine south,23.729,22.805,24.693,13.98,30.1,11.833,555,2,88,450,ae2c36a65d7b,OPEN_METEO_ERA5_LAND_PUBLIC,22.163,0.642,0.72,0.765,3.079,21.7294,hotspot,3.079
p_21.9_113.7,21.9°N 113.7°E,21.9,113.7,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,31.99,66.23,marine south,23.726,22.846,24.646,14.3,29.9,11.625,505,0,70,413,0f3cf3259b45,OPEN_METEO_ERA5_LAND_PUBLIC,22.255,0.591,0.65,0.693,3.887,22.1628,hotspot,2.89
p_21.9_113.9,21.9°N 113.9°E,21.9,113.9,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,33.75,52.9,marine south,23.785,22.891,24.704,14.4,29.9,11.425,497,0,69,406,0752e7646d89,OPEN_METEO_ERA5_LAND_PUBLIC,22.348,0.543,0.475,0.517,4.77,22.6014,hotspot,2.917
p_21.9_114.1,21.9°N 114.1°E,21.9,114.1,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,32.21,45.37,marine south,23.829,22.935,24.76,14.6,29.9,11.301,485,0,59,398,0d1cf304560a,OPEN_METEO_ERA5_LAND_PUBLIC,22.44,0.495,0.345,0.385,5.202,22.8072,hotspot,2.925
p_21.9_114.3,21.9°N 114.3°E,21.9,114.3,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,30.02,46.56,marine south,23.917,23.073,24.841,15.0,29.9,11.164,499,0,42,404,80557d10a551,OPEN_METEO_ERA5_LAND_PUBLIC,22.532,0.541,0.375,0.411,5.422,22.9236,hotspot,3.098
p_21.9_114.5,21.9°N 114.5°E,21.9,114.5,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,36.42,55.92,marine south,24.049,23.23,24.949,15.5,30.0,10.954,534,0,22,428,c6e6b3dfc6fc,OPEN_METEO_ERA5_LAND_PUBLIC,22.624,0.606,0.423,0.457,5.688,23.047,hotspot,3.41
p_21.9_114.7,21.9°N 114.7°E,21.9,114.7,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,51.0,70.25,marine south,24.138,23.341,25.028,15.9,30.0,10.755,552,0,16,439,831ce94b5081,OPEN_METEO_ERA5_LAND_PUBLIC,22.716,0.625,0.495,0.57,4.8,23.099,hotspot,3.619
p_22.1_112.9,22.1°N 112.9°E,22.1,112.9,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,348.0,22.83,133.09,marine south,20.956,18.437,24.182,7.9,30.2,12.367,0,7,638,0,bb1a63796073,OPEN_METEO_ERA5_LAND_PUBLIC,18.862,-0.425,-0.002,-0.044,-0.648,19.8378,none,2.41
p_22.1_113.1,22.1°N 113.1°E,22.1,113.1,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,17.46,112.85,marine south,23.136,20.931,25.759,10.3,31.8,12.735,144,57,330,139,f408b780a9ed,OPEN_METEO_ERA5_LAND_PUBLIC,21.542,-0.611,-0.031,-0.073,0.084,20.0476,none,0.887
p_22.1_113.3,22.1°N 113.3°E,22.1,113.3,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,2.0,7.58,92.77,marine south,23.174,21.058,25.713,10.4,31.6,12.494,146,51,311,140,bc5352133998,OPEN_METEO_ERA5_LAND_PUBLIC,21.619,-0.561,-0.549,-0.583,1.269,21.0594,none,0.656
p_22.1_113.5,22.1°N 113.5°E,22.1,113.5,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,116.0,2.22,72.96,marine south,22.567,20.634,24.784,10.7,30.6,12.35,21,14,314,21,857ea3c070ab,OPEN_METEO_ERA5_LAND_PUBLIC,20.864,-0.23,-0.395,-0.421,2.196,21.593,hotspot,0.558
p_22.1_113.7,22.1°N 113.7°E,22.1,113.7,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,68.0,16.62,53.75,marine south,23.15,21.908,24.582,12.5,30.9,12.347,236,16,167,209,4f50b8ac404f,OPEN_METEO_ERA5_LAND_PUBLIC,21.313,0.595,0.474,0.439,2.937,21.8095,hotspot,1.163
p_22.1_113.9,22.1°N 113.9°E,22.1,113.9,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,12.25,36.09,marine south,23.565,22.576,24.545,13.9,29.9,11.651,417,0,98,352,6eba7699a5d7,OPEN_METEO_ERA5_LAND_PUBLIC,21.911,0.665,0.512,0.47,3.766,22.108,hotspot,2.354
p_22.1_114.1,22.1°N 114.1°E,22.1,114.1,grid,"ERA5-Land sample, 0.2° Pearl River Delta lattice.",4017,0.0,12.13,23.75,marine south,23.696,22.742,24.673,14.1,30.0,11.61,460,0,79,379,45500a6f4080,OPEN_METEO_ERA5_LAND_PUBLIC,22.003,0.739,0.595,0.549,4.026,22.129,hotspot,2.637
