"term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","definition_id","outcome","data_status","n_months","n_flagged_months","reference_policy"
"HM08",0.0306223476659767,0.0220854756710317,1.38653783699766,0.165582734974046,1.0310960345251,0.987414681274071,1.07670976801924,"HM08","chd","HA_APPROVED_AGGREGATE",132,14,"PROVISIONAL_study_window_not_Hogan_locked"
"HM15",0.0346714732761278,0.0383508291756334,0.90406059064185,0.365963273845746,1.03527953593051,0.960312859876427,1.11609847404774,"HM15","chd","HA_APPROVED_AGGREGATE",132,7,"PROVISIONAL_study_window_not_Hogan_locked"
"HM17",-0.019162018351347,0.0286211445648126,-0.669505662429208,0.503172969855139,0.981020406057417,0.927502803653247,1.03762601397037,"HM17","chd","HA_APPROVED_AGGREGATE",132,14,"PROVISIONAL_study_window_not_Hogan_locked"
"HM19",0.0426906025787815,0.0227809300364971,1.87396223553592,0.060935630399825,1.04361495311928,0.998041899292674,1.09126898494546,"HM19","chd","HA_APPROVED_AGGREGATE",132,14,"PROVISIONAL_study_window_not_Hogan_locked"
"HM27",-0.020670569058559,0.0216094232379614,-0.956553482753158,0.338792677368324,0.979541602735414,0.938919964148737,1.02192070477422,"HM27","chd","HA_APPROVED_AGGREGATE",132,23,"PROVISIONAL_study_window_not_Hogan_locked"
"HM32",0.0129230436279434,0.023987017662219,0.538751578454787,0.590058278923089,1.01300690702364,0.966483056769244,1.06177028814962,"HM32","chd","HA_APPROVED_AGGREGATE",132,38,"PROVISIONAL_study_window_not_Hogan_locked"
"CM03",0.0638368165581558,0.0359564418309931,1.7753930396731,0.0758330124771207,1.06591844432818,0.993384172162993,1.14374897627479,"CM03","chd","HA_APPROVED_AGGREGATE",132,14,"PROVISIONAL_study_window_not_Hogan_locked"
"CM08",0.00043329949300131,0.0452294452253729,0.00958003112446396,0.992356357992376,1.00043339338079,0.915562715471634,1.09317139905137,"CM08","chd","HA_APPROVED_AGGREGATE",132,7,"PROVISIONAL_study_window_not_Hogan_locked"
"CM15",-0.0158280077639045,0.0349064908985758,-0.453440244391632,0.650231762873641,0.984296596870396,0.919206271284055,1.05399606255651,"CM15","chd","HA_APPROVED_AGGREGATE",132,15,"PROVISIONAL_study_window_not_Hogan_locked"
"CM30",-0.0661989945472385,0.0359622046694926,-1.84079355411144,0.0656518177897505,0.935944597887737,0.872245013549243,1.00429612861958,"CM30","chd","HA_APPROVED_AGGREGATE",132,21,"PROVISIONAL_study_window_not_Hogan_locked"
"HM23",-0.00404068617043857,0.0287417373082513,-0.140586010062744,0.888197000816237,0.995967466417546,0.94141191699489,1.05368455216567,"HM23","chd","HA_APPROVED_AGGREGATE",132,11,"PROVISIONAL_study_window_not_Hogan_locked"
