"term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","pathway_id","pathway_title","pathway_role","offset_policy","pollution_stage","data_status","outcome","n_rows","n_months"
"mean_temp",-0.00746653500844587,0.00963708894251291,-0.774770789497242,0.438475112728932,0.992561270317885,0.973989038669411,1.01148764125819,"P01","Continuous same-month mean temperature","original_panel","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"mean_temp",-0.00696915668562447,0.00964701670392403,-0.72241573737399,0.470038914181732,0.993055071570653,0.97445463867445,1.01201055034605,"P01A","Continuous same-month mean temperature (days-only offset)","amended_single_exposure","days_only","none","HA_APPROVED_AGGREGATE","chd",132,132
"mean_tmax",-0.0101528215202887,0.0156912372881924,-0.647037664004271,0.517607567530206,0.989898544388842,0.959917777519819,1.02081568977184,"P02","Continuous same-month Tmax and Tmin","exploratory_joint","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"mean_tmin",0.00335809758318549,0.0173795562180285,0.193221135284341,0.846785787059556,1.00336374230962,0.969760803131332,1.03813104853365,"P02","Continuous same-month Tmax and Tmin","exploratory_joint","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"mean_tmax",-0.0070872045953702,0.00856869087305828,-0.827104711835716,0.408177713802675,0.992937850414184,0.976401075755901,1.00975469944241,"P02A","Continuous same-month Tmax alone","amended_single_exposure","days_only","none","HA_APPROVED_AGGREGATE","chd",132,132
"mean_tmin",-0.0058463754564676,0.00926563433750284,-0.630974118286136,0.528057447425994,0.994170681340187,0.976278857468847,1.01239040062685,"P02B","Continuous same-month Tmin alone","amended_single_exposure","days_only","none","HA_APPROVED_AGGREGATE","chd",132,132
"lag1_mean_tmax",0.00492874619433894,0.0166290559683008,0.296393625936095,0.766929492534514,1.00494091244377,0.972714946237073,1.03823452226175,"P03","Lag-1 month temperature","original_panel","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"lag1_mean_tmin",-0.00740316096041787,0.0180432948738046,-0.410299837817639,0.68158601104057,0.99262417493674,0.958133633169578,1.02835629452792,"P03","Lag-1 month temperature","original_panel","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"I(hot_nights/5)",0.0429953245504094,0.0157677727036198,2.7267849022544,0.0063954714653062,1.04393301398302,1.01216387548321,1.076699301448,"P04","Official extreme-day counts","exploratory_joint","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"I(cold_days/5)",-0.00576937976586142,0.0203258209307089,-0.283844858494491,0.776529275590594,0.994247231145342,0.955416422737436,1.0346562327324,"P04","Official extreme-day counts","exploratory_joint","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"I(very_hot_days/5)",-0.0297099153696193,0.0147681056765935,-2.01176210546134,0.0442450203184045,0.970727085717416,0.943031679535435,0.999235863857339,"P04","Official extreme-day counts","exploratory_joint","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"I(hot_nights/5)",0.0215894730883367,0.0123731797351545,1.74486054114264,0.0810091473729088,1.02182421201542,0.997341580679111,1.04690784029075,"P04A","Hot-night count alone","amended_single_exposure","days_only","none","HA_APPROVED_AGGREGATE","chd",132,132
"I(cold_days/5)",-0.0053832471006569,0.0204560520747656,-0.263161585675548,0.792426037689447,0.994631216608471,0.95554147546176,1.03532005931399,"P04B","Cold-day count alone","amended_single_exposure","days_only","none","HA_APPROVED_AGGREGATE","chd",132,132
"I(very_hot_days/5)",-0.000610023805177367,0.0127766883014687,-0.0477450643534323,0.961919418873297,0.999390162221515,0.974673892779061,1.02473319922149,"P04C","Very-hot-day count alone","amended_single_exposure","days_only","none","HA_APPROVED_AGGREGATE","chd",132,132
"days_in_hot_night_spell_ge5",0.00462813192231479,0.00198380719339001,2.33295450169532,0.0196505334025804,1.00463885826612,1.00074014359446,1.00855276167203,"P05","Ren/Wang spell burden","original_panel","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"days_in_very_hot_spell_ge5",-0.00430452470977792,0.00237612697479424,-1.8115718374649,0.0700523797555873,0.995704726477962,0.991078303065492,1.00035274636119,"P05","Ren/Wang spell burden","original_panel","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"days_in_2d3n_window",0.00181695743138246,0.0016826972024626,1.07978870394708,0.280236282524405,1.00181860909872,0.998519967244904,1.00512814811878,"P06","Combined day-night 2D3N burden","original_panel","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"hw_month_mean_temp_ge_p90",0.0313010851876673,0.0205342601024607,1.52433469876601,0.127425123480017,1.03179611565099,0.991093832360598,1.0741699620275,"P07","Heatwave-month indicators (multi-percentile + spells)","exploratory_nested_joint","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"hw_month_mean_temp_ge_p95",0.118472063170577,0.0336989265007776,3.51560347680047,0.000438755743465775,1.1257754230667,1.05382053711398,1.20264338997593,"P07","Heatwave-month indicators (multi-percentile + spells)","exploratory_nested_joint","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"hw_month_mean_temp_ge_p975",-0.18332668142494,0.0374783470757839,-4.89153593284786,1.00052122785822e-06,0.832496150281314,0.773535092383647,0.895951388705038,"P07","Heatwave-month indicators (multi-percentile + spells)","exploratory_nested_joint","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"hw_month_has_vhd_spell_ge3",-0.0126829815471494,0.028603513811902,-0.443406416098149,0.657471795898799,0.98739710851217,0.933563897817781,1.04433456796815,"P07","Heatwave-month indicators (multi-percentile + spells)","exploratory_nested_joint","population_x_days","none","HA_APPROVED_AGGREGATE","chd",132,132
"hw_month_mean_temp_ge_p90",0.0308531823860395,0.0219472109623621,1.40579057808076,0.159786320656359,1.03133407476251,0.987910323442496,1.07666652379927,"P07A","Mean-temperature p90 heat month alone","amended_separate_definition","days_only","none","HA_APPROVED_AGGREGATE","chd",132,132
