"outcome","pathway_id","exposure","exposure_label","scale","model_structure","family","offset_policy","n_months","data_status","aic","theta","dispersion","residual_acf1","ljung_box_p_lag6","converged"
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1619.79540471431,160.456102036211,1.1140535106654,0.534249222819339,1.23615973013358e-09,TRUE
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,8.5988111529287,0.527358825123873,1.25391352856496e-09,TRUE
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1621.02784150024,158.68790452576,1.1134101731559,0.538173795846028,5.42291878069534e-10,TRUE
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,8.69294942429706,0.532024126246984,4.80811945813286e-10,TRUE
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1617.69747947234,163.391364568398,1.11881348280085,0.533362355433186,1.13107923027655e-09,TRUE
"chd","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,8.50142810282377,0.525776608324235,1.12984510636238e-09,TRUE
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1619.58571634883,160.759625960395,1.11412520651649,0.533481256553074,1.35930755540414e-09,TRUE
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,8.58219994162471,0.526999829531678,1.32828559262776e-09,TRUE
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1620.84342558532,158.949737449381,1.11347838389384,0.53734371003394,5.96681815068223e-10,TRUE
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,8.67822038044118,0.531589683057118,5.08281861044679e-10,TRUE
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1617.49615860985,163.686383485709,1.11887603707062,0.532171729641204,1.29098420842411e-09,TRUE
"chd","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,8.48605731549932,0.524890284428639,1.25339427725635e-09,TRUE
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1619.97134224328,160.189873317286,1.11422905346638,0.532271936635351,1.48107692776733e-09,TRUE
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,8.6157908469808,0.524470267546242,1.61647695229306e-09,TRUE
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1621.20690728161,158.421468345337,1.11360385574214,0.536151662415226,6.5386018821556e-10,TRUE
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,8.71021367611367,0.529118938547913,6.22903617575332e-10,TRUE
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1617.88623541955,163.101095468463,1.11903616885691,0.531471881625363,1.34888578084968e-09,TRUE
"chd","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,8.51916394301024,0.523040127426161,1.44178524674743e-09,TRUE
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1617.98929974713,163.008625575489,1.11613015371461,0.507802854196383,1.17478532457582e-08,TRUE
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,8.47144903712842,0.493071796503101,2.17772229138546e-08,TRUE
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1619.42595418904,160.913126752393,1.11547920489604,0.512726349708791,4.23668522486764e-09,TRUE
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,8.57808971213899,0.498945514676154,6.71402233809459e-09,TRUE
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1616.00357020737,165.820761341943,1.12126529579672,0.506809665454761,1.18135935478492e-08,TRUE
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,8.38706576156237,0.49136477231698,2.18821885056286e-08,TRUE
"chd","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1620.44515369332,159.450085681103,1.11448212739393,0.528209530625083,2.24094698353383e-09,TRUE
"chd","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,8.66153354638076,0.515181510091029,4.33515401354612e-09,TRUE
"chd","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1621.777204945,157.554792391703,1.11382342383734,0.532274836074182,9.73201963461179e-10,TRUE
"chd","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,8.76266505107841,0.519938065061195,1.69531833016379e-09,TRUE
"chd","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1618.51764806489,162.11356383898,1.11958517335173,0.527470415984344,2.12733308746493e-09,TRUE
"chd","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,8.5786372199254,0.513877832779749,4.04955080579583e-09,TRUE
"chd","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1620.50724215584,159.359095565295,1.11428719932819,0.529343497204704,2.04596628528009e-09,TRUE
"chd","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,8.6662779551126,0.51492382991143,4.59562521371026e-09,TRUE
"chd","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1621.83751147038,157.467441842279,1.11364546062284,0.533331905712845,8.92309448552453e-10,TRUE
"chd","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,8.767511083504,0.519656991801785,1.753699518936e-09,TRUE
"chd","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1618.53798233744,162.08010890425,1.11941059790543,0.52836713718643,1.95033944550005e-09,TRUE
"chd","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,8.5794304290978,0.513088376541196,4.49542059133279e-09,TRUE
"hf","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1225.00397754535,186.45850431442,1.14928553561142,0.138707978681168,0.469379316875674,TRUE
"hf","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,2.51038709823001,0.124438868397976,0.44795759743012,TRUE
"hf","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1224.48937754064,187.999061775324,1.15033086120264,0.1348959638932,0.475574641914372,TRUE
"hf","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,2.49966653400751,0.120296992947885,0.450670018176696,TRUE
"hf","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1224.01393562169,188.955794344246,1.15060730895008,0.131891610862204,0.506684358935345,TRUE
"hf","P01A","mean_temp","Mean temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,2.49498109838682,0.116850785358736,0.483830116011259,TRUE
"hf","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1227.31943578381,178.627337340501,1.146723831817,0.149508795362469,0.397112366931954,TRUE
"hf","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,2.58299487325124,0.139013577540064,0.357684910181491,TRUE
"hf","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1226.92892722161,179.70924032935,1.14760010529229,0.146716000369583,0.39810538686359,TRUE
"hf","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,2.57466286333559,0.136035727230633,0.356174794419911,TRUE
"hf","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1226.45562355032,180.581739443234,1.14803742167711,0.143063037086197,0.429531881246156,TRUE
"hf","P02A","mean_tmax","Mean maximum temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,2.57059613067783,0.131862262110205,0.388471406558028,TRUE
"hf","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1223.7190651198,190.800132227415,1.15091670849631,0.130574062827549,0.513734750150707,TRUE
"hf","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,2.47561102428096,0.114618291163275,0.498576810220686,TRUE
"hf","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1223.14878801732,192.57519514332,1.15208458486407,0.126283393257635,0.522654734530133,TRUE
"hf","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,2.46396151131745,0.109935806003048,0.503615579321401,TRUE
"hf","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1222.67454083032,193.573512849929,1.15229150716965,0.123913768648608,0.550802052554517,TRUE
"hf","P02B","mean_tmin","Mean minimum temperature (per 1 C)",1,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,2.4590400203582,0.107273551585123,0.533356981960494,TRUE
"hf","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1231.85234860756,164.480220470921,1.1387667749155,0.174063914701548,0.363700052887478,TRUE
"hf","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,2.73638098097625,0.180590729302467,0.278408139208516,TRUE
"hf","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1231.62819669041,165.037643805087,1.13962894602835,0.172996812375046,0.360129546730126,TRUE
"hf","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,2.73118183541955,0.179359765022949,0.275683704483052,TRUE
"hf","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1231.20420737181,165.674587511723,1.14045481966977,0.170087096456176,0.387641672698576,TRUE
"hf","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,2.729537850486,0.176535027529815,0.298772916395659,TRUE
"hf","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1223.87473450293,188.038647311393,1.1490143614151,0.145538027685022,0.35568627543305,TRUE
"hf","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,2.51206612274535,0.134185131851965,0.279658405016133,TRUE
"hf","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1223.61441731224,188.820753400853,1.15000718642532,0.143772367948747,0.35039562441064,TRUE
"hf","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,2.50711301694764,0.132367628470469,0.27336449704257,TRUE
"hf","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1222.66803147355,191.119740908663,1.15022491225092,0.138711194490992,0.388619579992677,TRUE
"hf","P04B","cold_days","Cold days (per 5 days)",5,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,2.49283603308424,0.12654055354781,0.306079781061594,TRUE
"hf","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE",1231.79234585722,164.636485830508,1.13966223328905,0.17900373209176,0.318984495585475,TRUE
"hf","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE",,,2.7356307508444,0.182709344796937,0.26235836396812,TRUE
"hf","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE",1231.56166311682,165.199411380625,1.14044975699083,0.177623138763419,0.318648221388809,TRUE
"hf","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE",,,2.7303959456948,0.181250197466287,0.261672142079151,TRUE
"hf","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","negative_binomial","none",132,"HA_APPROVED_AGGREGATE",1231.13987190374,165.842486492042,1.14135745615835,0.174921258055055,0.340422901194899,TRUE
"hf","P04C","very_hot_days","Very hot days (per 5 days)",5,"single_exposure","quasipoisson","none",132,"HA_APPROVED_AGGREGATE",,,2.72872422247318,0.178524983977894,0.281817036245488,TRUE
