"term","estimate","std_error_nw6","p_value_nw6","rr","rr_low","rr_high","n_months","residual_acf1","outcome","pathway_id","exposure","scale","lag_months","data_status"
"mean_temp_analysis_lag0",-0.00696915668562447,0.00870822142331737,0.423539192797939,0.993055071570653,0.976249323608267,1.01015012387133,132,0.534249222819339,"chd","P01A","mean_temp",1,0,"HA_APPROVED_AGGREGATE"
"mean_temp_analysis_lag1",-0.00145908845921427,0.0109082721038544,0.89359250450443,0.998541975492822,0.977419540731235,1.02012087468106,131,0.532187677828983,"chd","P01A","mean_temp",1,1,"HA_APPROVED_AGGREGATE"
"mean_temp_analysis_lag2",-0.00420768547944302,0.0119513690927556,0.724787839379012,0.995801154426244,0.972745912723425,1.01940283293545,130,0.536579810342481,"chd","P01A","mean_temp",1,2,"HA_APPROVED_AGGREGATE"
"mean_tmax_analysis_lag0",-0.0070872045953702,0.00714064700733007,0.320946001953216,0.992937850414184,0.979137817383346,1.0069323820215,132,0.533481256553074,"chd","P02A","mean_tmax",1,0,"HA_APPROVED_AGGREGATE"
"mean_tmax_analysis_lag1",-0.0010714177080653,0.00943861997939782,0.909622879668452,0.998929156054956,0.980619158068655,1.01758103602826,131,0.532380493627361,"chd","P02A","mean_tmax",1,1,"HA_APPROVED_AGGREGATE"
"mean_tmax_analysis_lag2",-0.00324672859851603,0.0108748776639601,0.765281043649982,0.996758536325313,0.975737690114723,1.01823224602564,130,0.533719715826931,"chd","P02A","mean_tmax",1,2,"HA_APPROVED_AGGREGATE"
"mean_tmin_analysis_lag0",-0.0058463754564676,0.00885340135324042,0.509026940897322,0.994170681340187,0.977067986744829,1.01157274319186,132,0.532271936635351,"chd","P02B","mean_tmin",1,0,"HA_APPROVED_AGGREGATE"
"mean_tmin_analysis_lag1",-0.00347200052578487,0.0108587599968885,0.749163996092304,0.996534019898387,0.975548726270602,1.01797073387739,131,0.530546658559708,"chd","P02B","mean_tmin",1,1,"HA_APPROVED_AGGREGATE"
"mean_tmin_analysis_lag2",-0.00522000815399477,0.0117708383378712,0.657426153245636,0.994793592413254,0.972105587509686,1.01801111342404,130,0.537812433383158,"chd","P02B","mean_tmin",1,2,"HA_APPROVED_AGGREGATE"
"I(hot_nights_analysis_lag0/5)",0.0215894730883367,0.0100701246721816,0.0320398433085943,1.02182421201542,1.00185374479531,1.04219276085479,132,0.507802854196383,"chd","P04A","hot_nights",5,0,"HA_APPROVED_AGGREGATE"
"I(hot_nights_analysis_lag1/5)",0.00987968845578182,0.0158043345658974,0.531888862839469,1.00992865369871,0.979124173620178,1.04170228153037,131,0.521644592748397,"chd","P04A","hot_nights",5,1,"HA_APPROVED_AGGREGATE"
"I(hot_nights_analysis_lag2/5)",0.0155248853868789,0.0144916942668275,0.284036628109758,1.01564602248803,0.98720374194418,1.04490775223792,130,0.518902450673915,"chd","P04A","hot_nights",5,2,"HA_APPROVED_AGGREGATE"
"I(cold_days_analysis_lag0/5)",-0.0053832471006569,0.0240767422036688,0.823078662594747,0.994631216608471,0.948784429293951,1.04269339431323,132,0.528209530625083,"chd","P04B","cold_days",5,0,"HA_APPROVED_AGGREGATE"
"I(cold_days_analysis_lag1/5)",0.00108598793725135,0.0202472269378743,0.957224871984384,1.00108657783567,0.962136855633867,1.04161308285243,131,0.533330179044419,"chd","P04B","cold_days",5,1,"HA_APPROVED_AGGREGATE"
"I(cold_days_analysis_lag2/5)",0.0253355540123444,0.0273046011322568,0.35346676644408,1.02565922685694,0.972211929126533,1.08204478686237,130,0.540790791343215,"chd","P04B","cold_days",5,2,"HA_APPROVED_AGGREGATE"
"I(very_hot_days_analysis_lag0/5)",-0.000610023805177367,0.0129450344950274,0.962414276235873,0.999390162221515,0.974352343856856,1.02507137447999,132,0.529343497204704,"chd","P04C","very_hot_days",5,0,"HA_APPROVED_AGGREGATE"
"I(very_hot_days_analysis_lag1/5)",0.00913666975193091,0.00934798478663623,0.328373840614393,1.00917853652951,0.990856676309389,1.02783918496184,131,0.527842579099869,"chd","P04C","very_hot_days",5,1,"HA_APPROVED_AGGREGATE"
"I(very_hot_days_analysis_lag2/5)",0.0207977505952479,0.0127949218290979,0.104062633979685,1.02101553097051,0.995728851222088,1.04694436964796,130,0.52945811226889,"chd","P04C","very_hot_days",5,2,"HA_APPROVED_AGGREGATE"
"mean_temp_analysis_lag0",-0.0260055379373725,0.0143091440302916,0.0691548229807702,0.974329693816984,0.947383352675751,1.00204246736264,132,0.138707978681168,"hf","P01A","mean_temp",1,0,"HA_APPROVED_AGGREGATE"
"mean_temp_analysis_lag1",-0.0278108414358128,0.0101165452802418,0.00597691220250171,0.972572319786136,0.953477672873306,0.992049362166736,131,0.125517507122259,"hf","P01A","mean_temp",1,1,"HA_APPROVED_AGGREGATE"
"mean_temp_analysis_lag2",-0.00171564068577129,0.0118603371211586,0.884984360652265,0.998285830184428,0.975347070636213,1.02176407634767,130,0.148089076909215,"hf","P01A","mean_temp",1,2,"HA_APPROVED_AGGREGATE"
"mean_tmax_analysis_lag0",-0.0190464892509477,0.0120339574864901,0.113483325974114,0.981133749009481,0.958262964057423,1.0045503891432,132,0.149508795362469,"hf","P02A","mean_tmax",1,0,"HA_APPROVED_AGGREGATE"
"mean_tmax_analysis_lag1",-0.0179325331412607,0.00859680491389144,0.0369828581104451,0.982227297913269,0.965815679668344,0.998917790501495,131,0.139323351481984,"hf","P02A","mean_tmax",1,1,"HA_APPROVED_AGGREGATE"
"mean_tmax_analysis_lag2",-0.00190465974680134,0.0104563375243806,0.855462168753379,0.998097152966524,0.977849915561572,1.01876362712346,130,0.148487141893043,"hf","P02A","mean_tmax",1,2,"HA_APPROVED_AGGREGATE"
"mean_tmin_analysis_lag0",-0.0272732218931944,0.0139402471348886,0.0504136413025569,0.973095334250664,0.946867504573631,1.00004966372439,132,0.130574062827549,"hf","P02B","mean_tmin",1,0,"HA_APPROVED_AGGREGATE"
"mean_tmin_analysis_lag1",-0.0308883267912677,0.0104488660082778,0.00311514105577103,0.969583843569403,0.949928933367328,0.989645432083383,131,0.114013320599321,"hf","P02B","mean_tmin",1,1,"HA_APPROVED_AGGREGATE"
"mean_tmin_analysis_lag2",-0.00299385479055051,0.0117024371769917,0.79808076922033,0.997010622323645,0.974402679963288,1.02014311071439,130,0.145287548649045,"hf","P02B","mean_tmin",1,2,"HA_APPROVED_AGGREGATE"
"I(hot_nights_analysis_lag0/5)",0.00310452698616816,0.0140199326407834,0.824752454236862,1.0031093510209,0.975920119210477,1.03105607754004,132,0.174063914701548,"hf","P04A","hot_nights",5,0,"HA_APPROVED_AGGREGATE"
"I(hot_nights_analysis_lag1/5)",-0.00299754684250482,0.0173438076706353,0.86278430462459,0.997006941315424,0.963684413481191,1.03148170409891,131,0.166450900288422,"hf","P04A","hot_nights",5,1,"HA_APPROVED_AGGREGATE"
"I(hot_nights_analysis_lag2/5)",0.0121647191177457,0.0200241461710139,0.543517475479403,1.01223901025132,0.973280838025878,1.05275658765957,130,0.14711168414402,"hf","P04A","hot_nights",5,2,"HA_APPROVED_AGGREGATE"
"I(cold_days_analysis_lag0/5)",0.0702721921354338,0.0325707214528985,0.0309646706542344,1.07280014928024,1.00645431800469,1.14351952165835,132,0.145538027685022,"hf","P04B","cold_days",5,0,"HA_APPROVED_AGGREGATE"
"I(cold_days_analysis_lag1/5)",0.0705064054717593,0.0286350406880891,0.0138071394593376,1.07305144280941,1.01448564029987,1.13499822291719,131,0.0710119092134932,"hf","P04B","cold_days",5,1,"HA_APPROVED_AGGREGATE"
"I(cold_days_analysis_lag2/5)",0.0521074528696528,0.034356494402831,0.129350106763468,1.05348893684114,0.984884133040733,1.12687259629227,130,0.126744409577357,"hf","P04B","cold_days",5,2,"HA_APPROVED_AGGREGATE"
"I(very_hot_days_analysis_lag0/5)",-0.00500131468831582,0.0166662705174907,0.76411154706375,0.995011171062262,0.963033380355518,1.02805079318559,132,0.17900373209176,"hf","P04C","very_hot_days",5,0,"HA_APPROVED_AGGREGATE"
"I(very_hot_days_analysis_lag1/5)",-0.00185460564184423,0.01275813520182,0.884421501604097,0.99814711307652,0.973496985593528,1.02342141176283,131,0.165844106317341,"hf","P04C","very_hot_days",5,1,"HA_APPROVED_AGGREGATE"
"I(very_hot_days_analysis_lag2/5)",0.0175585120426572,0.0164188935872845,0.284885428198203,1.0177135689084,0.985483870454425,1.05099732161286,130,0.149006180316738,"hf","P04C","very_hot_days",5,2,"HA_APPROVED_AGGREGATE"
