"term","estimate","std_error_nw6","p_value_nw6","rr","rr_low","rr_high","n_months","residual_acf1","outcome","pathway_id","exposure","scale","scenario","data_status"
"mean_temp",-0.00696915668562447,0.00870822142331737,0.423539192797939,0.993055071570653,0.976249323608267,1.01015012387133,132,0.534249222819339,"chd","P01A","mean_temp",1,"baseline_ns4","HA_APPROVED_AGGREGATE"
"mean_temp",-0.00724112084864079,0.0100603667914031,0.471668415822721,0.992785032901369,0.973400722090768,1.01255536305331,132,0.603143377784688,"chd","P01A","mean_temp",1,"trend_ns3","HA_APPROVED_AGGREGATE"
"mean_temp",-0.00446443817499794,0.00845325348489033,0.597407352072431,0.995545512615374,0.979186832021084,1.01217748776596,132,0.480920092495254,"chd","P01A","mean_temp",1,"trend_ns6","HA_APPROVED_AGGREGATE"
"mean_temp",-0.00682391432862764,0.00784205206632308,0.384207794894515,0.993199315704801,0.97805014585773,1.00858313338463,132,0.473176811334985,"chd","P01A","mean_temp",1,"trend_ns8","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0116852614479153,0.00819032941734175,0.153662214669372,0.988382746066695,0.972642867226163,1.00437733688247,132,0.398305312768645,"chd","P01A","mean_temp",1,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0113783303364699,0.0098354334611294,0.247324960832911,0.988686158042384,0.969809343477015,1.00793039959795,120,0.525965416567194,"chd","P01A","mean_temp",1,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"mean_temp",-0.00371312977563815,0.0103250837673817,0.719129648039777,0.996293755366283,0.976334238260807,1.01666131134561,108,0.505251344952928,"chd","P01A","mean_temp",1,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0201000163284246,0.00538230344604433,0.000188115691613169,0.980100642336755,0.969815597640151,0.990494761526147,84,0.257776494520675,"chd","P01A","mean_temp",1,"pre_covid","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0108704024106757,0.00721476590224109,0.131890606107407,0.989188466909452,0.975298848585979,1.00327589280488,132,0.378491510742036,"chd","P01A","mean_temp",1,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0070872045953702,0.00714064700733007,0.320946001953216,0.992937850414184,0.979137817383346,1.0069323820215,132,0.533481256553074,"chd","P02A","mean_tmax",1,"baseline_ns4","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.00737759161810553,0.00803288267606889,0.358396971099067,0.992649556008544,0.977143224311833,1.00840195841086,132,0.602689380919859,"chd","P02A","mean_tmax",1,"trend_ns3","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0059130363118953,0.00717506906206342,0.409877838827072,0.994104411280962,0.980222030079014,1.00818340151834,132,0.480786321113588,"chd","P02A","mean_tmax",1,"trend_ns6","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.00819583124152227,0.00668910856055549,0.220480985820093,0.991837663016457,0.978918895590054,1.00492691908351,132,0.4708984382164,"chd","P02A","mean_tmax",1,"trend_ns8","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0107098582280344,0.0069072258718746,0.121014452558206,0.989347288111919,0.97604360048681,1.00283230790737,132,0.397406821728603,"chd","P02A","mean_tmax",1,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0106148522582729,0.00778348974780676,0.172641484027678,0.989441286475589,0.974461281809032,1.0046515727798,120,0.522685718783021,"chd","P02A","mean_tmax",1,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.00494820600665926,0.00829781711989013,0.550957310993626,0.995064016197046,0.979011463070403,1.01137977815382,108,0.503741518225527,"chd","P02A","mean_tmax",1,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0177690301881905,0.00437559800811302,4.88760483260803e-05,0.982387908106827,0.9739988049568,0.990849267045366,84,0.267965594429748,"chd","P02A","mean_tmax",1,"pre_covid","HA_APPROVED_AGGREGATE"
