"term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","definition_id","outcome","data_status","n_months","n_flagged_months","reference_policy"
"HM08",-0.00995133951814356,0.0375084794381062,-0.265309062569826,0.790771383677378,0.9900980112233,0.919920561174274,1.06562904798757,"HM08","hf","HA_APPROVED_AGGREGATE",132,14,"PROVISIONAL_study_window_not_Hogan_locked"
"HM15",0.00430300351405632,0.0596934598621823,0.0720850077042094,0.942534257303322,1.00431227472693,0.893422060326988,1.12896601724611,"HM15","hf","HA_APPROVED_AGGREGATE",132,7,"PROVISIONAL_study_window_not_Hogan_locked"
"HM17",-0.0217099322593409,0.036500609826562,-0.594782727261237,0.551988714856401,0.978524032144214,0.910964703262534,1.05109372301094,"HM17","hf","HA_APPROVED_AGGREGATE",132,14,"PROVISIONAL_study_window_not_Hogan_locked"
"HM19",-0.00431387019156354,0.034024574927224,-0.126786894495834,0.899109068700936,0.995695421181058,0.931459994696081,1.06436065682499,"HM19","hf","HA_APPROVED_AGGREGATE",132,14,"PROVISIONAL_study_window_not_Hogan_locked"
"HM27",0.00514360813458194,0.0301825368876132,0.170416693392425,0.864682444735698,1.00515685919658,0.947418687012021,1.06641374657319,"HM27","hf","HA_APPROVED_AGGREGATE",132,23,"PROVISIONAL_study_window_not_Hogan_locked"
"HM32",-0.0115101377373936,0.0304897953266007,-0.377507871538635,0.70579621575285,0.988555850477503,0.931210304183035,1.04943283501427,"HM32","hf","HA_APPROVED_AGGREGATE",132,38,"PROVISIONAL_study_window_not_Hogan_locked"
"CM03",0.115003201652358,0.0470350680206623,2.44505230866974,0.0144831134450729,1.12187702942643,1.02307670880953,1.23021867110942,"CM03","hf","HA_APPROVED_AGGREGATE",132,14,"PROVISIONAL_study_window_not_Hogan_locked"
"CM08",0.15990132938314,0.0569550986795264,2.80749806585129,0.00499279796754794,1.17339508566268,1.04945327277976,1.3119745897884,"CM08","hf","HA_APPROVED_AGGREGATE",132,7,"PROVISIONAL_study_window_not_Hogan_locked"
"CM15",0.0885479342701097,0.0466063074831181,1.89991310301044,0.0574445242069778,1.09258662369762,0.997203489145016,1.19709321445161,"CM15","hf","HA_APPROVED_AGGREGATE",132,15,"PROVISIONAL_study_window_not_Hogan_locked"
"CM30",0.0511620229276222,0.0507327330878652,1.00846179209414,0.313232821298786,1.05249340753241,0.952872536582238,1.16252943638447,"CM30","hf","HA_APPROVED_AGGREGATE",132,21,"PROVISIONAL_study_window_not_Hogan_locked"
"HM23",-0.0365822881974701,0.0366147883663386,-0.999112375891857,0.317740256603047,0.964078758328936,0.897315928367279,1.03580893069875,"HM23","hf","HA_APPROVED_AGGREGATE",132,11,"PROVISIONAL_study_window_not_Hogan_locked"
