"definition_id","n_selected","selected_months","implementation_status"
"HM08",14,"2014-07,2015-06,2016-06,2016-07,2017-08,2019-07,2020-06,2020-07,2021-07,2021-09,2022-07,2022-09,2023-07,2023-08","provisional_study_window"
"HM15",7,"2016-07,2020-07,2021-07,2021-09,2022-07,2022-09,2023-07","provisional_study_window"
"HM17",14,"2014-07,2015-08,2016-06,2016-07,2018-05,2020-07,2020-08,2021-05,2021-07,2021-09,2022-07,2022-09,2023-07,2023-09","provisional_study_window"
"HM19",14,"2014-07,2015-06,2016-06,2016-07,2017-06,2017-08,2019-07,2020-06,2020-07,2021-05,2021-07,2022-07,2023-07,2023-08","provisional_study_window"
"HM27",23,"2014-07,2014-08,2015-06,2015-08,2016-06,2016-08,2017-08,2018-05,2018-06,2018-07,2018-08,2019-09,2020-07,2020-08,2021-05,2021-07,2021-09,2022-07,2022-09,2023-07,2023-08,2023-09,2023-10","spell_presence_proxy"
"HM32",38,"2014-06,2014-07,2014-08,2014-09,2015-06,2015-07,2015-08,2016-05,2016-06,2016-07,2017-06,2017-07,2017-08,2018-05,2018-06,2018-08,2019-06,2019-07,2019-08,2019-09,2020-06,2020-07,2020-08,2020-09,2021-05,2021-06,2021-07,2021-08,2021-09,2022-07,2022-08,2022-09,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10","2d3n_presence_proxy"
"CM03",14,"2013-01,2013-12,2014-01,2014-02,2014-12,2015-01,2016-01,2016-02,2017-02,2018-01,2018-02,2021-01,2022-02,2022-12","provisional_study_window"
"CM08",7,"2013-12,2014-01,2014-02,2016-02,2018-02,2021-01,2022-02","provisional_study_window"
"CM15",15,"2013-12,2014-01,2014-02,2014-12,2016-01,2016-02,2017-02,2018-01,2018-02,2020-01,2021-01,2022-02,2022-12,2023-01,2023-12","provisional_study_window"
"CM05",0,"","mean_tmin_proxy_not_daily_CM05"
"CM30",21,"2013-12,2014-01,2014-02,2014-12,2015-01,2016-01,2016-02,2017-02,2017-12,2018-01,2018-02,2018-12,2019-01,2020-01,2020-02,2020-12,2021-01,2022-02,2022-12,2023-01,2023-12","spell_length_proxy"
"HM23",11,"2015-06,2016-06,2017-08,2018-05,2020-06,2020-08,2021-05,2021-09,2022-07,2022-09,2023-09","provisional_daily_calendar_p90_study_window_NOT_hogan_locked"
