"month_id","wang_vhd5_onset_count","wang_vhd5_overlap_count","wang_vhd5_event_days","wang_vhd5_affected_1_5_days","wang_vhd5_affected_6_21_days","wang_hn5_onset_count","wang_hn5_overlap_count","wang_hn5_event_days","wang_hn5_affected_1_5_days","wang_hn5_affected_6_21_days","wang_2d3n_onset_count","wang_2d3n_overlap_count","wang_2d3n_event_days","wang_2d3n_affected_1_5_days","wang_2d3n_affected_6_21_days","li_hw_onset_count","li_hw_overlap_count","li_hw_event_days","li_hw_affected_1_5_days","li_hw_affected_6_21_days","data_status","result_class"
"2013-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2013-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2013-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2013-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2013-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2013-06",0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,1,1,3,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2013-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2013-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2013-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2013-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2013-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2013-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-05",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-06",0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,2,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-07",1,1,4,0,0,0,0,0,0,0,1,1,3,5,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-08",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2014-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-06",1,1,7,0,0,2,2,7,0,0,1,1,5,5,0,1,1,7,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-07",0,0,0,0,0,1,2,10,0,0,1,1,5,5,0,1,1,3,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-08",1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2015-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-05",0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-06",1,1,9,0,0,1,2,11,0,0,1,1,8,3,0,1,1,9,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-07",0,0,0,0,0,0,0,0,0,0,1,1,4,7,0,1,1,3,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-08",1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2016-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2017-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2017-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2017-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"2017-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
