"definition_id","source_doi","event_id","start_date","end_date","event_days","component_windows","data_status","result_class"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",7,2014-07-28,2014-08-01,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",8,2015-06-14,2015-06-20,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",9,2015-08-03,2015-08-09,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",10,2016-06-19,2016-06-27,9,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",11,2016-08-22,2016-08-27,6,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",12,2017-08-17,2017-08-22,6,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",13,2018-05-17,2018-06-01,16,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",14,2018-07-27,2018-07-31,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",15,2018-08-05,2018-08-09,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",16,2019-09-07,2019-09-13,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",17,2020-07-11,2020-07-15,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",18,2020-07-21,2020-07-30,10,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",19,2020-08-06,2020-08-10,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",20,2020-08-21,2020-08-25,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",21,2021-05-19,2021-05-23,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",22,2021-07-09,2021-07-15,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",23,2021-07-23,2021-07-28,6,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",24,2021-09-07,2021-09-13,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
