"outcome","outcome_label","pathway_id","exposure","exposure_label","contrast","rr","rr_low","rr_high","count_ratio_95CI","p_value","q_value_core_bh","n_months","family","offset_policy","se_method","data_status","analysis_status"
"chd","Coronary heart disease","P01A","mean_temp","Mean temperature, per 1 C","Mean temperature, per 1 C",0.993055071570653,0.976249323608267,1.01015012387133,"0.993 (0.976-1.010)",0.423539192797939,0.726067187653609,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
"chd","Coronary heart disease","P02A","mean_tmax","Mean maximum temperature, per 1 C","Mean maximum temperature, per 1 C",0.992937850414184,0.979137817383346,1.0069323820215,"0.993 (0.979-1.007)",0.320946001953216,0.641892003906431,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
"chd","Coronary heart disease","P02B","mean_tmin","Mean minimum temperature, per 1 C","Mean minimum temperature, per 1 C",0.994170681340187,0.977067986744829,1.01157274319186,"0.994 (0.977-1.012)",0.509026940897322,0.763540411345983,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
"chd","Coronary heart disease","P04A","hot_nights","Hot nights, per 5 days","Hot nights, per 5 days",1.02182421201542,1.00185374479531,1.04219276085479,"1.022 (1.002-1.042)",0.0320398433085943,0.192239059851566,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
"chd","Coronary heart disease","P04B","cold_days","Cold days, per 5 days","Cold days, per 5 days",0.994631216608471,0.948784429293951,1.04269339431323,"0.995 (0.949-1.043)",0.823078662594747,0.899729950076576,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
"chd","Coronary heart disease","P04C","very_hot_days","Very hot days, per 5 days","Very hot days, per 5 days",0.999390162221515,0.974352343856856,1.02507137447999,"0.999 (0.974-1.025)",0.962414276235873,0.962414276235873,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
"hf","Heart failure","P01A","mean_temp","Mean temperature, per 1 C","Mean temperature, per 1 C",0.974329693816984,0.947383352675751,1.00204246736264,"0.974 (0.947-1.002)",0.0691548229807702,0.207464468942311,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
"hf","Heart failure","P02A","mean_tmax","Mean maximum temperature, per 1 C","Mean maximum temperature, per 1 C",0.981133749009481,0.958262964057423,1.0045503891432,"0.981 (0.958-1.005)",0.113483325974114,0.272359982337874,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
"hf","Heart failure","P02B","mean_tmin","Mean minimum temperature, per 1 C","Mean minimum temperature, per 1 C",0.973095334250664,0.946867504573631,1.00004966372439,"0.973 (0.947-1.000)",0.0504136413025569,0.201654565210228,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
"hf","Heart failure","P04A","hot_nights","Hot nights, per 5 days","Hot nights, per 5 days",1.0031093510209,0.975920119210477,1.03105607754004,"1.003 (0.976-1.031)",0.824752454236862,0.899729950076576,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
"hf","Heart failure","P04B","cold_days","Cold days, per 5 days","Cold days, per 5 days",1.07280014928024,1.00645431800469,1.14351952165835,"1.073 (1.006-1.144)",0.0309646706542344,0.192239059851566,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
"hf","Heart failure","P04C","very_hot_days","Very hot days, per 5 days","Very hot days, per 5 days",0.995011171062262,0.963033380355518,1.02805079318559,"0.995 (0.963-1.028)",0.76411154706375,0.899729950076576,132,"negative_binomial","days_only","NeweyWest_lag6","HA_APPROVED_AGGREGATE","Exploratory robustness amendment; team freeze pending"
