"outcome","outcome_label","pathway_id","exposure","exposure_label","contrast","se_method","se_method_label","rr","rr_low","rr_high","count_ratio_95CI","p_value","n_months","family","offset_policy","data_status","result_class","manuscript_role"
"chd","Coronary heart disease","P01A","mean_temp","Mean temperature, per 1 C","Mean temperature, per 1 C","model","Model",0.993055071570653,0.977180628105195,1.00918739771214,"0.993 (0.977-1.009)",0.396632902836045,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
"chd","Coronary heart disease","P01A","mean_temp","Mean temperature, per 1 C","Mean temperature, per 1 C","HC1","HC1",0.993055071570653,0.97445463867445,1.01201055034605,"0.993 (0.974-1.012)",0.470038914181732,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
"chd","Coronary heart disease","P01A","mean_temp","Mean temperature, per 1 C","Mean temperature, per 1 C","NeweyWest_lag3","NW3",0.993055071570653,0.975893519392818,1.01051841781444,"0.993 (0.976-1.011)",0.433297423121542,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
"chd","Coronary heart disease","P01A","mean_temp","Mean temperature, per 1 C","Mean temperature, per 1 C","NeweyWest_lag6","NW6",0.993055071570653,0.976249323608267,1.01015012387133,"0.993 (0.976-1.010)",0.423539192797939,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
"chd","Coronary heart disease","P02A","mean_tmax","Mean maximum temperature, per 1 C","Mean maximum temperature, per 1 C","model","Model",0.992937850414184,0.978758607762479,1.00732250727178,"0.993 (0.979-1.007)",0.334151636969791,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
"chd","Coronary heart disease","P02A","mean_tmax","Mean maximum temperature, per 1 C","Mean maximum temperature, per 1 C","HC1","HC1",0.992937850414184,0.976401075755901,1.00975469944241,"0.993 (0.976-1.010)",0.408177713802675,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
"chd","Coronary heart disease","P02A","mean_tmax","Mean maximum temperature, per 1 C","Mean maximum temperature, per 1 C","NeweyWest_lag3","NW3",0.992937850414184,0.978439670034678,1.00765085981254,"0.993 (0.978-1.008)",0.344972458597171,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
"chd","Coronary heart disease","P02A","mean_tmax","Mean maximum temperature, per 1 C","Mean maximum temperature, per 1 C","NeweyWest_lag6","NW6",0.992937850414184,0.979137817383346,1.0069323820215,"0.993 (0.979-1.007)",0.320946001953216,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
"chd","Coronary heart disease","P02B","mean_tmin","Mean minimum temperature, per 1 C","Mean minimum temperature, per 1 C","model","Model",0.994170681340187,0.978785730120017,1.00979745946564,"0.994 (0.979-1.010)",0.462506451104038,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
"chd","Coronary heart disease","P02B","mean_tmin","Mean minimum temperature, per 1 C","Mean minimum temperature, per 1 C","HC1","HC1",0.994170681340187,0.976278857468847,1.01239040062685,"0.994 (0.976-1.012)",0.528057447425994,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
"chd","Coronary heart disease","P02B","mean_tmin","Mean minimum temperature, per 1 C","Mean minimum temperature, per 1 C","NeweyWest_lag3","NW3",0.994170681340187,0.976755093878047,1.01189678951377,"0.994 (0.977-1.012)",0.516735336356753,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
"chd","Coronary heart disease","P02B","mean_tmin","Mean minimum temperature, per 1 C","Mean minimum temperature, per 1 C","NeweyWest_lag6","NW6",0.994170681340187,0.977067986744829,1.01157274319186,"0.994 (0.977-1.012)",0.509026940897322,132,"negative_binomial","days_only","HA_APPROVED_AGGREGATE","ANALYSIS_OF_RECORD_UNCERTAINTY_LADDER","uncertainty display; SE method not selected by CI exclusion of 1"
