"age_group","diagnosis_group","events","person_days","rate_per_100k_person_years","data_status"
"35-39","AMI",41122,2035537959.59634,737.879165023211,"SYNTHETIC"
"35-39","hemorrhagic_stroke",17892,2035537959.59634,321.047955366843,"SYNTHETIC"
"35-39","ischemic_stroke",53591,2035537959.59634,961.618655044962,"SYNTHETIC"
"40-44","AMI",57679,2107976265.56429,999.406639161589,"SYNTHETIC"
"40-44","hemorrhagic_stroke",26316,2107976265.56429,455.978521059248,"SYNTHETIC"
"40-44","ischemic_stroke",73592,2107976265.56429,1275.13190917283,"SYNTHETIC"
"45-49","AMI",86582,2169890880.96712,1457.40395415207,"SYNTHETIC"
"45-49","hemorrhagic_stroke",38172,2169890880.96712,642.535674134265,"SYNTHETIC"
"45-49","ischemic_stroke",113866,2169890880.96712,1916.66580401792,"SYNTHETIC"
"50-54","AMI",133516,2270624324.38788,2147.72291815145,"SYNTHETIC"
"50-54","hemorrhagic_stroke",61719,2270624324.38788,992.804688467221,"SYNTHETIC"
"50-54","ischemic_stroke",176554,2270624324.38788,2840.02720341616,"SYNTHETIC"
"55-59","AMI",200084,2265074840.40243,3226.41352490657,"SYNTHETIC"
"55-59","hemorrhagic_stroke",90471,2265074840.40243,1458.87156400223,"SYNTHETIC"
"55-59","ischemic_stroke",258686,2265074840.40243,4171.38806253364,"SYNTHETIC"
"60-64","AMI",258739,2044884807.03265,4621.5033445887,"SYNTHETIC"
"60-64","hemorrhagic_stroke",118521,2044884807.03265,2116.97965093781,"SYNTHETIC"
"60-64","ischemic_stroke",343830,2044884807.03265,6141.3683092612,"SYNTHETIC"
"65-69","AMI",299967,1698737739.54578,6449.66813884383,"SYNTHETIC"
"65-69","hemorrhagic_stroke",139588,1698737739.54578,3001.31773216698,"SYNTHETIC"
"65-69","ischemic_stroke",383776,1698737739.54578,8251.66714889614,"SYNTHETIC"
"70-74","AMI",301670,1230052822.84984,8957.74274512197,"SYNTHETIC"
"70-74","hemorrhagic_stroke",132975,1230052822.84984,3948.53926983987,"SYNTHETIC"
"70-74","ischemic_stroke",398844,1230052822.84984,11843.2126079339,"SYNTHETIC"
"75-79","AMI",274184,831239011.801808,12047.7629873173,"SYNTHETIC"
"75-79","hemorrhagic_stroke",123721,831239011.801808,5436.3539978769,"SYNTHETIC"
"75-79","ischemic_stroke",358186,831239011.801808,15738.8470274532,"SYNTHETIC"
"80-84","AMI",235370,549807753.387866,15636.1731842207,"SYNTHETIC"
"80-84","hemorrhagic_stroke",108971,549807753.387866,7239.19542871953,"SYNTHETIC"
"80-84","ischemic_stroke",308797,549807753.387866,20514.0985289876,"SYNTHETIC"
"85+","AMI",281038,530873620.657582,19335.8881484544,"SYNTHETIC"
"85+","hemorrhagic_stroke",125672,530873620.657582,8646.44544649677,"SYNTHETIC"
"85+","ischemic_stroke",370776,530873620.657582,25510.0138206624,"SYNTHETIC"
