"pathway_id","stages","aic_min","any_nonconverged"
"P01",1,1621.02784150024,FALSE
"P02",1,1622.80576290473,FALSE
"P03",1,1623.6306009555,FALSE
"P04",1,1620.73626334637,FALSE
"P05",1,1621.15807937686,FALSE
"P06",1,1620.8131662056,FALSE
"P07",1,1620.6537835097,FALSE
"P08",1,1623.73405410855,FALSE
"P10",1,1589.67139008874,FALSE
"P11",5,1608.38860183468,FALSE
"P12",1,1624.8054012312,FALSE
"P14",1,1464.20830703044,FALSE
"P15",1,1621.5221513846,FALSE
"P16",1,931.180868697666,FALSE
"P18",1,1622.22560029792,FALSE
