"outcome","pathway_id","month_id","pearson_residual","cooks_distance"
"chd","P01A","2020-02",-3.7339599549701,0.111708026020505
"chd","P01A","2013-01",2.27212306578414,0.0941864242631867
"chd","P01A","2022-02",-2.38068825065062,0.0874668102653462
"chd","P01A","2020-03",-3.12557583913393,0.0793529704651883
"chd","P01A","2020-04",-2.64476725773446,0.0716802116878751
"chd","P01A","2021-03",2.09250797956449,0.0449939792952343
"chd","P01A","2013-04",1.55715409668634,0.039449914390131
"chd","P01A","2021-11",2.08010632405842,0.0394274615709909
"chd","P01A","2020-08",-2.11933707567409,0.0380044779420617
"chd","P01A","2021-07",2.03498954838509,0.0364795316667026
"chd","P02A","2020-02",-3.73482016222633,0.11139851047745
"chd","P02A","2022-02",-2.42206129924446,0.0977684884134865
"chd","P02A","2013-01",2.27523251546349,0.0943257219408274
"chd","P02A","2020-03",-3.15025874636046,0.0778894366701174
"chd","P02A","2020-04",-2.63644848345912,0.0650648401133994
"chd","P02A","2021-03",2.08925114327157,0.0429397948317768
"chd","P02A","2013-04",1.52214674444973,0.0392620161798899
"chd","P02A","2021-11",2.12538179857267,0.0389178526856851
"chd","P02A","2022-03",-1.99018121755639,0.0383920353186062
"chd","P02A","2020-08",-2.10868753794351,0.037340131917712
"chd","P02B","2020-02",-3.73239381828394,0.112381062931407
"chd","P02B","2013-01",2.26293801029632,0.0932595713222174
"chd","P02B","2020-03",-3.11427161525162,0.0820611988123223
"chd","P02B","2022-02",-2.33863499147608,0.0756645269857702
"chd","P02B","2020-04",-2.63159080311113,0.0719530088429543
"chd","P02B","2021-03",2.08212728756983,0.0454666593015568
"chd","P02B","2021-11",2.07114257294474,0.040633199720679
"chd","P02B","2013-04",1.57732706971584,0.0398615002920347
"chd","P02B","2020-08",-2.11828835570862,0.038083148932109
"chd","P02B","2021-07",2.04088584234103,0.0366326962090876
"chd","P04A","2020-02",-3.76698324774041,0.110171404277497
"chd","P04A","2013-01",2.10973814006697,0.0850907123475053
"chd","P04A","2020-03",-3.15861116503493,0.0782706464356694
"chd","P04A","2020-04",-2.52375170386081,0.0503057237148927
"chd","P04A","2021-11",2.24834008003619,0.0439399327930284
"chd","P04A","2022-02",-2.14538078861552,0.0389864710209027
"chd","P04A","2021-03",2.06767840156222,0.0385098913377765
"chd","P04A","2013-04",1.54570654449869,0.0370895444596365
"chd","P04A","2020-08",-2.01629035637881,0.0359982085272046
"chd","P04A","2020-07",-1.65505891222891,0.0359928736686137
"chd","P04B","2020-02",-3.76476749266764,0.112496576689118
"chd","P04B","2013-01",2.21043506249371,0.0939810808621844
"chd","P04B","2020-03",-3.15492069849575,0.0777528828498489
"chd","P04B","2022-02",-2.15501564706902,0.0548032132280437
"chd","P04B","2020-04",-2.52637863544415,0.0503418510862966
"chd","P04B","2013-04",1.66211606250411,0.0408370488664577
"chd","P04B","2021-11",2.15432529291816,0.0396715713744973
"chd","P04B","2023-01",-1.79686748492874,0.0384539120311495
"chd","P04B","2021-07",2.04813172367436,0.0369124585550067
"chd","P04B","2020-08",-2.09015778846025,0.0367692445076322
"chd","P04C","2020-02",-3.75550913237665,0.109267600415086
"chd","P04C","2013-01",2.23751971500656,0.0925541085563303
"chd","P04C","2020-03",-3.15429658631391,0.0778699946359204
"chd","P04C","2020-08",-2.08545073958113,0.0539217987756034
"chd","P04C","2020-04",-2.52975606877133,0.0504214736585443
"chd","P04C","2013-04",1.66208055721956,0.0416479593477437
"chd","P04C","2021-07",2.04949710275785,0.0408520965103215
"chd","P04C","2022-02",-2.19533249663878,0.0405135215066898
"chd","P04C","2021-11",2.1491482140619,0.039908829374149
"chd","P04C","2022-03",-2.08475044307986,0.0364363303923418
"chd","P02","2020-02",-3.74814700828687,0.10712048295255
"chd","P02","2020-03",-3.18392397806599,0.0937584864475459
"chd","P02","2013-01",2.29597133432,0.0906810544409083
"chd","P02","2022-02",-2.3792409874493,0.0896851861467097
"chd","P02","2020-04",-2.63998659248728,0.0694054735483027
"chd","P02","2021-11",2.19076989593099,0.0504164696862584
"chd","P02","2022-03",-1.89179149769548,0.0424804716596065
"chd","P02","2021-03",2.04649704617702,0.0418351086118766
"chd","P02","2013-04",1.52495973722416,0.0375417071293836
"chd","P02","2020-08",-2.11618413391168,0.0365885845460648
"chd","P04","2020-02",-3.8172551068553,0.103884278213696
"chd","P04","2013-01",2.111533896102,0.0811122037927473
"chd","P04","2020-03",-3.19766530503705,0.0717974889097436
"chd","P04","2020-08",-1.55257488806768,0.0515564194022029
"chd","P04","2022-02",-2.07612894909432,0.0465700148846757
"chd","P04","2020-04",-2.55648769077824,0.0463519100549727
"chd","P04","2021-11",2.29467670777078,0.0409740619127044
"chd","P04","2023-01",-1.77220330214562,0.0343836067573724
"chd","P04","2013-04",1.57021358024537,0.0342694212622687
"chd","P04","2021-07",1.95567244650172,0.0340995506943012
