"pathway_id","pollution_stage","aic","theta","converged","family"
"P01","none",1621.02784150024,158.68790452576,TRUE,"negbin/glm/lm"
"P02","none",1622.80576290473,158.998443088461,TRUE,"negbin/glm/lm"
"P03","none",1623.6306009555,157.731605499813,TRUE,"negbin/glm/lm"
"P04","none",1620.73626334637,164.68202997837,TRUE,"negbin/glm/lm"
"P05","none",1621.15807937686,161.169767836682,TRUE,"negbin/glm/lm"
"P06","none",1620.8131662056,158.945282888576,TRUE,"negbin/glm/lm"
"P07","none",1620.6537835097,167.757114534398,TRUE,"negbin/glm/lm"
"P08","none",1623.73405410855,157.602575463614,TRUE,"negbin/glm/lm"
"P10","none",1589.67139008874,238.019020642364,TRUE,"negbin/glm/lm"
"P11","none",1622.80576290473,158.998443088461,TRUE,"negbin/glm/lm"
"P11","NO2",1608.55139730565,183.365341922773,TRUE,"negbin/glm/lm"
"P11","PM25",1622.757227758,161.733931077354,TRUE,"negbin/glm/lm"
"P11","O3",1624.77502565718,159.023185723748,TRUE,"negbin/glm/lm"
"P11","multi",1608.38860183468,190.799299604051,TRUE,"negbin/glm/lm"
"P12","none",1624.8054012312,158.997711845313,TRUE,"negbin/glm/lm"
"P14","none",1464.20830703044,188.497955435173,TRUE,"negbin/glm/lm"
"P15","none",1621.5221513846,157.917375618807,TRUE,"negbin/glm/lm"
"P16","none",931.180868697666,1425.14861228601,TRUE,"negbin/glm/lm"
"P18","none",1622.22560029792,159.713137402402,TRUE,"negbin/glm/lm"
