"calendar_month","n_months","months_with_any_cold","mean_cold_days","sd_cold_days","min_cold_days","max_cold_days","within_month_var"
1,11,9,4.90909090909091,3.70012284808344,0,11,13.6909090909091
2,11,8,4.27272727272727,4.14947970451499,0,10,17.2181818181818
3,11,2,0.363636363636364,0.924416277737175,0,3,0.854545454545454
4,11,0,0,0,0,0,0
5,11,0,0,0,0,0,0
6,11,0,0,0,0,0,0
7,11,0,0,0,0,0,0
8,11,0,0,0,0,0,0
9,11,0,0,0,0,0,0
10,11,0,0,0,0,0,0
11,11,0,0,0,0,0,0
12,11,10,3.63636363636364,2.87307247638229,0,10,8.25454545454545
