"outcome","pathway_id","exposure","scale","model","offset_policy","term","estimate","std_error","rr","rr_low","rr_high","residual_acf1","n_months","data_status"
"chd","P01A","mean_temp",1,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(mean_temp/1)",-0.00970396353257392,0.000990423947770287,0.990342967991599,0.988422348369519,0.992267319601061,-0.0332642507286158,132,"HA_APPROVED_AGGREGATE"
"chd","P02A","mean_tmax",1,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(mean_tmax/1)",-0.00275119140357956,0.000898627293519711,0.997252589655223,0.99549766513614,0.999010607863197,0.113896213279465,132,"HA_APPROVED_AGGREGATE"
"chd","P02B","mean_tmin",1,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(mean_tmin/1)",0.00455025865474503,0.000632087096419962,1.00456062680161,1.00331685658122,1.00580593887226,-0.550505333317978,132,"HA_APPROVED_AGGREGATE"
"chd","P04A","hot_nights",5,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(hot_nights/5)",0.0224249710534139,0.00157381676269125,1.02267830081026,1.01952852515896,1.0258378075151,0.24916951576107,132,"HA_APPROVED_AGGREGATE"
"chd","P04B","cold_days",5,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(cold_days/5)",-0.00652802417069485,0.00238530782028041,0.993493237089262,0.988859294952514,0.998148894569978,0.235699508114974,132,"HA_APPROVED_AGGREGATE"
"chd","P04C","very_hot_days",5,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(very_hot_days/5)",0.000980766389194379,0.00166112856433085,1.00098124749782,0.997727540357913,1.00424556536032,-0.0454329754265607,132,"HA_APPROVED_AGGREGATE"
"hf","P01A","mean_temp",1,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(mean_temp/1)",-0.030308610717195,0.00400942310629893,0.970146089864543,0.962552104244369,0.977799987688269,-0.018582638599705,132,"HA_APPROVED_AGGREGATE"
"hf","P02A","mean_tmax",1,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(mean_tmax/1)",-0.00825813961833256,0.00342109807803594,0.991775865146897,0.985147904872765,0.998448417565192,-0.0864140791889558,132,"HA_APPROVED_AGGREGATE"
"hf","P02B","mean_tmin",1,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(mean_tmin/1)",-0.0247283968701613,0.00372497265064554,0.975574845229717,0.968478163350443,0.982723529204238,-0.032662336028297,132,"HA_APPROVED_AGGREGATE"
"hf","P04A","hot_nights",5,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(hot_nights/5)",-0.00164330979524389,0.00691341047318173,0.998358039698984,0.984921245983548,1.01197814494931,0.0813206394716794,132,"HA_APPROVED_AGGREGATE"
"hf","P04B","cold_days",5,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(cold_days/5)",0.0791373305579816,0.00974224542152983,1.0823529519992,1.06188170691683,1.10321884732602,-0.037110153032572,132,"HA_APPROVED_AGGREGATE"
"hf","P04C","very_hot_days",5,"negative_binomial_INGARCH_1_1","none_count_series_sensitivity","I(very_hot_days/5)",-0.00504088980990209,0.00684063768014845,0.994971794153365,0.981720592964495,1.00840185920045,0.0554148894689179,132,"HA_APPROVED_AGGREGATE"
