"pathway_id","pathway_title","term","outcome","rr","rr_low","rr_high","rr_ci","p_value","n_months","data_status"
"P01","Continuous same-month mean temperature","mean_temp","chd",0.992561270317885,0.973989038669411,1.01148764125819,"0.993 (0.974-1.011)",0.438475112728932,132,"HA_APPROVED_AGGREGATE"
"P01","Continuous same-month mean temperature","mean_temp","hf",0.973854980186275,0.949181355180739,0.999169987123296,"0.974 (0.949-0.999)",0.0430299291597598,132,"HA_APPROVED_AGGREGATE"
"P02","Continuous same-month Tmax and Tmin","mean_tmax","chd",0.989898544388842,0.959917777519819,1.02081568977184,"0.990 (0.960-1.021)",0.517607567530206,132,"HA_APPROVED_AGGREGATE"
"P02","Continuous same-month Tmax and Tmin","mean_tmax","hf",1.01620209334224,0.975383784984737,1.05872858500443,"1.016 (0.975-1.059)",0.442251317087665,132,"HA_APPROVED_AGGREGATE"
"P02","Continuous same-month Tmax and Tmin","mean_tmin","chd",1.00336374230962,0.969760803131332,1.03813104853365,"1.003 (0.970-1.038)",0.846785787059556,132,"HA_APPROVED_AGGREGATE"
"P02","Continuous same-month Tmax and Tmin","mean_tmin","hf",0.957735876631778,0.919239269138851,0.997844674593736,"0.958 (0.919-0.998)",0.039104845095584,132,"HA_APPROVED_AGGREGATE"
"P03","Lag-1 month temperature","lag1_mean_tmax","chd",1.00494091244377,0.972714946237073,1.03823452226175,"1.005 (0.973-1.038)",0.766929492534514,132,"HA_APPROVED_AGGREGATE"
"P03","Lag-1 month temperature","lag1_mean_tmax","hf",1.03748010512919,0.994430107726863,1.08239378532022,"1.037 (0.994-1.082)",0.0888146498235406,132,"HA_APPROVED_AGGREGATE"
"P03","Lag-1 month temperature","lag1_mean_tmin","chd",0.99262417493674,0.958133633169578,1.02835629452792,"0.993 (0.958-1.028)",0.68158601104057,132,"HA_APPROVED_AGGREGATE"
"P03","Lag-1 month temperature","lag1_mean_tmin","hf",0.935308279290626,0.892162819222671,0.980540276349774,"0.935 (0.892-0.981)",0.00551061505926735,132,"HA_APPROVED_AGGREGATE"
"P04","Official extreme-day counts","I(cold_days/5)","chd",0.994247231145342,0.955416422737436,1.0346562327324,"0.994 (0.955-1.035)",0.776529275590594,132,"HA_APPROVED_AGGREGATE"
"P04","Official extreme-day counts","I(cold_days/5)","hf",1.07284500001898,1.01118285605401,1.13826731453628,"1.073 (1.011-1.138)",0.0198998637479324,132,"HA_APPROVED_AGGREGATE"
"P04","Official extreme-day counts","I(hot_nights/5)","chd",1.04393301398302,1.01216387548321,1.076699301448,"1.044 (1.012-1.077)",0.0063954714653062,132,"HA_APPROVED_AGGREGATE"
"P04","Official extreme-day counts","I(hot_nights/5)","hf",1.01193746013385,0.973043365250263,1.05238621400885,"1.012 (0.973-1.052)",0.55288776223802,132,"HA_APPROVED_AGGREGATE"
"P04","Official extreme-day counts","I(very_hot_days/5)","chd",0.970727085717416,0.943031679535435,0.999235863857339,"0.971 (0.943-0.999)",0.0442450203184045,132,"HA_APPROVED_AGGREGATE"
"P04","Official extreme-day counts","I(very_hot_days/5)","hf",0.986552198448075,0.948050124222153,1.02661791333162,"0.987 (0.948-1.027)",0.505028712561965,132,"HA_APPROVED_AGGREGATE"
"P05","Ren/Wang spell burden","days_in_hot_night_spell_ge5","chd",1.00463885826612,1.00074014359446,1.00855276167203,"1.005 (1.001-1.009)",0.0196505334025804,132,"HA_APPROVED_AGGREGATE"
"P05","Ren/Wang spell burden","days_in_hot_night_spell_ge5","hf",0.996696018937384,0.990887745238311,1.00253833891821,"0.997 (0.991-1.003)",0.267069275587099,132,"HA_APPROVED_AGGREGATE"
"P05","Ren/Wang spell burden","days_in_very_hot_spell_ge5","chd",0.995704726477962,0.991078303065492,1.00035274636119,"0.996 (0.991-1.000)",0.0700523797555873,132,"HA_APPROVED_AGGREGATE"
"P05","Ren/Wang spell burden","days_in_very_hot_spell_ge5","hf",1.00018678799022,0.994342844746811,1.00606507720676,"1.000 (0.994-1.006)",0.95018898449285,132,"HA_APPROVED_AGGREGATE"
"P06","Combined day-night 2D3N burden","days_in_2d3n_window","chd",1.00181860909872,0.998519967244904,1.00512814811878,"1.002 (0.999-1.005)",0.280236282524405,132,"HA_APPROVED_AGGREGATE"
"P06","Combined day-night 2D3N burden","days_in_2d3n_window","hf",0.999469731671299,0.994967535450142,1.00399230018612,"0.999 (0.995-1.004)",0.817884113471286,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_has_vhd_spell_ge3","chd",0.98739710851217,0.933563897817781,1.04433456796815,"0.987 (0.934-1.044)",0.657471795898799,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_has_vhd_spell_ge3","hf",1.00544671522328,0.935116784990058,1.08106614422929,"1.005 (0.935-1.081)",0.883275998290124,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_mean_temp_ge_p90","chd",1.03179611565099,0.991093832360598,1.0741699620275,"1.032 (0.991-1.074)",0.127425123480017,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_mean_temp_ge_p90","hf",0.95904342987001,0.895508603183277,1.0270859454698,"0.959 (0.896-1.027)",0.231777297954414,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_mean_temp_ge_p95","chd",1.1257754230667,1.05382053711398,1.20264338997593,"1.126 (1.054-1.203)",0.000438755743465775,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_mean_temp_ge_p95","hf",1.2396644600343,1.12555151648883,1.36534663314754,"1.240 (1.126-1.365)",1.29735677732212e-05,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_mean_temp_ge_p975","chd",0.832496150281314,0.773535092383647,0.895951388705038,"0.832 (0.774-0.896)",1.00052122785822e-06,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_mean_temp_ge_p975","hf",0.807656604144343,0.721195237791455,0.904483496335284,"0.808 (0.721-0.904)",0.000217470350656324,132,"HA_APPROVED_AGGREGATE"
"P08","Cold-side primary","cold_days","chd",0.997596912984127,0.980840912520055,1.01463916124636,"0.998 (0.981-1.015)",0.780710068873909,132,"HA_APPROVED_AGGREGATE"
"P08","Cold-side primary","cold_days","hf",1.02044007866633,1.00324945513001,1.03792526257949,"1.020 (1.003-1.038)",0.0195820956516481,132,"HA_APPROVED_AGGREGATE"
"P08","Cold-side primary","max_cold_spell_touching","chd",1.00198926026338,0.980083478371946,1.02438465685689,"1.002 (0.980-1.024)",0.86012938785808,132,"HA_APPROVED_AGGREGATE"
"P08","Cold-side primary","max_cold_spell_touching","hf",0.990718474314098,0.968836323709296,1.01309485547506,"0.991 (0.969-1.013)",0.413179938353054,132,"HA_APPROVED_AGGREGATE"
"P10","COVID and holiday sensitivity on P02","mean_tmax","chd",0.992085499557082,0.966834268670223,1.01799622781796,"0.992 (0.967-1.018)",0.545800190700778,132,"HA_APPROVED_AGGREGATE"
"P10","COVID and holiday sensitivity on P02","mean_tmax","hf",1.01557575159416,0.978939321584589,1.05358328599625,"1.016 (0.979-1.054)",0.409656305735281,132,"HA_APPROVED_AGGREGATE"
"P10","COVID and holiday sensitivity on P02","mean_tmin","chd",1.000159873967,0.968823742288799,1.03250955754911,"1.000 (0.969-1.033)",0.992146518766339,132,"HA_APPROVED_AGGREGATE"
"P10","COVID and holiday sensitivity on P02","mean_tmin","hf",0.953366023318539,0.914038272040472,0.994385905077244,"0.953 (0.914-0.994)",0.0262873211830021,132,"HA_APPROVED_AGGREGATE"
"P11","Pollution-staged on P02","mean_tmax","chd",0.989898544388842,0.959917777519819,1.02081568977184,"0.990 (0.960-1.021)",0.517607567530206,132,"HA_APPROVED_AGGREGATE"
"P11","Pollution-staged on P02","mean_tmax","hf",1.01620209334224,0.975383784984737,1.05872858500443,"1.016 (0.975-1.059)",0.442251317087665,132,"HA_APPROVED_AGGREGATE"
"P11","Pollution-staged on P02","mean_tmin","chd",1.00336374230962,0.969760803131332,1.03813104853365,"1.003 (0.970-1.038)",0.846785787059556,132,"HA_APPROVED_AGGREGATE"
"P11","Pollution-staged on P02","mean_tmin","hf",0.957735876631778,0.919239269138851,0.997844674593736,"0.958 (0.919-0.998)",0.039104845095584,132,"HA_APPROVED_AGGREGATE"
"P12","Absolute humidity sensitivity on P02","mean_tmax","chd",0.989707628683143,0.956246910420381,1.02433919482469,"0.990 (0.956-1.024)",0.555474078702112,132,"HA_APPROVED_AGGREGATE"
"P12","Absolute humidity sensitivity on P02","mean_tmax","hf",1.01625695073996,0.970885938688953,1.06374822084858,"1.016 (0.971-1.064)",0.488909564726341,132,"HA_APPROVED_AGGREGATE"
"P12","Absolute humidity sensitivity on P02","mean_tmin","chd",1.00378613440882,0.955711727142751,1.05427879036678,"1.004 (0.956-1.054)",0.880039331130079,132,"HA_APPROVED_AGGREGATE"
"P12","Absolute humidity sensitivity on P02","mean_tmin","hf",0.957621952767179,0.898772395324155,1.02032484441279,"0.958 (0.899-1.020)",0.180834758839151,132,"HA_APPROVED_AGGREGATE"
