"outcome","year","data_status","n_months","total_events","mean_monthly_events","sd_monthly_events","mean_population","crude_rate_per_100k_person_years"
"chd",2013,"HA_APPROVED_AGGREGATE",12,23830,1985.83333333333,339.479503554093,4430186.25570776,538.253027168163
"chd",2014,"HA_APPROVED_AGGREGATE",12,17760,1480,161.828191723085,4494965.57077625,395.366957863302
"chd",2015,"HA_APPROVED_AGGREGATE",12,15411,1284.25,150.928113532719,4562045.53890012,338.029552201369
"chd",2016,"HA_APPROVED_AGGREGATE",12,14510,1209.16666666667,89.1187495151919,4636198.59826085,312.324377844202
"chd",2017,"HA_APPROVED_AGGREGATE",12,13962,1163.5,60.1928718220174,4731498.97260274,295.275084596385
"chd",2018,"HA_APPROVED_AGGREGATE",12,12616,1051.33333333333,80.1581769586443,4831498.65296804,261.287132698786
"chd",2019,"HA_APPROVED_AGGREGATE",12,12396,1033,69.5452762921067,4924505.1401053,251.884259135006
"chd",2020,"HA_APPROVED_AGGREGATE",12,10237,853.083333333333,126.878938959605,4981885.7793747,205.061061145215
"chd",2021,"HA_APPROVED_AGGREGATE",12,12035,1002.91666666667,87.0876865665586,5025969.9086758,239.616451892739
"chd",2022,"HA_APPROVED_AGGREGATE",12,11076,923,111.211510195663,5067718.92694064,218.703133788889
"chd",2023,"HA_APPROVED_AGGREGATE",12,12323,1026.91666666667,72.802919938112,5188660.41962971,237.650211888373
"hf",2013,"HA_APPROVED_AGGREGATE",12,4336,361.333333333333,53.9769872400744,4430186.25570776,97.9381085103296
"hf",2014,"HA_APPROVED_AGGREGATE",12,3675,306.25,75.6260236594881,4494965.57077625,81.8115748957001
"hf",2015,"HA_APPROVED_AGGREGATE",12,2934,244.5,45.191511672799,4562045.53890012,64.3552466523144
"hf",2016,"HA_APPROVED_AGGREGATE",12,2734,227.833333333333,35.9363916166362,4636198.59826085,58.8487146124086
"hf",2017,"HA_APPROVED_AGGREGATE",12,2620,218.333333333333,33.7836252248531,4731498.97260274,55.4090188828626
"hf",2018,"HA_APPROVED_AGGREGATE",12,2527,210.583333333333,22.6252406650518,4831498.65296804,52.3361274833412
"hf",2019,"HA_APPROVED_AGGREGATE",12,2344,195.333333333333,27.0868412646615,4924505.1401053,47.6296146670259
"hf",2020,"HA_APPROVED_AGGREGATE",12,1964,163.666666666667,25.0828928784444,4981885.7793747,39.3415965702064
"hf",2021,"HA_APPROVED_AGGREGATE",12,2275,189.583333333333,28.3403289046589,5025969.9086758,45.2951747449923
"hf",2022,"HA_APPROVED_AGGREGATE",12,1976,164.666666666667,24.4143524603993,5067718.92694064,39.0174604881587
"hf",2023,"HA_APPROVED_AGGREGATE",12,2296,191.333333333333,20.8864172189111,5188660.41962971,44.2785755494364
