"term","estimate","std_error_nw6","p_value_nw6","rr","rr_low","rr_high","n_months","residual_acf1","outcome","pathway_id","exposure","scale","scenario","excluded_month","max_cooks_distance","data_status"
"mean_temp",-0.00518592608208104,0.00813496368909356,0.523808276673511,0.994827497617787,0.979091228976967,1.01081668462148,131,0.481052228406586,"chd","P01A","mean_temp",1,"exclude_max_cooks_month","2020-02",0.111708026020505,"HA_APPROVED_AGGREGATE"
"mean_tmax",-0.00561846021210298,0.00682204425950654,0.410181493172382,0.994397293817203,0.981189500860063,1.00778287688996,131,0.480281798608559,"chd","P02A","mean_tmax",1,"exclude_max_cooks_month","2020-02",0.11139851047745,"HA_APPROVED_AGGREGATE"
"mean_tmin",-0.00391322518309571,0.00811335077048261,0.629579181089071,0.996094421504915,0.980379641847466,1.01206109776358,131,0.47909755836714,"chd","P02B","mean_tmin",1,"exclude_max_cooks_month","2020-02",0.112381062931407,"HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0204573113792593,0.00968914352398906,0.0347410142805314,1.02066799640419,1.0014676660414,1.04023643918692,131,0.452533759254211,"chd","P04A","hot_nights",5,"exclude_max_cooks_month","2020-02",0.110171404277497,"HA_APPROVED_AGGREGATE"
"I(cold_days/5)",-0.00968975789155129,0.0221035555804334,0.661110802872333,0.990357036548218,0.948367942688667,1.03420520210746,131,0.473378648502053,"chd","P04B","cold_days",5,"exclude_max_cooks_month","2020-02",0.112496576689118,"HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00124100491396553,0.0129018367055633,0.923371073797336,0.998759764814188,0.973820187450044,1.02433804583956,131,0.476155933066893,"chd","P04C","very_hot_days",5,"exclude_max_cooks_month","2020-02",0.109267600415086,"HA_APPROVED_AGGREGATE"
"mean_temp",-0.0346438614424623,0.0113375655600389,0.00224558096405609,0.965949366821056,0.944721135316971,0.987654604497592,131,0.10498126814438,"hf","P01A","mean_temp",1,"exclude_max_cooks_month","2022-02",0.124938872997095,"HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0271957269959311,0.00987117428219497,0.00586804724263415,0.973170747095637,0.954523296982766,0.992182491507884,131,0.118273672568655,"hf","P02A","mean_tmax",1,"exclude_max_cooks_month","2022-02",0.125966398296166,"HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0345852183672946,0.0112665244185154,0.00214250432137343,0.96600601472337,0.944908098740454,0.987575005151956,131,0.095155586610395,"hf","P02B","mean_tmin",1,"exclude_max_cooks_month","2022-02",0.111975264032231,"HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0017257439057507,0.0142670763859723,0.90372280969039,1.00172723385873,0.974103492539016,1.03013433248119,131,0.138115210110186,"hf","P04A","hot_nights",5,"exclude_max_cooks_month","2020-02",0.066445596593424,"HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.0839341670486173,0.0256427007856862,0.00106330180473466,1.08755729434557,1.03424787684133,1.14361449993646,131,0.120374477862215,"hf","P04B","cold_days",5,"exclude_max_cooks_month","2022-02",0.0847007289071102,"HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00573415857846583,0.0167611727761192,0.732268392275094,0.994282250330093,0.962148901317607,1.02748877223437,131,0.142273298627697,"hf","P04C","very_hot_days",5,"exclude_max_cooks_month","2020-02",0.0665479300099062,"HA_APPROVED_AGGREGATE"
