"outcome","exposure","days_only","no_offset","pop_x_days","p_days_only","p_no_offset","p_pop_x_days"
"chd","cold_days","0.995 (0.956-1.035)","0.997 (0.957-1.039)","0.995 (0.956-1.035)",0.792426037689447,0.880147047127462,0.794653525610131
"chd","hot_nights","1.022 (0.997-1.047)","1.022 (0.997-1.047)","1.021 (0.997-1.046)",0.0810091473729088,0.0820950868107904,0.0847848591122917
"chd","mean_tmax","0.993 (0.976-1.010)","0.993 (0.976-1.010)","0.993 (0.976-1.009)",0.408177713802675,0.387967764368557,0.385629742305358
"chd","mean_tmin","0.994 (0.976-1.012)","0.994 (0.976-1.012)","0.994 (0.976-1.012)",0.528057447425994,0.49478562375318,0.492337680642796
"chd","very_hot_days","0.999 (0.975-1.025)","0.999 (0.975-1.025)","0.999 (0.975-1.025)",0.961919418873297,0.961112954546784,0.964259002648771
"hf","cold_days","1.073 (1.011-1.138)","1.075 (1.013-1.141)","1.073 (1.012-1.138)",0.019720109290663,0.0170427726590052,0.0187199599778215
"hf","hot_nights","1.003 (0.971-1.037)","1.003 (0.970-1.037)","1.003 (0.971-1.036)",0.853401182177921,0.859775710530105,0.86864187272149
"hf","mean_tmax","0.981 (0.958-1.004)","0.981 (0.958-1.004)","0.981 (0.958-1.004)",0.111406858936166,0.107974834082607,0.102907075747124
"hf","mean_tmin","0.973 (0.950-0.997)","0.973 (0.949-0.996)","0.973 (0.950-0.996)",0.0259118314130297,0.0246837954651145,0.0221837375160424
"hf","very_hot_days","0.995 (0.963-1.028)","0.995 (0.963-1.028)","0.995 (0.963-1.028)",0.765089724252379,0.763622416305525,0.76594621390048
