"outcome","pathway_id","exposure","exposure_label","scale","model_structure","family","offset_policy","n_months","data_status","se_method","term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","manuscript_role"
"chd","P02","mean_tmax","mean_tmax",1,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmax",-0.0107212456849539,0.0157839957524946,-0.679247882036425,0.496980813090744,0.989336022026443,0.959197887756628,1.02042110076815,"joint_collinearity_sensitivity"
"chd","P02","mean_tmin","mean_tmin",1,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmin",0.00442579021767775,0.0173528797989335,0.255046440069835,0.798687230967482,1.00443559849165,0.9708475227371,1.03918570927897,"joint_collinearity_sensitivity"
"chd","P02","mean_tmax","mean_tmax",1,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmax",-0.0107212456849539,0.0125470569065982,-0.854482909001215,0.39283747518578,0.989336022026443,0.965302768393324,1.0139676343291,"joint_collinearity_sensitivity"
"chd","P02","mean_tmin","mean_tmin",1,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmin",0.00442579021767775,0.0169303238444074,0.261412023677251,0.793774785770132,1.00443559849165,0.971651921103645,1.03832540193132,"joint_collinearity_sensitivity"
"chd","P04","I(hot_nights/5)","I(hot_nights/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","I(hot_nights/5)",0.043714722666002,0.0156492129841391,2.79341349052558,0.00521549771726467,1.0446842876261,1.01312768651653,1.07722380440055,"joint_collinearity_sensitivity"
"chd","P04","I(cold_days/5)","I(cold_days/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","I(cold_days/5)",-0.00583594302236328,0.0203193462022509,-0.287211161435736,0.773950640605099,0.99418105301441,0.955364953176767,1.03457423562194,"joint_collinearity_sensitivity"
"chd","P04","I(very_hot_days/5)","I(very_hot_days/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","I(very_hot_days/5)",-0.0302130963123411,0.0144829981454271,-2.0861078630933,0.0369688536046615,0.970238757216401,0.943084141675696,0.99817524694264,"joint_collinearity_sensitivity"
"chd","P04","I(hot_nights/5)","I(hot_nights/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","I(hot_nights/5)",0.043714722666002,0.0144933484860092,3.01619206273837,0.00255971067539339,1.0446842876261,1.01542552351902,1.07478612220684,"joint_collinearity_sensitivity"
"chd","P04","I(cold_days/5)","I(cold_days/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","I(cold_days/5)",-0.00583594302236328,0.0241225045227647,-0.241929399033,0.808834869538028,0.99418105301441,0.948269957578437,1.04231496344867,"joint_collinearity_sensitivity"
"chd","P04","I(very_hot_days/5)","I(very_hot_days/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","I(very_hot_days/5)",-0.0302130963123411,0.0154520755281434,-1.95527754555127,0.0505503200427695,0.970238757216401,0.941294555613224,1.00007297438532,"joint_collinearity_sensitivity"
"hf","P02","mean_tmax","mean_tmax",1,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmax",0.0155239702301005,0.0210944623911456,0.735926327120652,0.461775534287262,1.01564509301311,0.974509339631294,1.05851725890272,"joint_collinearity_sensitivity"
"hf","P02","mean_tmin","mean_tmin",1,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","mean_tmin",-0.0421441567931446,0.021075805894953,-1.99964627702501,0.0455384731000367,0.958731562942619,0.919934565111589,0.999164771758413,"joint_collinearity_sensitivity"
"hf","P02","mean_tmax","mean_tmax",1,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmax",0.0155239702301005,0.0179031129810623,0.867110107975166,0.385881682808143,1.01564509301311,0.98062404318706,1.05191685042628,"joint_collinearity_sensitivity"
"hf","P02","mean_tmin","mean_tmin",1,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","mean_tmin",-0.0421441567931446,0.0234312691486582,-1.79862885470538,0.0720774098268875,0.958731562942619,0.915697284535908,1.00378828823135,"joint_collinearity_sensitivity"
"hf","P04","I(hot_nights/5)","I(hot_nights/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","I(hot_nights/5)",0.0125884888689495,0.0201218734122559,0.625612168958486,0.531569355057643,1.01266805742704,0.973506883789652,1.05340456406534,"joint_collinearity_sensitivity"
"hf","P04","I(cold_days/5)","I(cold_days/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","I(cold_days/5)",0.0702585525406178,0.0304359743619526,2.30840490615102,0.0209766263766855,1.07278551682068,1.01066046491078,1.13872938049655,"joint_collinearity_sensitivity"
"hf","P04","I(very_hot_days/5)","I(very_hot_days/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","HC1","I(very_hot_days/5)",-0.0140490332670585,0.020199222356896,-0.695523472083676,0.486727306710931,0.986049193864027,0.947773708735831,1.0258704200782,"joint_collinearity_sensitivity"
"hf","P04","I(hot_nights/5)","I(hot_nights/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","I(hot_nights/5)",0.0125884888689495,0.0176934648169277,0.711476751399527,0.47678885251194,1.01266805742704,0.978151510560742,1.0484026078385,"joint_collinearity_sensitivity"
"hf","P04","I(cold_days/5)","I(cold_days/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","I(cold_days/5)",0.0702585525406178,0.0329036929824269,2.13527863204113,0.0327382572634081,1.07278551682068,1.00578397727029,1.14425044652598,"joint_collinearity_sensitivity"
"hf","P04","I(very_hot_days/5)","I(very_hot_days/5)",5,"joint_exploratory","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","I(very_hot_days/5)",-0.0140490332670585,0.0212039597279311,-0.662566494528487,0.507608234874964,0.986049193864027,0.945909108520943,1.02789264207447,"joint_collinearity_sensitivity"
