"year","hot_nights","very_hot_days","extremely_hot_days","cold_days","days_in_hn_spell_ge5","days_in_vhd_spell_ge5","months_with_2d3n","mean_temp","share_hn_in_spell_ge5","share_vhd_in_spell_ge5"
2013,10,17,0,14,5,0,0,23.272294546851,0.5,0
2014,34,33,0,21,6,5,4,23.4568215565796,0.176470588235294,0.151515151515152
2015,37,28,1,7,17,14,3,24.1664650537634,0.459459459459459,0.5
2016,36,38,6,21,13,15,3,23.6176449141021,0.361111111111111,0.394736842105263
2017,41,29,1,9,22,6,3,23.860170890937,0.536585365853659,0.206896551724138
2018,26,36,5,21,0,26,3,23.8924782386073,0,0.722222222222222
2019,46,33,2,1,24,7,4,24.5201011264721,0.521739130434783,0.212121212121212
2020,50,47,3,11,35,25,4,24.3839550117414,0.7,0.531914893617021
2021,61,54,4,13,22,25,5,24.6126452892985,0.360655737704918,0.462962962962963
2022,52,52,15,13,27,27,3,23.9161949564772,0.519230769230769,0.519230769230769
2023,56,54,4,14,24,33,6,24.4997311827957,0.428571428571429,0.611111111111111
