"age_group","mid_2013","mid_2023","abs_change","pct_change"
"35-39",558300,564800,6500,1.16424861185742
"40-44",577500,600200,22700,3.93073593073593
"45-49",607800,566900,-40900,-6.72918723264232
"50-54",654200,587700,-66500,-10.1650871293183
"55-59",569100,591800,22700,3.98875417325602
"60-64",442600,646600,204000,46.0912788070493
"65-69",295100,568500,273400,92.6465604879702
"70-74",213100,424800,211700,99.3430314406382
"75-79",210200,254100,43900,20.8848715509039
"80-84",157600,158600,1000,0.634517766497462
"85+",143900,235900,92000,63.9332870048645
