"pathway_id","title","term","RR_95CI","p_value","n_months","data_status"
"P01","Continuous same-month mean temperature","mean_temp","0.974 (0.949–0.999)",0.0430299291597598,132,"HA_APPROVED_AGGREGATE"
"P02","Continuous same-month Tmax and Tmin","mean_tmax","1.016 (0.975–1.059)",0.442251317087665,132,"HA_APPROVED_AGGREGATE"
"P02","Continuous same-month Tmax and Tmin","mean_tmin","0.958 (0.919–0.998)",0.039104845095584,132,"HA_APPROVED_AGGREGATE"
"P03","Lag-1 month temperature","lag1_mean_tmax","1.037 (0.994–1.082)",0.0888146498235406,132,"HA_APPROVED_AGGREGATE"
"P03","Lag-1 month temperature","lag1_mean_tmin","0.935 (0.892–0.981)",0.00551061505926735,132,"HA_APPROVED_AGGREGATE"
"P04","Official extreme-day counts","I(hot_nights/5)","1.012 (0.973–1.052)",0.55288776223802,132,"HA_APPROVED_AGGREGATE"
"P04","Official extreme-day counts","I(cold_days/5)","1.073 (1.011–1.138)",0.0198998637479324,132,"HA_APPROVED_AGGREGATE"
"P04","Official extreme-day counts","I(very_hot_days/5)","0.987 (0.948–1.027)",0.505028712561965,132,"HA_APPROVED_AGGREGATE"
"P05","Ren/Wang spell burden","days_in_hot_night_spell_ge5","0.997 (0.991–1.003)",0.267069275587099,132,"HA_APPROVED_AGGREGATE"
"P05","Ren/Wang spell burden","days_in_very_hot_spell_ge5","1.000 (0.994–1.006)",0.95018898449285,132,"HA_APPROVED_AGGREGATE"
"P06","Combined day-night 2D3N burden","days_in_2d3n_window","0.999 (0.995–1.004)",0.817884113471286,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_mean_temp_ge_p90","0.959 (0.896–1.027)",0.231777297954414,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_mean_temp_ge_p95","1.240 (1.126–1.365)",1.29735677732212e-05,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_mean_temp_ge_p975","0.808 (0.721–0.904)",0.000217470350656324,132,"HA_APPROVED_AGGREGATE"
"P07","Heatwave-month indicators (multi-percentile + spells)","hw_month_has_vhd_spell_ge3","1.005 (0.935–1.081)",0.883275998290124,132,"HA_APPROVED_AGGREGATE"
"P08","Cold-side primary","cold_days","1.020 (1.003–1.038)",0.0195820956516481,132,"HA_APPROVED_AGGREGATE"
"P08","Cold-side primary","max_cold_spell_touching","0.991 (0.969–1.013)",0.413179938353054,132,"HA_APPROVED_AGGREGATE"
"P10","COVID and holiday sensitivity on P02","mean_tmax","1.016 (0.979–1.054)",0.409656305735281,132,"HA_APPROVED_AGGREGATE"
"P10","COVID and holiday sensitivity on P02","mean_tmin","0.953 (0.914–0.994)",0.0262873211830021,132,"HA_APPROVED_AGGREGATE"
"P11","Pollution-staged on P02","mean_tmax","1.016 (0.975–1.059)",0.442251317087665,132,"HA_APPROVED_AGGREGATE"
"P11","Pollution-staged on P02","mean_tmin","0.958 (0.919–0.998)",0.039104845095584,132,"HA_APPROVED_AGGREGATE"
"P12","Absolute humidity sensitivity on P02","mean_tmax","1.016 (0.971–1.064)",0.488909564726341,132,"HA_APPROVED_AGGREGATE"
"P12","Absolute humidity sensitivity on P02","mean_tmin","0.958 (0.899–1.020)",0.180834758839151,132,"HA_APPROVED_AGGREGATE"
"P14","Flu co-exposure","mean_tmax","1.000 (0.974–1.027)",0.998773367550029,121,"HA_APPROVED_AGGREGATE"
"P14","Flu co-exposure","cold_days","1.011 (0.999–1.024)",0.0766279060739397,121,"HA_APPROVED_AGGREGATE"
"P15","Temperature variability proxy","temp_variability_mean_range","1.021 (0.978–1.065)",0.343662445563941,132,"HA_APPROVED_AGGREGATE"
"P16","Pre-COVID only (P02)","mean_tmax","1.023 (0.979–1.070)",0.31128923027032,84,"HA_APPROVED_AGGREGATE"
"P16","Pre-COVID only (P02)","mean_tmin","0.923 (0.882–0.967)",0.00071703065043084,84,"HA_APPROVED_AGGREGATE"
"P18","Cold-month indicator (p05 Tmean)","cold_month_mean_temp_le_p05","0.925 (0.792–1.080)",0.32525782692224,132,"HA_APPROVED_AGGREGATE"
"P18","Cold-month indicator (p05 Tmean)","cold_days","1.020 (1.005–1.037)",0.011502125897927,132,"HA_APPROVED_AGGREGATE"
