"pathway_id","stages","aic_min","any_nonconverged"
"P01",1,1224.48937754064,FALSE
"P01A",1,1225.00397754535,FALSE
"P02",1,1224.40286083636,FALSE
"P02A",1,1227.31943578381,FALSE
"P02B",1,1223.7190651198,FALSE
"P03",1,1218.27735017048,FALSE
"P04",1,1227.23097181021,FALSE
"P04A",1,1231.85234860756,FALSE
"P04B",1,1223.87473450293,FALSE
"P04C",1,1231.79234585722,FALSE
"P05",1,1232.68073223223,FALSE
"P06",1,1231.59687573934,FALSE
"P07",1,1231.15583576731,FALSE
"P07A",1,1231.82228356165,FALSE
"P07B",1,1231.30917469093,FALSE
"P07C",1,1230.9712930803,FALSE
"P07D",1,1231.8327311651,FALSE
"P08",1,1224.8851669794,FALSE
"P10",1,1205.54913510088,FALSE
"P11",5,1201.91308183171,FALSE
"P12",1,1226.40283950494,FALSE
"P14",1,1118.17228734965,FALSE
"P15",1,1230.5147393601,FALSE
"P16",1,754.077358642906,FALSE
"P18",1,1223.91097038589,FALSE
