"pathway_id","pollution_stage","aic","theta","converged","family"
"P01","none",1224.48937754064,187.999061775324,TRUE,"negbin/glm/lm"
"P02","none",1224.40286083636,195.189069482887,TRUE,"negbin/glm/lm"
"P03","none",1218.27735017048,211.118640787006,TRUE,"negbin/glm/lm"
"P04","none",1227.23097181021,189.264783430014,TRUE,"negbin/glm/lm"
"P05","none",1232.68073223223,167.18353753138,TRUE,"negbin/glm/lm"
"P06","none",1231.59687573934,165.212699524924,TRUE,"negbin/glm/lm"
"P07","none",1231.15583576731,178.096469298974,TRUE,"negbin/glm/lm"
"P08","none",1224.8851669794,190.689733595836,TRUE,"negbin/glm/lm"
"P10","none",1205.54913510088,316.813615287678,TRUE,"negbin/glm/lm"
"P11","none",1224.40286083636,195.189069482887,TRUE,"negbin/glm/lm"
"P11","NO2",1201.91308183171,280.054352972703,TRUE,"negbin/glm/lm"
"P11","PM25",1214.8235681414,232.199702670131,TRUE,"negbin/glm/lm"
"P11","O3",1225.15204216233,200.327674082577,TRUE,"negbin/glm/lm"
"P11","multi",1205.70261540982,279.332200651717,TRUE,"negbin/glm/lm"
"P12","none",1226.40283950494,195.188599050145,TRUE,"negbin/glm/lm"
"P14","none",1118.17228734965,196.744389342244,TRUE,"negbin/glm/lm"
"P15","none",1230.5147393601,168.136833513739,TRUE,"negbin/glm/lm"
"P16","none",754.077358642906,894.045951428012,TRUE,"negbin/glm/lm"
"P18","none",1223.91097038589,194.62837585442,TRUE,"negbin/glm/lm"
